,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,23.3,20.8,30.3,76,37.9,,,,,,,,,,,,,,,4.4,31.67,"LeBron James, MIA",13.1,1,9.6,.640,28.2,909.0
1,15.5,20.3,27.7,81,38.5,,,,,,,,,,,,,,,1.8,28.35,"Kevin Durant, OKC",11.8,2,11.6,.647,27.4,830.8
2,36.9,10.5,17.9,70,33.4,,,,,,,,,,,,,,,2.8,26.43,"Chris Paul, LAC",6.7,3,8.7,.594,23.9,537.7
3,8.3,15.9,17.7,67,37.0,,,,,,,,,,,,,,,6.1,24.83,"Carmelo Anthony, NY",10.8,4,8.5,.560,32.2,530.8
4,4.8,16.1,15.9,74,30.4,,,,,,,,,,,,,,,10.8,24.81,"Brook Lopez, BKN",13.4,5,8.9,.567,26.1,477.8
5,12.8,29.6,13.4,69,30.1,,,,,,,,,,,,,,,7.3,24.45,"Tim Duncan, SA",19.1,6,10.2,.554,24.8,401.7
6,19.3,12.6,16.1,69,34.7,,,,,,,,,,,,,,,4.7,24.04,"Dwyane Wade, MIA",8.9,7,10.6,.571,27.0,483.1
7,22.8,11.8,18.5,82,34.9,,,,,,,,,,,,,,,4.8,23.98,"Russell Westbrook, OKC",8.6,8,10.2,.532,31.2,554.4
8,27.6,9.1,13.1,66,32.9,,,,,,,,,,,,,,,1.0,23.10,"Tony Parker, SA",5.3,9,9.4,.588,26.6,392.7
9,17.9,13.1,18.9,78,38.6,,,,,,,,,,,,,,,2.5,23.10,"Kobe Bryant, LAL",7.9,,10.9,.570,30.0,566.4
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,18.7,11.9,18.6,78,38.3,,,,,,,,,,,,,,,2.4,23.00,"James Harden, HOU",7.2,11,12.1,.600,27.4,556.9
12,17.2,21.5,14.1,80,32.5,,,,,,,,,,,,,,,8.7,22.44,"Blake Griffin, LAC",15.2,12,10.6,.572,24.0,424.3
13,3.4,15.1,3.6,29,23.5,,,,,,,,,,,,,,,10.0,22.16,"Amar'e Stoudemire, NY",12.4,13,12.9,.637,22.8,108.5
14,8.7,19.6,8.8,82,19.0,,,,,,,,,,,,,,,12.2,21.98,"Andray Blatche, BKN",15.8,14,12.6,.547,24.6,264.0
15,6.8,23.5,9.5,64,28.8,,,,,,,,,,,,,,,10.5,21.80,"Anthony Davis, NO",16.8,15,9.6,.559,19.9,283.8
16,18.2,30.1,5.0,25,36.0,,,,,,,,,,,,,,,16.9,21.71,"Anderson Varejao, CLE",23.2,16,9.5,.529,17.9,149.3
