,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,23.4,18.5,30.5,76,39.0,,,,,,,,,,,,,,,3.0,31.19,"LeBron James, CLE",11.1,1,9.4,.604,32.2,916.0
1,19.5,11.1,24.4,77,36.3,,,,,,,,,,,,,,,4.5,28.10,"Dwyane Wade, MIA",7.9,2,9.8,.562,33.2,733.4
2,9.1,17.9,25.4,82,39.5,,,,,,,,,,,,,,,3.8,26.23,"Kevin Durant, OKC",11.0,3,10.7,.607,29.3,760.6
3,9.5,25.2,17.1,70,36.1,,,,,,,,,,,,,,,9.9,25.11,"Chris Bosh, TOR",17.7,4,9.6,.592,25.9,513.2
4,15.1,26.8,17.2,78,31.3,,,,,,,,,,,,,,,10.8,24.79,"Tim Duncan, SA",18.9,5,8.6,.560,24.4,516.2
5,8.9,31.3,19.1,82,34.7,,,,,,,,,,,,,,,12.0,24.07,"Dwight Howard, ORL",22.0,6,17.0,.630,21.5,571.7
6,36.6,11.9,10.9,45,38.0,,,,,,,,,,,,,,,1.3,23.74,"Chris Paul, NO",6.5,7,8.5,.584,23.3,325.6
7,8.0,28.3,3.1,21,23.9,,,,,,,,,,,,,,,15.7,23.14,"Greg Oden, POR",21.9,8,16.4,.647,18.9,94.0
8,10.3,20.1,17.4,81,37.5,,,,,,,,,,,,,,,3.1,23.01,"Dirk Nowitzki, DAL",11.7,9,7.0,.578,26.1,521.9
9,16.0,22.7,13.7,65,37.0,,,,,,,,,,,,,,,11.4,22.97,"Pau Gasol, LAL",17.1,10,10.5,.593,20.3,411.5
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
