,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,16.8,30.0,14.5,82,39.4,,,,,,,,,,,,,,,9.0,29.50,"Kevin Garnett, MIN",20.1,1,8.7,.547,27.1,434.6
1,11.6,27.6,9.6,69,36.6,,,,,,,,,,,,,,,10.0,27.14,"Tim Duncan, SA",19.0,2,10.0,.534,27.1,288.1
2,15.8,13.3,10.8,67,39.9,,,,,,,,,,,,,,,4.0,25.28,"Tracy McGrady, ORL",8.5,3,7.7,.526,30.9,323.3
3,12.0,24.4,8.4,67,36.8,,,,,,,,,,,,,,,11.0,24.48,"Shaquille O'Neal, LAL",17.7,4,11.9,.578,23.9,250.7
4,17.2,12.0,8.4,65,37.6,,,,,,,,,,,,,,,5.0,23.67,"Kobe Bryant, LAL",8.3,5,8.9,.551,27.0,253.1
5,13.9,19.1,7.5,69,38.7,,,,,,,,,,,,,,,11.0,23.32,"Elton Brand, LAC",15.2,6,11.8,.567,22.0,225.9
6,26.6,8.7,9.0,81,35.0,,,,,,,,,,,,,,,2.0,22.84,"Sam Cassell, MIN",5.5,7,9.9,.566,26.1,271.4
7,15.2,17.5,8.1,78,37.1,,,,,,,,,,,,,,,10.0,22.79,"Andrei Kirilenko, UTAH",13.5,8,13.4,.559,20.8,244.4
8,11.3,22.2,8.3,77,37.9,,,,,,,,,,,,,,,3.0,22.56,"Dirk Nowitzki, DAL",12.5,9,7.3,.561,22.6,248.3
9,7.9,22.4,7.3,82,32.8,,,,,,,,,,,,,,,9.0,21.96,"Yao Ming, HOU",16.1,10,13.2,.586,22.4,218.5
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,11.9,18.3,6.2,78,31.5,,,,,,,,,,,,,,,9.0,21.79,"Pau Gasol, MEM",13.8,11,11.3,.542,24.5,186.1
12,17.2,11.8,6.5,56,38.4,,,,,,,,,,,,,,,4.0,21.76,"Ray Allen, SEA",7.8,12,10.0,.566,25.6,193.8
13,9.1,14.1,9.6,81,40.3,,,,,,,,,,,,,,,3.0,21.76,"Peja Stojakovic, SAC",8.8,,8.1,.624,21.2,286.8
14,5.9,13.5,5.7,82,29.0,,,,,,,,,,,,,,,10.0,21.27,"Antawn Jamison, DAL",11.9,14,6.8,.581,18.7,170.7
15,8.4,25.0,6.6,78,35.7,,,,,,,,,,,,,,,8.0,21.20,"Jermaine O'Neal, IND",16.5,15,9.3,.489,27.2,199.4
16,11.3,26.8,5.7,75,34.6,,,,,,,,,,,,,,,10.0,20.84,"Carlos Boozer, CLE",18.3,16,10.2,.567,18.5,172.1
17,22.0,9.6,7.1,67,40.1,,,,,,,,,,,,,,,3.0,20.74,"Baron Davis, NO",6.1,17,9.5,.492,29.2,213.0
18,37.1,7.4,6.7,78,33.5,,,,,,,,,,,,,,,2.0,20.46,"Steve Nash, DAL",4.8,18,11.3,.590,20.6,200.9
19,28.2,6.6,8.3,81,40.2,,,,,,,,,,,,,,,2.0,20.41,"Stephon Marbury, NY/PHX",4.6,19,9.8,.519,26.0,249.5
20,7.7,16.3,5.9,81,31.3,,,,,,,,,,,,,,,12.0,20.28,"Zydrunas Ilgauskas, CLE",14.2,20,11.5,.541,20.9,176.3
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,6.1,25.5,5.1,74,32.5,,,,,,,,,,,,,,,16.0,20.24,"Erick Dampier, GS",20.8,21,13.3,.573,15.9,152.7
