,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,20.6,13.6,27.6,79,34.2,,,,,,,,,,,,,,,2.9,31.56,"Stephen Curry, GS",8.6,1,10.2,.669,31.6,828.6
1,16.3,21.8,22.8,72,35.8,,,,,,,,,,,,,,,2.0,28.25,"Kevin Durant, OKC",12.4,2,11.3,.634,30.2,682.8
2,7.7,26.2,4.3,54,9.4,,,,,,,,,,,,,,,16.9,27.77,"Boban Marjanovic, SA",21.7,3,10.6,.662,21.0,130.2
3,29.0,18.1,22.8,80,34.4,,,,,,,,,,,,,,,6.1,27.64,"Russell Westbrook, OKC",12.4,4,11.9,.554,33.3,683.0
4,21.5,18.8,23.1,76,35.6,,,,,,,,,,,,,,,4.7,27.64,"LeBron James, CLE",11.8,,10.4,.588,31.1,692.9
5,33.7,12.0,18.4,74,32.7,,,,,,,,,,,,,,,1.8,26.31,"Chris Paul, LAC",7.0,6,8.9,.575,28.1,552.8
6,12.2,18.4,18.5,72,33.1,,,,,,,,,,,,,,,4.7,26.11,"Kawhi Leonard, SA",11.8,7,6.9,.616,24.2,554.6
7,2.9,32.4,16.0,73,29.1,,,,,,,,,,,,,,,13.1,25.69,"Hassan Whiteside, MIA",23.1,8,13.8,.629,18.8,478.5
8,20.6,15.6,23.1,82,38.1,,,,,,,,,,,,,,,2.2,25.36,"James Harden, HOU",8.8,9,12.6,.598,32.2,693.1
9,7.4,26.4,14.6,61,35.5,,,,,,,,,,,,,,,6.4,25.10,"Anthony Davis, NO",16.1,10,7.7,.559,27.2,439.1
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,3.4,24.9,11.6,82,21.0,,,,,,,,,,,,,,,16.7,24.09,"Enes Kanter, OKC",21.0,11,11.8,.626,21.9,346.5
12,10.3,28.2,14.6,65,34.6,,,,,,,,,,,,,,,7.7,23.67,"DeMarcus Cousins, SAC",18.0,12,11.9,.538,33.2,438.0
13,5.6,26.3,9.3,60,26.0,,,,,,,,,,,,,,,13.8,22.63,"Jonas Valanciunas, TOR",20.1,13,11.2,.610,19.3,279.6
14,10.0,27.5,15.7,82,32.0,,,,,,,,,,,,,,,10.2,22.59,"Karl-Anthony Towns, MIN",19.0,14,11.3,.590,23.1,469.9
15,9.3,19.2,3.1,36,15.8,,,,,,,,,,,,,,,9.1,22.51,"Carl Landry, PHI",14.0,15,6.4,.605,22.2,93.5
16,7.9,22.2,12.3,74,30.6,,,,,,,,,,,,,,,9.2,22.43,"LaMarcus Aldridge, SA",15.9,16,7.1,.565,23.8,369.0
17,21.1,10.4,15.0,75,35.7,,,,,,,,,,,,,,,1.8,22.25,"Damian Lillard, POR",6.1,17,10.0,.560,31.2,449.1
18,18.1,22.3,6.2,35,33.4,,,,,,,,,,,,,,,4.8,22.22,"Blake Griffin, LAC",13.7,18,8.8,.544,28.3,187.1
19,23.2,12.3,15.9,77,37.0,,,,,,,,,,,,,,,2.2,22.20,"Kyle Lowry, TOR",7.3,19,10.5,.578,26.0,476.5
20,12.9,23.4,13.0,79,29.3,,,,,,,,,,,,,,,10.9,21.87,"Greg Monroe, MIL",17.2,20,9.3,.562,22.2,389.2
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,8.8,17.2,13.7,73,33.7,,,,,,,,,,,,,,,9.2,21.80,"Brook Lopez, BKN",13.1,21,10.6,.562,25.5,410.8
23,18.6,28.7,12.7,72,31.8,,,,,,,,,,,,,,,7.3,21.76,"Pau Gasol, CHI",18.2,22,10.4,.529,24.1,381.6
24,8.4,19.6,10.1,62,32.0,,,,,,,,,,,,,,,10.0,21.71,"Derrick Favors, UTAH",14.8,23,9.3,.551,22.4,302.1
25,14.6,11.5,15.5,78,35.9,,,,,,,,,,,,,,,2.7,21.58,"DeMar DeRozan, TOR",7.1,24,8.1,.550,28.5,463.9
26,19.4,24.7,9.5,80,21.7,,,,,,,,,,,,,,,11.4,21.58,"Nikola Jokic, DEN",17.9,,10.6,.582,19.6,284.1
27,21.7,8.0,13.9,82,32.2,,,,,,,,,,,,,,,1.8,21.54,"Isaiah Thomas, BOS",4.9,26,9.4,.562,29.5,415.8
28,13.3,27.1,4.3,60,13.3,,,,,,,,,,,,,,,11.9,21.35,"Cole Aldrich, LAC",19.6,27,17.0,.626,17.2,128.4
29,15.6,21.5,13.0,81,32.7,,,,,,,,,,,,,,,8.4,21.33,"Paul Millsap, ATL",15.1,28,11.2,.556,22.7,388.5
30,18.9,11.6,13.3,67,36.9,,,,,,,,,,,,,,,3.4,21.33,"Jimmy Butler, CHI",7.6,,7.8,.562,23.9,399.9
31,4.4,34.2,14.2,81,32.9,,,,,,,,,,,,,,,15.6,21.30,"Andre Drummond, DET",24.5,30,10.1,.499,22.6,425.8
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,12.7,22.2,10.7,65,31.3,,,,,,,,,,,,,,,9.3,21.15,"Nikola Vucevic, ORL",15.7,31,8.7,.531,25.4,320.8
34,8.8,23.0,8.1,67,25.3,,,,,,,,,,,,,,,15.1,21.06,"Kenneth Faried, DEN",19.0,32,10.2,.577,19.8,241.7
35,14.5,18.7,14.7,81,34.8,,,,,,,,,,,,,,,3.1,20.98,"Paul George, IND",10.9,33,11.6,.557,28.9,441.0
36,19.9,11.5,14.2,81,35.6,,,,,,,,,,,,,,,2.1,20.87,"Kemba Walker, CHA",6.8,34,8.1,.554,25.5,425.0
37,9.2,32.7,13.0,77,33.7,,,,,,,,,,,,,,,11.4,20.66,"DeAndre Jordan, LAC",22.2,35,10.9,.628,14.1,390.2
38,18.0,10.7,11.1,74,30.5,,,,,,,,,,,,,,,4.3,20.42,"Dwyane Wade, MIA",7.6,36,10.6,.517,30.5,334.3
39,15.3,19.5,12.4,72,35.1,,,,,,,,,,,,,,,4.3,20.38,"Carmelo Anthony, NY",12.0,37,9.0,.530,28.5,372.9
40,11.7,21.1,7.8,53,33.5,,,,,,,,,,,,,,,3.2,20.29,"Chris Bosh, MIA",12.4,38,7.2,.571,23.2,233.2
41,21.9,11.2,4.8,31,34.2,,,,,,,,,,,,,,,1.8,20.10,"Eric Bledsoe, PHX",6.4,39,12.7,.557,27.2,143.9
42,18.7,7.6,7.4,53,31.5,,,,,,,,,,,,,,,3.0,19.96,"Kyrie Irving, CLE",5.3,40,9.3,.540,28.8,222.8
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,30.3,13.8,12.2,77,36.2,,,,,,,,,,,,,,,1.7,19.83,"John Wall, WSH",7.6,41,12.2,.510,29.1,367.0
