,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,18.9,30.0,22.8,72,32.8,,,,,,,,,,,,,,,7.3,30.95,"Giannis Antetokounmpo, MIL",19.3,1,12.0,.644,32.3,684.4
1,18.0,17.8,28.0,78,36.8,,,,,,,,,,,,,,,2.5,30.62,"James Harden, HOU",10.0,2,11.9,.616,40.8,839.5
2,14.1,27.5,17.3,56,33.0,,,,,,,,,,,,,,,9.9,30.32,"Anthony Davis, NO",18.8,3,7.2,.597,29.4,519.7
3,12.9,29.3,20.0,77,33.1,,,,,,,,,,,,,,,10.9,26.38,"Karl-Anthony Towns, MIN",20.0,4,11.9,.622,28.8,599.6
4,26.5,27.6,19.7,80,31.3,,,,,,,,,,,,,,,9.8,26.38,"Nikola Jokic, DEN",18.7,,11.3,.589,29.4,589.7
5,12.0,34.0,16.7,64,33.7,,,,,,,,,,,,,,,8.1,26.21,"Joel Embiid, PHI",21.4,6,11.6,.593,32.7,501.8
6,12.2,18.6,15.6,60,34.0,,,,,,,,,,,,,,,4.2,25.89,"Kawhi Leonard, TOR",11.6,7,7.4,.606,29.5,468.5
7,23.5,21.3,14.6,55,35.2,,,,,,,,,,,,,,,3.1,25.64,"LeBron James, LAL",12.4,8,10.2,.588,32.6,437.8
8,16.0,31.9,18.6,80,31.4,,,,,,,,,,,,,,,9.4,25.53,"Nikola Vucevic, ORL",20.5,9,8.3,.573,27.9,559.4
9,13.1,30.2,17.9,81,31.8,,,,,,,,,,,,,,,13.2,24.60,"Rudy Gobert, UTAH",21.9,10,10.5,.682,17.4,538.4
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,9.0,31.3,7.5,49,22.3,,,,,,,,,,,,,,,10.7,24.47,"Jonas Valanciunas, TOR/MEM",21.1,11,11.5,.616,24.7,225.8
12,17.9,14.2,15.6,69,33.8,,,,,,,,,,,,,,,2.2,24.45,"Stephen Curry, GS",8.4,12,9.5,.641,30.3,468.0
13,23.4,12.7,14.7,67,33.0,,,,,,,,,,,,,,,3.4,24.37,"Kyrie Irving, BOS",8.1,13,8.7,.592,30.4,441.6
14,20.0,17.5,18.5,78,34.6,,,,,,,,,,,,,,,1.4,24.26,"Kevin Durant, GS",9.8,14,9.8,.631,29.1,555.0
15,12.5,26.9,4.6,58,11.7,,,,,,,,,,,,,,,14.0,24.25,"Boban Marjanovic, LAC/PHI",20.6,15,13.7,.664,23.7,138.8
16,9.3,27.6,14.8,67,33.6,,,,,,,,,,,,,,,14.4,23.84,"Clint Capela, HOU",20.8,16,9.1,.658,17.6,444.4
17,21.9,11.1,18.0,80,35.5,,,,,,,,,,,,,,,2.6,23.78,"Damian Lillard, POR",7.0,17,8.4,.588,30.6,541.3
18,6.0,35.6,10.8,72,23.3,,,,,,,,,,,,,,,16.3,23.52,"Hassan Whiteside, MIA",25.9,18,10.3,.564,21.9,322.9
19,7.4,34.7,17.0,79,33.5,,,,,,,,,,,,,,,16.8,23.49,"Andre Drummond, DET",25.4,19,11.5,.555,22.4,509.4
20,11.9,16.7,12.8,82,26.3,,,,,,,,,,,,,,,9.3,23.44,"Montrezl Harrell, LAC",13.1,20,9.7,.636,22.9,384.5
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,16.8,26.7,12.6,72,27.4,,,,,,,,,,,,,,,13.4,23.41,"Jusuf Nurkic, POR",20.2,21,12.1,.570,25.2,377.4
23,13.4,19.6,18.1,77,36.9,,,,,,,,,,,,,,,3.7,23.32,"Paul George, OKC",11.4,22,8.6,.583,29.6,543.4
24,10.6,19.8,16.6,81,33.2,,,,,,,,,,,,,,,10.3,22.98,"LaMarcus Aldridge, SA",15.1,23,7.8,.576,26.0,496.7
25,11.6,26.0,9.6,67,24.5,,,,,,,,,,,,,,,16.3,22.36,"Enes Kanter, NY/POR",21.1,24,11.8,.594,22.5,287.8
26,8.8,19.4,7.7,66,20.6,,,,,,,,,,,,,,,13.3,22.01,"Mitchell Robinson, NY",16.3,25,8.3,.692,11.7,231.5
27,17.7,29.8,9.6,74,24.8,,,,,,,,,,,,,,,11.5,21.99,"Domantas Sabonis, IND",20.8,26,13.3,.630,23.5,287.8
28,10.0,21.3,9.1,76,23.2,,,,,,,,,,,,,,,12.9,21.89,"Derrick Favors, UTAH",17.2,27,9.4,.624,18.8,273.9
29,6.0,22.5,9.4,75,22.3,,,,,,,,,,,,,,,12.3,21.88,"JaVale McGee, LAL",17.5,28,12.4,.634,19.4,281.4
30,10.2,22.1,9.4,61,30.0,,,,,,,,,,,,,,,12.3,21.85,"John Collins, ATL",17.1,29,10.1,.627,23.3,282.6
31,18.8,11.9,15.3,82,34.9,,,,,,,,,,,,,,,1.9,21.72,"Kemba Walker, CHA",6.8,30,8.2,.558,31.9,457.9
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,5.5,23.4,3.7,37,19.7,,,,,,,,,,,,,,,14.4,21.62,"Kenneth Faried, HOU/BKN",18.8,31,9.1,.622,19.6,109.9
34,23.9,9.7,12.2,70,33.5,,,,,,,,,,,,,,,1.9,21.46,"Mike Conley, MEM",5.7,32,6.9,.569,27.9,365.6
35,17.4,27.0,4.2,30,25.7,,,,,,,,,,,,,,,6.2,21.44,"DeMarcus Cousins, GS",17.1,33,11.7,.562,27.9,124.8
36,20.8,9.4,10.7,75,26.6,,,,,,,,,,,,,,,2.2,21.30,"Lou Williams, LAC",5.9,34,9.4,.554,32.9,321.2
37,28.2,28.3,13.3,73,36.0,,,,,,,,,,,,,,,4.1,21.14,"Russell Westbrook, OKC",15.8,35,11.7,.501,33.4,398.0
38,12.9,25.1,7.8,72,20.8,,,,,,,,,,,,,,,8.1,21.02,"Thomas Bryant, WSH",16.5,36,8.4,.674,17.2,232.7
39,13.3,18.1,10.8,68,30.3,,,,,,,,,,,,,,,2.9,21.02,"Danilo Gallinari, LAC",10.7,,7.4,.633,23.3,323.2
40,13.2,21.6,11.6,73,30.6,,,,,,,,,,,,,,,7.6,21.02,"Julius Randle, NO",14.7,,12.0,.600,27.6,347.0
41,18.0,20.1,12.4,75,35.0,,,,,,,,,,,,,,,4.0,21.02,"Blake Griffin, DET",11.8,,11.3,.581,30.9,372.4
42,18.1,11.7,15.6,82,36.9,,,,,,,,,,,,,,,3.1,20.84,"Bradley Beal, WSH",7.4,40,9.0,.581,28.4,467.2
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,10.8,20.5,5.4,70,16.9,,,,,,,,,,,,,,,10.6,20.72,"Richaun Holmes, PHX",15.5,41,9.4,.647,17.3,163.0
45,10.4,26.1,10.8,71,30.7,,,,,,,,,,,,,,,11.1,20.54,"Deandre Ayton, PHX",18.5,42,10.5,.608,20.4,323.9
46,14.4,17.3,7.4,77,21.6,,,,,,,,,,,,,,,9.1,20.45,"Dwight Powell, DAL",13.2,43,8.6,.682,17.1,221.9
47,12.6,26.3,4.0,58,14.0,,,,,,,,,,,,,,,15.3,20.41,"Willy Hernangomez, CHA",20.7,44,12.2,.587,21.8,118.8
48,20.1,11.3,10.9,64,35.0,,,,,,,,,,,,,,,1.9,20.30,"Devin Booker, PHX",6.5,45,12.3,.584,33.1,327.9
49,18.5,10.5,10.6,65,33.6,,,,,,,,,,,,,,,6.0,20.29,"Jimmy Butler, MIN/PHI",8.3,46,6.7,.571,23.4,319.2
50,24.6,18.3,9.4,68,29.0,,,,,,,,,,,,,,,6.5,20.21,"Al Horford, BOS",12.4,47,8.9,.605,19.6,282.9
51,30.0,20.0,12.2,79,34.2,,,,,,,,,,,,,,,6.9,20.07,"Ben Simmons, PHI",13.7,48,13.5,.582,23.7,365.5
52,33.0,13.9,8.0,58,32.0,,,,,,,,,,,,,,,2.1,19.71,"Chris Paul, HOU",7.9,49,10.6,.560,24.6,241.3
53,21.8,16.4,12.2,77,34.9,,,,,,,,,,,,,,,2.2,19.61,"DeMar DeRozan, SA",9.4,50,9.1,.542,28.3,365.6
0,20.7,21.9,10.5,72,32.2,,,,,,,,,,,,,,,4.0,19.61,"Luka Doncic, DAL",13.0,51,11.9,.545,31.2,315.2
1,19.5,8.3,5.9,51,27.3,,,,,,,,,,,,,,,2.5,19.52,"Derrick Rose, MIN",5.4,52,7.3,.557,28.0,177.1
2,11.3,40.0,2.4,22,27.2,,,,,,,,,,,,,,,5.9,19.50,"Kevin Love, CLE",22.2,53,9.9,.561,27.1,71.4
3,23.2,11.2,10.3,81,30.2,,,,,,,,,,,,,,,2.3,19.48,"D'Angelo Russell, BKN",6.8,54,10.4,.533,33.1,309.9
4,25.8,11.0,10.1,67,35.9,,,,,,,,,,,,,,,3.3,19.43,"Jrue Holiday, NO",7.2,55,10.5,.555,26.8,302.3
5,19.7,19.7,5.6,77,16.5,,,,,,,,,,,,,,,15.4,19.38,"Jakob Poeltl, SA",17.6,56,10.2,.640,13.1,166.8
6,11.1,20.0,4.1,77,13.7,,,,,,,,,,,,,,,12.1,19.32,"Nerlens Noel, OKC",15.9,57,11.9,.608,13.8,123.2
7,25.8,11.8,9.4,78,29.1,,,,,,,,,,,,,,,3.9,19.31,"Eric Bledsoe, MIL",8.1,58,9.9,.577,23.6,281.7
8,15.5,18.8,2.7,50,12.9,,,,,,,,,,,,,,,13.0,19.19,"Khem Birch, ORL",15.8,59,8.1,.640,14.0,82.5
9,17.9,35.2,8.6,69,29.7,,,,,,,,,,,,,,,11.7,19.04,"DeAndre Jordan, DAL/NY",23.5,60,17.6,.674,14.4,257.9
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,6.3,20.8,5.8,62,25.3,,,,,,,,,,,,,,,10.4,18.93,"Marvin Bagley III, SAC",15.5,61,10.0,.562,23.3,173.8
12,11.1,24.2,4.3,59,17.6,,,,,,,,,,,,,,,11.9,18.92,"Ivica Zubac, LAC/LAL",18.2,62,12.3,.604,19.7,129.2
