,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,23.2,15.2,23.9,72,35.4,,,,,,,,,,,,,,,1.8,29.87,"James Harden, HOU",8.6,1,11.6,.619,35.9,718.5
1,8.4,24.8,23.7,75,36.4,,,,,,,,,,,,,,,7.7,28.98,"Anthony Davis, NO",16.5,2,7.9,.612,27.7,711.4
2,25.7,22.3,27.3,82,36.9,,,,,,,,,,,,,,,3.7,28.65,"LeBron James, CLE",13.1,3,11.9,.621,31.7,819.5
3,21.2,14.4,14.1,51,32.0,,,,,,,,,,,,,,,2.7,28.32,"Stephen Curry, GS",9.0,4,10.5,.675,30.0,421.7
4,15.9,25.3,21.8,75,36.7,,,,,,,,,,,,,,,6.7,27.37,"Giannis Antetokounmpo, MIL",16.0,5,9.8,.598,29.8,652.7
5,18.6,19.5,18.0,68,34.2,,,,,,,,,,,,,,,1.6,26.05,"Kevin Durant, GS",11.2,6,10.5,.640,29.1,539.7
6,20.6,10.6,18.8,73,36.6,,,,,,,,,,,,,,,2.6,25.19,"Damian Lillard, POR",6.6,7,8.8,.594,30.5,565.4
7,8.5,17.3,17.0,75,33.5,,,,,,,,,,,,,,,10.8,25.12,"LaMarcus Aldridge, SA",14.0,8,6.2,.570,27.5,510.2
8,18.6,10.8,13.5,60,32.2,,,,,,,,,,,,,,,1.9,25.03,"Kyrie Irving, BOS",6.4,9,8.5,.610,30.3,404.4
9,11.7,30.9,20.9,82,35.6,,,,,,,,,,,,,,,9.3,24.99,"Karl-Anthony Towns, MIN",20.0,10,9.3,.646,21.9,626.6
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,26.1,25.7,20.0,80,36.4,,,,,,,,,,,,,,,5.6,24.80,"Russell Westbrook, OKC",15.3,11,12.1,.524,35.7,600.0
12,9.4,17.0,8.5,76,17.0,,,,,,,,,,,,,,,8.9,24.73,"Montrezl Harrell, LAC",13.0,12,8.6,.647,22.5,255.4
13,7.1,30.8,14.1,74,27.5,,,,,,,,,,,,,,,13.5,24.55,"Clint Capela, HOU",22.2,13,10.7,.650,18.0,423.6
14,25.2,27.9,16.9,75,32.5,,,,,,,,,,,,,,,9.0,24.52,"Nikola Jokic, DEN",18.5,14,11.6,.603,24.9,507.0
15,30.9,16.7,12.3,58,31.8,,,,,,,,,,,,,,,2.3,24.39,"Chris Paul, HOU",9.5,15,8.6,.604,25.4,369.2
16,6.7,36.6,9.2,54,25.3,,,,,,,,,,,,,,,14.3,24.18,"Hassan Whiteside, MIA",25.4,16,11.4,.573,22.9,276.5
17,10.3,30.6,12.2,71,25.8,,,,,,,,,,,,,,,16.6,24.02,"Enes Kanter, NY",23.6,17,12.0,.630,20.9,366.6
18,19.1,12.7,14.2,59,36.7,,,,,,,,,,,,,,,4.2,23.70,"Jimmy Butler, MIN",8.4,18,7.2,.590,24.6,426.4
19,15.8,15.1,16.0,75,34.0,,,,,,,,,,,,,,,2.1,23.12,"Victor Oladipo, IND",8.6,19,10.7,.577,29.1,480.7
20,11.7,29.7,11.7,63,30.3,,,,,,,,,,,,,,,8.4,22.95,"Joel Embiid, PHI",19.4,20,13.8,.573,31.8,352.5
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,15.9,36.4,16.1,78,33.7,,,,,,,,,,,,,,,16.4,22.94,"Andre Drummond, DET",26.2,21,13.4,.555,20.6,483.5
23,16.7,30.9,10.4,48,36.2,,,,,,,,,,,,,,,6.8,22.66,"DeMarcus Cousins, NO",19.2,22,15.8,.583,30.5,312.5
24,8.3,30.3,10.2,77,22.4,,,,,,,,,,,,,,,12.1,22.52,"Jonas Valanciunas, TOR",21.4,23,11.8,.628,21.3,307.3
25,9.9,29.8,9.7,59,28.0,,,,,,,,,,,,,,,7.0,22.44,"Kevin Love, CLE",18.6,24,8.7,.614,23.4,291.8
26,10.9,18.7,3.6,65,9.5,,,,,,,,,,,,,,,11.5,22.39,"JaVale McGee, GS",15.4,25,8.9,.641,17.8,108.2
27,17.6,0.0,5.5,51,20.4,,,,,,,,,,,,,,,0.0,21.24,"Greg Monroe, BOS/MIL/PHX",0.0,26,14.5,.598,24.2,165.2
28,20.9,16.3,8.5,52,30.9,,,,,,,,,,,,,,,3.1,21.16,"Tyreke Evans, MEM",9.5,27,9.1,.561,28.2,255.6
29,27.3,8.2,3.9,36,21.8,,,,,,,,,,,,,,,1.8,21.11,"Trey Burke, NY",5.0,28,6.9,.563,26.0,118.5
30,18.5,10.4,14.3,80,33.9,,,,,,,,,,,,,,,2.5,21.10,"DeMar DeRozan, TOR",6.5,29,7.8,.555,29.0,429.0
31,21.9,18.2,4.7,73,13.7,,,,,,,,,,,,,,,7.7,21.01,"David West, GS",13.3,30,12.7,.600,21.1,141.8
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,10.5,27.0,9.1,56,32.4,,,,,,,,,,,,,,,10.4,20.71,"Rudy Gobert, UTAH",18.8,31,14.0,.657,15.9,274.1
34,8.4,13.9,12.5,76,32.7,,,,,,,,,,,,,,,16.6,20.69,"Steven Adams, OKC",15.3,32,12.1,.630,16.0,374.5
35,20.5,8.7,13.1,80,34.2,,,,,,,,,,,,,,,1.2,20.62,"Kemba Walker, CHA",4.9,33,8.2,.572,27.1,392.9
36,7.1,33.8,12.2,81,30.4,,,,,,,,,,,,,,,11.0,20.56,"Dwight Howard, CHA",22.2,34,14.1,.577,22.7,366.1
37,4.9,18.1,6.9,48,32.4,,,,,,,,,,,,,,,4.4,20.42,"Kristaps Porzingis, NY",11.3,35,8.0,.539,29.0,206.9
38,18.9,6.6,12.6,79,32.8,,,,,,,,,,,,,,,1.7,20.29,"Lou Williams, LAC",4.2,36,10.6,.574,29.3,378.3
39,13.5,22.0,6.1,66,21.5,,,,,,,,,,,,,,,12.4,20.18,"Larry Nance Jr., CLE/LAL",17.2,37,8.4,.605,16.0,184.2
40,12.1,37.6,11.5,77,31.5,,,,,,,,,,,,,,,15.1,20.17,"DeAndre Jordan, LAC",26.5,38,14.1,.648,14.5,346.3
41,31.7,19.5,12.3,81,33.7,,,,,,,,,,,,,,,5.9,20.03,"Ben Simmons, PHI",13.0,39,13.3,.557,23.5,368.4
42,22.6,27.8,6.5,77,18.0,,,,,,,,,,,,,,,9.7,20.01,"Kyle O'Quinn, NY",18.8,40,14.3,.625,17.2,194.6
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,13.9,22.8,9.2,82,26.7,,,,,,,,,,,,,,,8.9,19.96,"Julius Randle, LAL",15.9,41,14.1,.606,24.3,276.5
45,21.6,11.7,10.2,74,31.4,,,,,,,,,,,,,,,2.6,19.79,"Eric Bledsoe, MIL/PHX",7.1,42,12.6,.582,25.5,304.8
46,16.2,27.8,7.7,57,29.5,,,,,,,,,,,,,,,6.6,19.79,"Nikola Vucevic, ORL",17.1,,9.2,.533,24.9,230.8
