,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,21.1,19.0,32.3,81,37.7,,,,,,,,,,,,,,,4.3,31.76,"LeBron James, CLE",11.9,1,8.7,.591,32.2,969.2
1,20.0,12.2,30.3,79,38.6,,,,,,,,,,,,,,,3.5,30.46,"Dwyane Wade, MIA",7.8,2,9.3,.574,34.1,908.1
2,33.4,14.6,28.4,78,38.5,,,,,,,,,,,,,,,2.8,30.04,"Chris Paul, NO",8.7,3,9.0,.599,27.9,853.2
3,6.6,29.5,20.8,79,35.7,,,,,,,,,,,,,,,13.8,25.44,"Dwight Howard, ORL",21.8,4,14.1,.600,23.0,624.8
4,15.1,27.9,17.5,75,33.6,,,,,,,,,,,,,,,9.6,24.51,"Tim Duncan, SA",18.9,5,9.4,.549,26.0,523.6
5,15.5,12.8,20.6,82,36.1,,,,,,,,,,,,,,,3.5,24.46,"Kobe Bryant, LAL",8.2,6,8.2,.561,30.2,616.7
6,19.1,11.6,19.6,78,37.2,,,,,,,,,,,,,,,4.4,24.08,"Brandon Roy, POR",7.9,7,7.3,.573,26.5,588.4
7,23.6,9.4,15.2,72,34.1,,,,,,,,,,,,,,,1.3,23.47,"Tony Parker, SA",5.4,8,8.8,.556,30.1,457.0
8,8.9,22.1,17.7,81,37.7,,,,,,,,,,,,,,,3.3,23.20,"Dirk Nowitzki, DAL",12.8,9,7.1,.564,27.3,532.4
9,6.3,24.9,11.5,50,36.7,,,,,,,,,,,,,,,10.6,23.16,"Al Jefferson, MIN",17.5,10,7.3,.532,26.2,344.1
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,19.2,17.3,7.3,44,26.8,,,,,,,,,,,,,,,2.5,22.93,"Manu Ginobili, SA",10.0,11,10.7,.594,25.2,219.0
12,8.6,24.1,15.6,77,33.6,,,,,,,,,,,,,,,9.6,22.74,"Yao Ming, HOU",17.1,12,14.7,.618,23.6,469.2
13,9.2,22.3,13.1,75,30.0,,,,,,,,,,,,,,,10.1,22.33,"Shaquille O'Neal, PHX",16.4,13,12.3,.623,21.7,394.3
14,16.9,19.3,16.6,81,37.0,,,,,,,,,,,,,,,10.0,22.31,"Pau Gasol, LAL",14.7,14,9.4,.617,19.3,497.3
15,10.1,22.1,15.6,77,38.0,,,,,,,,,,,,,,,8.7,22.19,"Chris Bosh, TOR",15.5,15,9.2,.569,24.1,467.0
16,10.0,13.4,13.7,67,36.2,,,,,,,,,,,,,,,2.2,21.88,"Danny Granger, IND",7.7,16,9.0,.584,26.8,411.9
17,23.9,9.7,13.2,69,36.1,,,,,,,,,,,,,,,1.4,21.65,"Devin Harris, NJ",5.5,17,10.6,.563,27.4,396.3
18,14.0,26.7,8.7,57,31.1,,,,,,,,,,,,,,,5.6,21.32,"Kevin Garnett, BOS",16.6,18,8.7,.563,21.4,259.6
19,34.4,8.1,12.6,68,36.8,,,,,,,,,,,,,,,1.1,21.13,"Deron Williams, UTAH",4.6,19,10.8,.573,25.5,378.6
20,10.0,16.4,14.9,74,39.0,,,,,,,,,,,,,,,3.0,20.85,"Kevin Durant, OKC",9.6,20,11.0,.577,26.0,445.8
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,25.6,10.5,6.3,42,31.2,,,,,,,,,,,,,,,1.8,20.66,"Jameer Nelson, ORL",6.2,21,9.4,.612,22.3,188.8
23,8.0,20.5,14.1,81,38.2,,,,,,,,,,,,,,,7.2,20.63,"Antawn Jamison, WSH",13.7,22,6.5,.549,23.6,422.0
24,8.9,18.1,8.6,53,36.8,,,,,,,,,,,,,,,7.2,20.39,"Amar'e Stoudemire, PHX",12.9,23,12.8,.617,21.7,258.5
25,9.4,20.1,6.8,50,28.9,,,,,,,,,,,,,,,10.8,20.03,"Andrew Bynum, LAL",15.6,24,11.3,.598,18.9,203.5
26,8.6,23.3,7.2,50,35.1,,,,,,,,,,,,,,,9.9,19.72,"Zach Randolph, LAC/NY",16.4,25,9.5,.531,25.7,215.6
27,37.6,9.2,10.6,74,33.6,,,,,,,,,,,,,,,0.9,19.55,"Steve Nash, PHX",5.2,26,13.0,.615,22.0,316.9
28,14.7,9.7,7.6,70,24.4,,,,,,,,,,,,,,,2.4,19.44,"Leandro Barbosa, PHX",6.2,27,8.5,.588,22.2,227.5
29,18.2,13.8,13.0,80,36.8,,,,,,,,,,,,,,,3.0,19.35,"Vince Carter, NJ",8.3,28,8.0,.545,25.2,389.1
30,15.3,6.3,10.3,74,33.7,,,,,,,,,,,,,,,1.8,19.35,"Jason Terry, DAL",4.1,,7.3,.571,23.7,310.3
31,10.4,9.3,8.5,51,38.2,,,,,,,,,,,,,,,1.7,19.25,"Kevin Martin, SAC",5.5,30,11.0,.601,24.7,254.3
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,14.1,27.4,7.9,62,30.0,,,,,,,,,,,,,,,13.0,19.16,"Andris Biedrins, GS",20.2,31,12.8,.585,15.6,238.0
34,9.4,15.6,11.4,81,37.1,,,,,,,,,,,,,,,9.5,19.13,"LaMarcus Aldridge, POR",12.5,32,7.3,.529,22.0,342.2
35,12.1,17.0,9.7,66,34.5,,,,,,,,,,,,,,,5.6,19.09,"Carmelo Anthony, DEN",11.5,33,10.9,.532,28.7,291.8
36,12.3,27.9,10.6,81,34.9,,,,,,,,,,,,,,,9.6,19.07,"David Lee, NY",18.4,34,10.6,.590,17.6,318.9
37,9.6,19.7,11.1,76,39.2,,,,,,,,,,,,,,,6.5,19.00,"David West, NO",13.1,35,9.0,.540,23.8,333.6
38,18.8,9.8,8.7,74,29.9,,,,,,,,,,,,,,,4.7,18.95,"Nate Robinson, NY",7.2,36,8.7,.549,24.1,261.9
39,37.8,13.9,10.4,80,33.0,,,,,,,,,,,,,,,4.8,18.90,"Rajon Rondo, BOS",9.6,37,12.0,.543,20.1,311.4
40,27.1,8.4,10.9,79,35.3,,,,,,,,,,,,,,,1.4,18.85,"Chauncey Billups, DEN/DET",5.0,38,9.5,.592,21.3,326.7
41,16.5,13.8,10.7,67,38.6,,,,,,,,,,,,,,,5.2,18.84,"Caron Butler, WSH",9.4,39,11.9,.552,24.5,321.6
42,9.6,18.7,10.3,77,32.6,,,,,,,,,,,,,,,8.7,18.83,"Nene , DEN",13.8,40,13.1,.645,16.3,308.1
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,41.5,8.9,9.1,68,34.3,,,,,,,,,,,,,,,0.8,18.80,"Jose Calderon, TOR",4.9,41,9.8,.613,18.1,271.7
45,16.0,32.7,7.8,62,31.0,,,,,,,,,,,,,,,9.4,18.79,"Marcus Camby, LAC",20.7,42,11.7,.556,14.7,235.3
46,6.4,15.0,2.8,39,17.6,,,,,,,,,,,,,,,9.8,18.77,"Brandan Wright, GS",12.4,43,7.0,.570,17.0,84.9
