,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,19.4,19.7,23.5,62,37.5,,,,,,,,,,,,,,,5.0,30.80,"LeBron James, MIA",12.6,1,10.7,.605,29.8,704.8
1,32.1,9.4,17.5,60,36.4,,,,,,,,,,,,,,,2.3,27.09,"Chris Paul, LAC",5.8,2,7.3,.581,24.9,523.7
2,17.0,11.6,12.8,49,33.2,,,,,,,,,,,,,,,5.6,26.37,"Dwyane Wade, MIA",8.7,3,9.8,.559,28.9,385.0
3,11.6,20.4,20.0,66,38.6,,,,,,,,,,,,,,,1.9,26.26,"Kevin Durant, OKC",11.8,4,12.4,.610,28.4,598.9
4,7.4,26.4,14.8,55,39.0,,,,,,,,,,,,,,,11.6,25.41,"Kevin Love, MIN",19.0,5,8.5,.568,26.0,445.4
5,8.3,33.1,14.1,54,38.3,,,,,,,,,,,,,,,11.0,24.29,"Dwight Howard, ORL",21.9,6,13.9,.569,23.6,423.0
6,27.7,13.9,5.4,34,23.3,,,,,,,,,,,,,,,2.7,24.18,"Manu Ginobili, SA",8.4,7,11.8,.668,22.1,161.7
7,13.2,25.1,14.3,66,36.2,,,,,,,,,,,,,,,10.7,23.50,"Blake Griffin, LAC",17.8,8,9.4,.557,24.7,428.3
8,25.0,8.4,8.3,39,35.3,,,,,,,,,,,,,,,2.2,23.10,"Derrick Rose, CHI",5.3,9,9.7,.532,30.4,248.4
9,17.7,9.4,13.9,66,35.3,,,,,,,,,,,,,,,5.0,23.00,"Russell Westbrook, OKC",7.4,10,11.7,.538,30.4,417.6
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,7.2,26.1,13.0,60,35.2,,,,,,,,,,,,,,,10.6,23.00,"Andrew Bynum, LAL",18.7,,12.9,.594,21.5,390.9
12,10.1,25.3,12.7,61,34.0,,,,,,,,,,,,,,,7.3,22.88,"Al Jefferson, UTAH",16.2,12,4.7,.520,23.7,380.3
13,10.2,17.5,11.1,55,36.3,,,,,,,,,,,,,,,8.6,22.73,"LaMarcus Aldridge, POR",12.9,13,8.5,.560,24.5,334.2
14,12.3,28.2,9.8,58,28.2,,,,,,,,,,,,,,,7.9,22.60,"Tim Duncan, SA",18.3,14,9.1,.531,23.7,292.6
15,12.5,23.6,11.9,66,31.5,,,,,,,,,,,,,,,13.3,22.09,"Greg Monroe, DET",18.3,15,13.3,.563,21.8,357.1
16,28.4,8.7,10.6,60,32.1,,,,,,,,,,,,,,,1.3,22.04,"Tony Parker, SA",5.1,16,9.4,.539,27.1,317.0
