,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,15.0,14.6,15.1,75,39.4,,,,,,,,,,,,,,,5.0,31.01,"Tracy McGrady, ORL",9.5,1,7.1,.564,32.6,452.0
1,10.7,21.6,11.9,67,37.8,,,,,,,,,,,,,,,11.0,29.43,"Shaquille O'Neal, LAL",16.5,2,10.1,.602,27.8,356.2
2,16.0,15.3,14.0,82,41.5,,,,,,,,,,,,,,,3.0,27.07,"Kobe Bryant, LAL",9.3,3,9.6,.550,31.1,420.6
3,20.4,28.5,12.4,82,40.5,,,,,,,,,,,,,,,9.0,26.46,"Kevin Garnett, MIN",18.8,4,9.4,.553,25.0,370.8
4,14.1,27.3,11.8,81,39.3,,,,,,,,,,,,,,,10.0,26.46,"Tim Duncan, SA",19.0,,11.1,.564,25.7,355.0
5,11.3,25.1,11.2,80,39.0,,,,,,,,,,,,,,,3.0,25.94,"Dirk Nowitzki, DAL",14.0,6,7.2,.581,24.8,336.0
6,29.1,7.0,8.4,82,33.1,,,,,,,,,,,,,,,3.0,23.51,"Steve Nash, DAL",4.8,7,9.4,.576,24.0,253.1
7,13.6,17.7,10.0,79,39.2,,,,,,,,,,,,,,,4.0,23.49,"Paul Pierce, BOS",10.6,8,11.2,.532,30.1,300.0
8,22.7,12.4,8.1,78,34.6,,,,,,,,,,,,,,,2.0,23.08,"Sam Cassell, MIL",7.4,9,8.9,.565,25.2,243.4
9,29.3,15.1,8.6,80,37.4,,,,,,,,,,,,,,,4.0,22.62,"Jason Kidd, NJ",9.6,10,12.2,.526,26.0,259.3
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
