,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,11.9,0.0,0.0,77,38.7,,,,,,,,,,,,,,,0.0,0.00,"Shareef Abdur-Rahim, ATL",0.0,,12.4,.536,0.0,0.0
1,12.8,0.0,0.0,56,23.7,,,,,,,,,,,,,,,0.0,0.00,"Courtney Alexander, WSH",0.0,,8.9,.521,0.0,0.0
2,16.1,0.0,0.0,69,36.6,,,,,,,,,,,,,,,0.0,0.00,"Ray Allen, MIL",0.0,,9.4,.598,0.0,0.0
3,37.0,0.0,0.0,50,12.0,,,,,,,,,,,,,,,0.0,0.00,"Rafer Alston, MIL",0.0,,10.3,.434,0.0,0.0
4,9.8,0.0,0.0,54,10.9,,,,,,,,,,,,,,,0.0,0.00,"John Amaechi, UTAH",0.0,,18.6,.412,0.0,0.0
5,31.1,0.0,0.0,76,32.0,,,,,,,,,,,,,,,0.0,0.00,"Kenny Anderson, BOS",0.0,,9.2,.472,0.0,0.0
6,12.8,0.0,0.0,82,19.5,,,,,,,,,,,,,,,0.0,0.00,"Shandon Anderson, NY",0.0,,16.4,.489,0.0,0.0
7,21.5,0.0,0.0,70,26.6,,,,,,,,,,,,,,,0.0,0.00,"Derek Anderson, POR",0.0,,8.6,.538,0.0,0.0
8,31.6,0.0,0.0,60,25.2,,,,,,,,,,,,,,,0.0,0.00,"Greg Anthony, CHI/MIL",0.0,,10.5,.460,0.0,0.0
9,29.3,0.0,0.0,82,33.3,,,,,,,,,,,,,,,0.0,0.00,"Darrell Armstrong, ORL",0.0,,11.3,.553,0.0,0.0
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,13.1,0.0,0.0,55,29.9,,,,,,,,,,,,,,,0.0,0.00,"Metta World Peace, CHI/IND",0.0,,12.2,.501,0.0,0.0
12,21.3,0.0,0.0,79,28.9,,,,,,,,,,,,,,,0.0,0.00,"Chucky Atkins, DET",0.0,,10.4,.568,0.0,0.0
13,19.5,0.0,0.0,77,17.1,,,,,,,,,,,,,,,0.0,0.00,"Stacey Augmon, CHA",0.0,,10.2,.479,0.0,0.0
14,8.3,0.0,0.0,50,12.8,,,,,,,,,,,,,,,0.0,0.00,"Dalibor Bagaric, CHI",0.0,,16.6,.443,0.0,0.0
15,7.6,0.0,0.0,55,31.1,,,,,,,,,,,,,,,0.0,0.00,"Vin Baker, SEA",0.0,,13.4,.517,0.0,0.0
16,24.8,0.0,0.0,29,20.1,,,,,,,,,,,,,,,0.0,0.00,"Dana Barros, DET",0.0,,10.5,.473,0.0,0.0
17,28.6,0.0,0.0,82,24.2,,,,,,,,,,,,,,,0.0,0.00,"Jon Barry, DET",0.0,,11.6,.645,0.0,0.0
18,28.7,0.0,0.0,81,37.5,,,,,,,,,,,,,,,0.0,0.00,"Brent Barry, SEA",0.0,,11.1,.652,0.0,0.0
19,6.6,0.0,0.0,74,24.6,,,,,,,,,,,,,,,0.0,0.00,"Tony Battie, BOS",0.0,,9.6,.570,0.0,0.0
20,18.7,0.0,0.0,74,12.0,,,,,,,,,,,,,,,0.0,0.00,"Raja Bell, PHI",0.0,,12.6,.486,0.0,0.0
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,8.9,0.0,0.0,78,21.1,,,,,,,,,,,,,,,0.0,0.00,"Jonathan Bender, IND",0.0,,13.8,.538,0.0,0.0
23,32.7,0.0,0.0,74,23.6,,,,,,,,,,,,,,,0.0,0.00,"Travis Best, CHI/IND",0.0,,10.0,.511,0.0,0.0
24,25.1,0.0,0.0,80,33.2,,,,,,,,,,,,,,,0.0,0.00,"Mike Bibby, SAC",0.0,,8.3,.513,0.0,0.0
25,29.7,0.0,0.0,82,28.7,,,,,,,,,,,,,,,0.0,0.00,"Chauncey Billups, MIN",0.0,,9.1,.555,0.0,0.0
26,37.9,0.0,0.0,35,17.1,,,,,,,,,,,,,,,0.0,0.00,"Mookie Blaylock, GS",0.0,,12.3,.398,0.0,0.0
27,12.0,0.0,0.0,72,19.8,,,,,,,,,,,,,,,0.0,0.00,"Corie Blount, PHI",0.0,,14.2,.478,0.0,0.0
28,5.1,0.0,0.0,52,11.3,,,,,,,,,,,,,,,0.0,0.00,"Cal Bowdler, ATL",0.0,,5.1,.416,0.0,0.0
29,14.8,0.0,0.0,59,28.8,,,,,,,,,,,,,,,0.0,0.00,"Bruce Bowen, SA",0.0,,11.1,.468,0.0,0.0
30,11.8,0.0,0.0,75,22.5,,,,,,,,,,,,,,,0.0,0.00,"Ryan Bowen, DEN",0.0,,9.3,.524,0.0,0.0
31,29.5,0.0,0.0,68,11.2,,,,,,,,,,,,,,,0.0,0.00,"Earl Boykins, LAC",0.0,,9.0,.464,0.0,0.0
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,8.5,0.0,0.0,53,14.3,,,,,,,,,,,,,,,0.0,0.00,"Shawn Bradley, DAL",0.0,,10.6,.562,0.0,0.0
34,11.9,0.0,0.0,80,37.8,,,,,,,,,,,,,,,0.0,0.00,"Elton Brand, LAC",0.0,,10.8,.586,0.0,0.0
35,37.2,0.0,0.0,32,30.1,,,,,,,,,,,,,,,0.0,0.00,"Terrell Brandon, MIN",0.0,,6.1,.494,0.0,0.0
36,13.3,0.0,0.0,80,32.0,,,,,,,,,,,,,,,0.0,0.00,"P.J. Brown, CHA",0.0,,10.6,.545,0.0,0.0
37,39.0,0.0,0.0,59,8.8,,,,,,,,,,,,,,,0.0,0.00,"Rick Brunson, POR",0.0,,16.1,.477,0.0,0.0
38,17.4,0.0,0.0,80,38.3,,,,,,,,,,,,,,,0.0,0.00,"Kobe Bryant, LAL",0.0,,8.9,.544,0.0,0.0
39,16.1,0.0,0.0,44,20.1,,,,,,,,,,,,,,,0.0,0.00,"Greg Buckner, DAL",0.0,,9.0,.566,0.0,0.0
40,19.2,0.0,0.0,66,10.4,,,,,,,,,,,,,,,0.0,0.00,"Jud Buechler, ORL/PHX",0.0,,9.0,.463,0.0,0.0
41,9.3,0.0,0.0,63,28.1,,,,,,,,,,,,,,,0.0,0.00,"Rodney Buford, MEM",0.0,,8.3,.470,0.0,0.0
42,8.1,0.0,0.0,29,34.7,,,,,,,,,,,,,,,0.0,0.00,"Marcus Camby, NY",0.0,,10.3,.483,0.0,0.0
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
