,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,16.1,18.6,30.1,81,38.5,,,,,,,,,,,,,,,2.2,29.90,"Kevin Durant, OKC",10.8,1,10.3,.635,31.2,903.8
1,20.6,18.9,27.3,77,37.7,,,,,,,,,,,,,,,3.6,29.40,"LeBron James, MIA",11.5,2,11.4,.649,29.1,818.5
2,15.2,29.5,21.5,77,36.3,,,,,,,,,,,,,,,8.5,26.97,"Kevin Love, MIN",18.7,3,8.7,.591,27.7,645.8
3,7.4,23.3,17.6,67,35.2,,,,,,,,,,,,,,,10.0,26.54,"Anthony Davis, NO",16.6,4,7.7,.582,23.2,529.3
4,10.8,30.5,17.8,71,32.4,,,,,,,,,,,,,,,10.6,26.18,"DeMarcus Cousins, SAC",20.4,5,13.1,.555,30.7,534.5
5,36.2,11.4,16.2,62,35.0,,,,,,,,,,,,,,,2.0,25.98,"Chris Paul, LAC",6.9,6,7.9,.580,25.0,485.2
6,4.9,14.1,4.0,17,31.4,,,,,,,,,,,,,,,8.8,25.50,"Brook Lopez, BKN",11.5,7,8.7,.629,24.1,118.6
7,22.5,15.9,9.7,46,30.7,,,,,,,,,,,,,,,4.6,24.74,"Russell Westbrook, OKC",10.5,8,12.5,.545,33.5,289.6
8,10.4,19.4,20.8,77,38.7,,,,,,,,,,,,,,,5.6,24.50,"Carmelo Anthony, NY",12.3,9,8.5,.561,30.1,623.0
9,26.7,10.9,18.6,78,36.5,,,,,,,,,,,,,,,1.8,24.13,"Stephen Curry, GS",6.4,10,11.8,.610,28.2,557.6
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,14.1,21.2,17.8,80,35.8,,,,,,,,,,,,,,,7.7,23.98,"Blake Griffin, LAC",14.7,11,10.2,.583,27.1,533.3
12,12.2,20.0,15.9,80,32.9,,,,,,,,,,,,,,,1.8,23.68,"Dirk Nowitzki, DAL",10.9,12,6.6,.603,24.9,477.7
13,7.0,15.1,6.5,58,18.6,,,,,,,,,,,,,,,11.0,23.60,"Brandan Wright, DAL",13.1,13,7.9,.695,15.8,194.5
14,20.2,10.7,18.0,73,38.0,,,,,,,,,,,,,,,2.6,23.51,"James Harden, HOU",6.9,14,12.0,.618,26.8,539.2
15,8.7,28.3,15.4,73,35.0,,,,,,,,,,,,,,,6.9,22.75,"Al Jefferson, CHA",17.5,15,7.0,.532,26.7,462.9
16,3.3,27.7,15.7,81,32.3,,,,,,,,,,,,,,,17.5,22.65,"Andre Drummond, DET",22.3,16,10.4,.599,15.6,470.9
17,12.7,21.4,5.5,29,33.0,,,,,,,,,,,,,,,8.0,22.08,"Al Horford, ATL",14.8,17,10.7,.588,22.7,164.2
18,19.6,12.4,10.2,54,32.9,,,,,,,,,,,,,,,4.4,22.06,"Dwyane Wade, MIA",8.5,18,12.5,.588,26.1,306.3
19,9.5,25.6,12.9,69,36.2,,,,,,,,,,,,,,,7.2,21.84,"LaMarcus Aldridge, POR",16.5,19,6.5,.507,27.9,385.7
20,23.1,7.4,14.5,76,35.1,,,,,,,,,,,,,,,2.9,21.43,"Goran Dragic, PHX",5.2,20,11.0,.604,24.1,435.4
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,15.4,28.3,10.6,74,29.2,,,,,,,,,,,,,,,8.6,21.40,"Tim Duncan, SA",18.8,21,11.2,.535,23.5,318.8
23,9.1,27.9,12.8,71,33.7,,,,,,,,,,,,,,,11.4,21.36,"Dwight Howard, HOU",20.1,22,15.9,.600,22.0,384.8
24,5.3,17.6,8.4,54,30.8,,,,,,,,,,,,,,,13.1,20.72,"Nikola Pekovic, MIN",15.3,23,8.9,.582,21.1,251.2
25,23.4,7.5,11.9,72,34.7,,,,,,,,,,,,,,,2.1,20.54,"Isaiah Thomas, SAC",4.7,24,11.0,.574,26.1,355.6
26,28.9,11.5,13.1,79,36.2,,,,,,,,,,,,,,,3.6,20.20,"Kyle Lowry, TOR",7.5,25,9.6,.567,23.4,392.9
27,13.7,17.7,13.9,80,36.2,,,,,,,,,,,,,,,2.6,20.16,"Paul George, IND",10.5,26,10.8,.555,26.4,417.9
28,21.6,9.5,11.3,71,35.2,,,,,,,,,,,,,,,2.3,20.14,"Kyrie Irving, CLE",5.8,27,9.5,.533,27.8,340.4
29,25.3,8.4,11.0,73,33.5,,,,,,,,,,,,,,,2.0,20.07,"Mike Conley, MEM",5.2,28,8.6,.545,24.7,331.0
30,25.7,12.0,7.4,68,22.8,,,,,,,,,,,,,,,2.3,20.06,"Manu Ginobili, SA",7.3,29,12.2,.590,24.2,221.2
31,27.4,24.5,13.3,80,35.3,,,,,,,,,,,,,,,11.6,20.06,"Joakim Noah, CHI",18.2,,12.3,.531,18.9,398.3
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,8.1,22.2,9.1,80,27.2,,,,,,,,,,,,,,,11.8,19.90,"Kenneth Faried, DEN",16.9,31,11.4,.573,19.7,273.1
34,14.2,21.9,10.3,74,33.5,,,,,,,,,,,,,,,7.2,19.83,"Paul Millsap, ATL",14.6,32,11.3,.545,23.7,308.4
35,6.7,19.6,10.8,81,32.9,,,,,,,,,,,,,,,10.0,19.66,"Serge Ibaka, OKC",15.0,33,9.7,.576,18.0,324.8
36,22.6,13.8,6.1,43,32.9,,,,,,,,,,,,,,,2.1,19.62,"Eric Bledsoe, PHX",8.0,34,13.8,.578,24.4,182.2
37,28.5,11.7,12.8,82,36.3,,,,,,,,,,,,,,,1.5,19.61,"John Wall, WSH",6.5,35,11.7,.524,27.7,383.0
38,14.6,18.9,8.5,66,29.1,,,,,,,,,,,,,,,4.6,19.43,"Kawhi Leonard, SA",12.1,36,8.8,.602,17.0,256.3
39,7.4,24.3,5.9,72,20.8,,,,,,,,,,,,,,,13.8,19.39,"Jordan Hill, LAL",19.0,37,10.3,.579,17.6,176.6
40,15.0,25.9,8.2,60,31.4,,,,,,,,,,,,,,,7.0,19.34,"Pau Gasol, LAL",16.4,38,10.5,.522,24.4,245.8
41,10.4,21.6,8.8,69,33.2,,,,,,,,,,,,,,,8.8,19.21,"David Lee, GS",15.3,39,10.8,.566,22.4,263.2
42,9.1,18.5,7.9,76,27.3,,,,,,,,,,,,,,,9.2,19.14,"Terrence Jones, HOU",14.1,40,7.4,.577,16.8,236.9
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,6.8,20.3,10.7,79,32.0,,,,,,,,,,,,,,,5.1,19.11,"Chris Bosh, MIA",13.0,41,9.7,.597,20.0,321.5
45,11.4,19.6,4.8,70,18.2,,,,,,,,,,,,,,,9.3,19.09,"Mason Plumlee, BKN",14.5,42,14.7,.670,15.6,144.4
46,31.4,8.5,8.9,62,35.8,,,,,,,,,,,,,,,1.9,19.02,"Ty Lawson, DEN",5.2,43,11.6,.553,23.5,266.0
47,8.3,23.7,9.2,73,30.2,,,,,,,,,,,,,,,10.1,19.01,"Derrick Favors, UTAH",16.7,44,11.8,.556,19.3,276.3
48,24.9,7.5,7.9,68,29.4,,,,,,,,,,,,,,,1.0,19.00,"Tony Parker, SA",4.4,45,9.7,.555,25.9,238.5
49,4.1,11.3,2.9,22,36.1,,,,,,,,,,,,,,,9.5,18.89,"Ryan Anderson, NO",10.4,46,4.8,.572,20.9,87.7
50,4.4,17.2,5.4,65,22.6,,,,,,,,,,,,,,,8.7,18.89,"Amar'e Stoudemire, NY",12.8,,11.8,.596,21.3,161.6
51,11.3,19.9,6.6,73,22.2,,,,,,,,,,,,,,,8.9,18.85,"Andray Blatche, BKN",14.4,48,11.1,.532,23.4,199.2
52,10.7,27.6,7.4,57,31.8,,,,,,,,,,,,,,,11.5,18.85,"Nikola Vucevic, ORL",19.5,,11.5,.536,20.0,223.0
53,16.3,9.6,5.9,81,18.9,,,,,,,,,,,,,,,2.6,18.80,"Patty Mills, SA",6.2,50,6.9,.588,21.2,177.7
0,21.3,9.2,11.2,82,35.8,,,,,,,,,,,,,,,1.3,18.69,"Damian Lillard, POR",5.3,51,9.0,.568,24.7,337.1
1,4.5,21.7,4.9,72,19.4,,,,,,,,,,,,,,,12.1,18.56,"Chris Andersen, MIA",17.1,52,12.6,.683,12.1,147.0
2,21.2,13.2,3.3,52,18.4,,,,,,,,,,,,,,,7.4,18.50,"James Johnson, MEM",10.3,53,12.6,.552,19.7,99.9
3,11.3,18.0,7.5,81,26.6,,,,,,,,,,,,,,,7.3,18.48,"Markieff Morris, PHX",12.6,54,11.5,.564,21.6,224.1
4,23.1,15.4,8.0,72,28.2,,,,,,,,,,,,,,,4.3,18.43,"Tyreke Evans, NO",9.8,55,11.1,.504,26.7,239.9
5,14.4,11.3,11.9,79,38.2,,,,,,,,,,,,,,,2.0,18.42,"DeMar DeRozan, TOR",6.6,56,8.1,.532,26.6,356.8
6,11.7,14.7,9.9,73,34.7,,,,,,,,,,,,,,,5.0,18.40,"Rudy Gay, SAC/TOR",9.8,57,12.6,.540,25.2,298.3
