,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,21.4,11.2,17.8,51,37.9,,,,,,,,,,,,,,,3.0,29.04,"Dwyane Wade, MIA",7.3,1,12.0,.583,32.7,534.4
1,13.1,23.9,22.7,78,36.2,,,,,,,,,,,,,,,5.0,27.70,"Dirk Nowitzki, DAL",14.8,2,8.3,.605,26.8,682.0
2,7.5,24.7,12.9,48,33.8,,,,,,,,,,,,,,,7.0,26.54,"Yao Ming, HOU",16.0,3,13.2,.601,29.9,386.4
3,14.5,26.9,21.2,80,34.1,,,,,,,,,,,,,,,10.0,26.20,"Tim Duncan, SA",18.7,4,11.9,.579,25.5,634.5
4,14.9,13.5,24.4,77,40.8,,,,,,,,,,,,,,,3.0,26.13,"Kobe Bryant, LAL",8.2,5,9.2,.580,31.1,732.5
5,17.7,16.5,22.3,78,40.9,,,,,,,,,,,,,,,3.0,24.56,"LeBron James, CLE",9.6,6,9.4,.552,29.6,669.3
6,14.4,24.2,13.5,59,36.2,,,,,,,,,,,,,,,8.0,24.22,"Pau Gasol, MEM",16.3,7,11.6,.593,23.3,405.0
7,15.1,30.8,18.9,76,39.4,,,,,,,,,,,,,,,7.0,24.20,"Kevin Garnett, MIN",19.5,8,9.9,.546,25.2,567.8
8,18.3,15.1,14.0,75,27.5,,,,,,,,,,,,,,,4.0,24.18,"Manu Ginobili, SA",9.6,9,10.9,.609,25.1,420.6
9,12.8,29.9,16.0,74,34.6,,,,,,,,,,,,,,,11.0,24.11,"Carlos Boozer, UTAH",20.5,10,11.2,.588,24.8,481.2
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,17.4,11.1,19.1,74,39.8,,,,,,,,,,,,,,,2.0,24.07,"Gilbert Arenas, WSH",6.6,11,9.3,.565,29.8,573.9
12,39.3,9.9,17.2,76,35.3,,,,,,,,,,,,,,,1.0,23.87,"Steve Nash, PHX",5.8,12,12.8,.654,23.8,515.3
