,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,19.4,17.8,28.1,75,40.4,,,,,,,,,,,,,,,5.0,29.15,"LeBron James, CLE",11.1,1,9.2,.568,32.7,842.6
1,35.7,10.3,26.0,80,37.6,,,,,,,,,,,,,,,2.0,28.39,"Chris Paul, NO",6.2,2,7.8,.576,27.0,780.1
2,6.5,21.1,21.0,79,33.9,,,,,,,,,,,,,,,8.0,27.29,"Amar'e Stoudemire, PHX",15.2,3,9.6,.656,24.7,631.0
3,16.1,25.1,16.1,71,32.8,,,,,,,,,,,,,,,7.0,25.42,"Kevin Garnett, BOS",16.7,4,9.1,.588,23.7,483.5
4,13.4,22.8,18.3,77,36.0,,,,,,,,,,,,,,,4.0,24.78,"Dirk Nowitzki, DAL",13.8,5,8.1,.585,26.7,549.0
5,10.7,20.1,15.4,67,36.2,,,,,,,,,,,,,,,8.0,24.23,"Chris Bosh, TOR",14.2,6,9.6,.588,25.1,460.9
6,16.2,14.1,21.6,82,38.9,,,,,,,,,,,,,,,3.0,24.09,"Kobe Bryant, LAL",9.0,7,9.5,.576,29.3,647.4
7,19.4,14.7,15.5,74,31.0,,,,,,,,,,,,,,,3.0,24.07,"Manu Ginobili, SA",9.1,8,11.7,.612,27.0,464.2
8,12.3,28.3,17.7,78,34.0,,,,,,,,,,,,,,,11.0,24.05,"Tim Duncan, SA",19.6,9,10.0,.546,25.7,532.3
9,30.1,8.1,15.7,78,32.3,,,,,,,,,,,,,,,2.0,23.48,"Chauncey Billups, DET",5.0,10,9.1,.619,23.5,469.8
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,6.2,24.7,17.8,82,35.6,,,,,,,,,,,,,,,12.0,22.84,"Al Jefferson, MIN",18.1,11,8.8,.535,25.1,533.1
