,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,23.4,28.8,27.5,81,34.6,,,,,,,,,,,,,,,5.4,30.70,"Russell Westbrook, OKC",17.1,1,12.2,.554,42.5,823.7
1,18.4,23.6,17.7,62,33.4,,,,,,,,,,,,,,,2.2,27.68,"Kevin Durant, GS",13.6,2,8.5,.651,26.7,530.7
2,13.3,15.7,21.1,74,33.4,,,,,,,,,,,,,,,3.7,27.62,"Kawhi Leonard, SA",9.8,3,7.9,.610,29.6,632.4
3,7.3,27.9,21.7,75,36.1,,,,,,,,,,,,,,,6.7,27.59,"Anthony Davis, NO",17.2,4,8.4,.580,29.8,650.4
4,27.6,20.9,24.8,81,36.4,,,,,,,,,,,,,,,3.5,27.43,"James Harden, HOU",12.2,5,14.1,.613,35.1,744.7
5,25.6,20.7,23.1,74,37.8,,,,,,,,,,,,,,,4.0,27.11,"LeBron James, CLE",12.6,6,12.0,.619,30.1,692.7
6,18.5,7.0,19.9,76,33.8,,,,,,,,,,,,,,,1.9,26.59,"Isaiah Thomas, BOS",4.4,7,8.7,.625,32.8,597.9
7,24.2,27.2,15.1,73,27.9,,,,,,,,,,,,,,,11.6,26.40,"Nikola Jokic, DEN",19.5,8,11.5,.640,24.0,453.3
8,35.0,14.9,14.6,61,31.5,,,,,,,,,,,,,,,2.4,26.25,"Chris Paul, LAC",8.8,9,9.1,.614,25.8,437.3
9,19.8,22.6,22.1,80,35.6,,,,,,,,,,,,,,,5.9,26.13,"Giannis Antetokounmpo, MIL",14.3,10,10.7,.599,27.4,663.7
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,10.5,27.8,23.2,82,37.0,,,,,,,,,,,,,,,11.2,26.00,"Karl-Anthony Towns, MIN",19.4,11,10.1,.618,26.2,696.6
12,14.3,29.2,17.6,72,34.2,,,,,,,,,,,,,,,7.0,25.84,"DeMarcus Cousins, NO/SAC",18.2,12,11.6,.562,31.0,527.4
13,4.0,20.1,5.4,77,9.6,,,,,,,,,,,,,,,15.9,25.26,"JaVale McGee, GS",18.1,13,9.4,.642,21.6,161.7
14,19.6,13.2,20.5,76,37.0,,,,,,,,,,,,,,,4.9,25.19,"Jimmy Butler, CHI",9.0,14,7.5,.586,26.6,616.0
15,22.2,11.4,18.0,79,33.4,,,,,,,,,,,,,,,2.7,24.74,"Stephen Curry, GS",7.3,15,10.1,.624,29.5,541.1
16,18.6,13.3,17.6,75,35.9,,,,,,,,,,,,,,,1.9,24.15,"Damian Lillard, POR",7.6,16,8.3,.586,30.7,528.7
17,9.2,25.6,5.3,31,25.4,,,,,,,,,,,,,,,8.5,24.15,"Joel Embiid, PHI",17.0,,16.3,.585,33.6,159.0
18,12.6,13.6,17.7,74,35.4,,,,,,,,,,,,,,,3.0,24.09,"DeMar DeRozan, TOR",8.3,18,7.8,.552,32.7,531.4
19,6.4,20.8,10.0,72,21.3,,,,,,,,,,,,,,,14.1,23.74,"Enes Kanter, OKC",17.4,19,11.7,.599,25.8,300.5
20,9.0,29.5,17.4,81,33.9,,,,,,,,,,,,,,,13.6,23.31,"Rudy Gobert, UTAH",21.8,20,13.6,.681,15.6,520.5
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,29.5,10.6,17.3,78,36.4,,,,,,,,,,,,,,,2.4,23.28,"John Wall, WSH",6.5,21,11.4,.541,31.7,519.7
23,24.6,10.8,14.0,69,33.2,,,,,,,,,,,,,,,1.5,23.26,"Mike Conley, MEM",6.0,22,8.9,.604,26.8,419.3
24,19.3,7.5,15.2,72,35.1,,,,,,,,,,,,,,,2.3,23.09,"Kyrie Irving, CLE",5.0,23,8.3,.580,29.9,455.6
25,25.0,12.0,13.3,60,37.4,,,,,,,,,,,,,,,2.4,22.92,"Kyle Lowry, TOR",7.2,24,10.4,.623,25.2,399.1
26,18.8,20.2,11.6,61,34.0,,,,,,,,,,,,,,,6.2,22.71,"Blake Griffin, LAC",13.4,25,8.9,.569,27.1,347.3
27,4.2,35.3,15.1,77,32.6,,,,,,,,,,,,,,,12.8,22.68,"Hassan Whiteside, MIA",24.0,26,11.5,.579,21.0,453.2
28,14.5,15.4,14.7,73,34.5,,,,,,,,,,,,,,,2.3,22.23,"Gordon Hayward, UTAH",9.0,27,8.1,.595,26.3,440.6
29,9.8,34.6,14.4,81,31.7,,,,,,,,,,,,,,,13.3,21.84,"DeAndre Jordan, LAC",24.2,28,11.8,.673,14.3,431.2
30,8.0,24.5,8.4,65,23.9,,,,,,,,,,,,,,,12.5,21.48,"Clint Capela, HOU",18.5,29,11.0,.638,18.6,251.8
31,15.0,9.9,10.8,81,24.6,,,,,,,,,,,,,,,1.4,21.44,"Lou Williams, HOU/LAL",5.5,30,10.0,.593,24.3,325.5
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,19.6,10.6,14.2,79,34.7,,,,,,,,,,,,,,,1.8,21.41,"Kemba Walker, CHA",6.2,31,7.6,.569,28.3,425.4
34,16.2,23.1,9.6,81,22.5,,,,,,,,,,,,,,,10.8,21.23,"Greg Monroe, MIL",17.0,32,12.1,.573,23.1,289.3
35,9.4,29.3,9.1,60,31.4,,,,,,,,,,,,,,,8.9,21.18,"Kevin Love, CLE",19.5,33,9.9,.573,24.6,272.4
36,6.9,36.2,12.4,81,29.7,,,,,,,,,,,,,,,15.1,20.91,"Andre Drummond, DET",25.2,34,11.6,.518,21.1,370.8
37,9.7,31.7,11.3,74,29.7,,,,,,,,,,,,,,,15.0,20.89,"Dwight Howard, ATL",23.5,35,15.8,.627,18.1,337.8
38,18.2,24.8,6.1,79,15.6,,,,,,,,,,,,,,,13.7,20.59,"Kyle O'Quinn, NY",19.2,36,11.8,.552,18.4,183.2
39,22.3,13.8,10.3,66,33.0,,,,,,,,,,,,,,,2.5,20.56,"Eric Bledsoe, PHX",8.0,37,11.9,.563,28.2,310.5
40,10.4,13.3,10.9,75,29.6,,,,,,,,,,,,,,,5.8,20.48,"Brook Lopez, BKN",9.6,38,10.9,.578,27.0,327.7
41,10.9,22.2,4.6,51,20.5,,,,,,,,,,,,,,,9.8,20.40,"Nerlens Noel, DAL/PHI",15.8,39,11.1,.622,16.0,139.1
42,9.0,23.6,5.7,61,21.2,,,,,,,,,,,,,,,15.8,20.36,"Kenneth Faried, DEN",19.7,40,9.6,.588,17.4,171.3
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,18.7,18.7,12.2,74,34.2,,,,,,,,,,,,,,,2.6,20.32,"Marc Gasol, MEM",10.5,41,9.2,.554,26.1,367.1
45,12.7,17.9,13.1,75,35.9,,,,,,,,,,,,,,,2.5,20.30,"Paul George, IND",10.3,42,11.1,.587,27.2,393.4
46,16.4,26.8,7.8,64,25.4,,,,,,,,,,,,,,,7.6,20.23,"Pau Gasol, SA",17.4,43,8.8,.578,20.5,233.8
47,14.1,7.8,13.0,77,34.9,,,,,,,,,,,,,,,2.2,20.21,"Bradley Beal, WSH",5.0,44,8.2,.604,25.4,388.9
48,5.9,29.1,9.8,80,25.8,,,,,,,,,,,,,,,12.4,20.13,"Jonas Valanciunas, TOR",20.8,45,11.0,.601,18.2,293.8
