,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,10.2,23.5,25.7,81,38.1,,,,,,,,,,,,,,,5.0,28.20,"Dirk Nowitzki, DAL",14.2,1,7.1,.589,27.5,769.9
1,17.6,17.1,29.5,79,42.5,,,,,,,,,,,,,,,3.0,28.17,"LeBron James, CLE",9.8,2,8.8,.568,31.4,886.4
2,11.5,12.7,28.7,80,41.0,,,,,,,,,,,,,,,3.0,28.11,"Kobe Bryant, LAL",7.6,3,8.0,.559,35.3,861.2
3,19.8,12.6,24.7,75,38.6,,,,,,,,,,,,,,,5.0,27.68,"Dwyane Wade, MIA",8.7,4,10.6,.577,30.1,741.6
4,16.3,29.7,22.6,76,38.9,,,,,,,,,,,,,,,9.0,26.88,"Kevin Garnett, MIN",19.6,5,9.5,.589,23.3,678.8
5,10.1,19.9,23.4,79,39.2,,,,,,,,,,,,,,,9.0,26.67,"Elton Brand, LAC",14.8,6,8.4,.580,24.6,701.6
6,17.9,7.1,24.0,72,43.1,,,,,,,,,,,,,,,2.0,26.02,"Allen Iverson, PHI",4.4,7,8.4,.543,32.9,718.8
7,6.5,25.7,14.7,57,34.2,,,,,,,,,,,,,,,9.0,25.78,"Yao Ming, HOU",17.5,8,11.3,.592,26.4,441.7
8,8.8,23.1,12.5,59,30.6,,,,,,,,,,,,,,,12.0,24.47,"Shaquille O'Neal, MIA",17.6,9,13.0,.586,26.6,373.8
9,17.3,7.8,21.7,80,42.3,,,,,,,,,,,,,,,2.0,23.87,"Gilbert Arenas, WSH",4.8,10,10.6,.581,28.7,650.1
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,15.2,17.5,20.3,79,39.0,,,,,,,,,,,,,,,3.0,23.71,"Paul Pierce, BOS",10.5,11,11.1,.582,28.2,608.1
12,8.1,23.6,21.4,81,40.3,,,,,,,,,,,,,,,9.0,23.66,"Shawn Marion, PHX",16.3,12,7.1,.591,19.4,640.8
13,33.1,8.7,18.1,81,36.1,,,,,,,,,,,,,,,2.0,23.43,"Chauncey Billups, DET",5.1,13,8.1,.602,23.4,542.8
14,36.2,11.1,17.1,79,35.4,,,,,,,,,,,,,,,2.0,23.29,"Steve Nash, PHX",6.6,14,12.1,.632,23.4,513.0
15,10.8,20.6,16.1,70,39.3,,,,,,,,,,,,,,,9.0,23.23,"Chris Bosh, TOR",14.4,15,9.3,.585,22.6,481.8
16,13.5,26.9,17.4,80,34.8,,,,,,,,,,,,,,,10.0,23.13,"Tim Duncan, SA",18.7,16,10.6,.523,25.1,520.7
17,17.9,20.0,17.6,80,39.2,,,,,,,,,,,,,,,7.0,22.76,"Pau Gasol, MEM",13.8,17,11.3,.555,24.5,526.8
18,19.9,11.9,10.8,65,27.9,,,,,,,,,,,,,,,3.0,22.43,"Manu Ginobili, SA",7.5,18,10.2,.593,23.2,322.7
