,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,9.1,24.1,23.7,68,36.1,,,,,,,,,,,,,,,8.0,30.89,"Anthony Davis, NO",16.1,1,5.8,.591,25.9,710.6
1,21.9,16.7,20.8,67,34.4,,,,,,,,,,,,,,,5.9,29.12,"Russell Westbrook, OKC",11.4,2,11.2,.536,38.2,622.6
2,26.3,11.4,22.2,80,32.7,,,,,,,,,,,,,,,2.4,28.06,"Stephen Curry, GS",7.0,3,10.6,.638,28.5,665.2
3,15.1,18.7,7.8,27,33.8,,,,,,,,,,,,,,,1.9,27.65,"Kevin Durant, OKC",10.4,4,10.2,.633,28.0,233.7
4,20.8,14.2,24.1,81,36.8,,,,,,,,,,,,,,,2.8,26.76,"James Harden, HOU",8.5,5,11.8,.605,30.5,723.4
5,1.2,34.7,8.9,48,23.8,,,,,,,,,,,,,,,15.6,26.26,"Hassan Whiteside, MIA",25.4,6,11.2,.619,18.7,266.9
6,35.8,12.5,21.4,82,34.8,,,,,,,,,,,,,,,2.1,26.04,"Chris Paul, LAC",7.4,7,8.1,.596,24.8,641.3
7,22.3,16.6,19.2,69,36.1,,,,,,,,,,,,,,,2.4,26.01,"LeBron James, CLE",9.6,8,11.9,.577,31.8,577.3
8,11.9,30.6,14.7,59,34.1,,,,,,,,,,,,,,,10.8,25.29,"DeMarcus Cousins, SAC",21.1,9,14.4,.545,31.8,441.2
9,19.3,17.9,13.3,67,35.2,,,,,,,,,,,,,,,6.1,22.86,"Blake Griffin, LAC",12.1,10,8.3,.551,27.0,399.5
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,6.8,22.9,14.2,71,35.4,,,,,,,,,,,,,,,7.7,22.85,"LaMarcus Aldridge, POR",15.5,11,6.7,.528,27.6,425.4
12,4.0,17.1,12.7,72,29.2,,,,,,,,,,,,,,,11.5,22.76,"Brook Lopez, BKN",14.3,12,8.2,.558,23.7,381.2
13,12.5,27.6,15.0,78,34.4,,,,,,,,,,,,,,,9.2,22.73,"Pau Gasol, CHI",18.6,13,9.4,.550,23.2,449.2
14,17.5,26.7,12.4,77,28.9,,,,,,,,,,,,,,,8.8,22.69,"Tim Duncan, SA",17.9,14,9.9,.560,21.0,371.9
15,13.5,20.6,11.7,64,31.8,,,,,,,,,,,,,,,4.8,22.09,"Kawhi Leonard, SA",12.9,15,8.1,.567,21.4,351.8
16,8.6,20.7,11.7,74,30.8,,,,,,,,,,,,,,,10.0,21.86,"Derrick Favors, UTAH",15.4,16,9.3,.558,22.3,352.4
17,17.6,21.8,14.9,81,33.2,,,,,,,,,,,,,,,4.9,21.73,"Marc Gasol, MEM",13.4,17,10.1,.558,23.5,446.4
18,9.2,26.0,13.9,74,34.2,,,,,,,,,,,,,,,10.4,21.62,"Nikola Vucevic, ORL",18.1,18,9.3,.548,23.8,416.0
19,14.2,27.2,11.8,82,26.3,,,,,,,,,,,,,,,14.3,21.60,"Rudy Gobert, UTAH",20.7,19,14.5,.627,13.4,354.2
20,10.9,16.0,7.9,40,35.7,,,,,,,,,,,,,,,5.7,21.58,"Carmelo Anthony, NY",10.7,20,7.9,.531,29.9,236.1
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,19.7,7.5,14.4,75,36.4,,,,,,,,,,,,,,,2.3,21.57,"Kyrie Irving, CLE",5.0,21,9.4,.583,25.5,430.8
23,24.8,13.3,6.6,43,29.5,,,,,,,,,,,,,,,2.2,21.52,"George Hill, IND",7.8,22,7.8,.579,23.6,199.0
24,4.2,30.1,13.6,82,30.5,,,,,,,,,,,,,,,18.3,21.50,"Andre Drummond, DET",24.0,23,9.3,.504,20.4,406.9
25,17.0,9.6,10.7,62,31.8,,,,,,,,,,,,,,,3.6,21.44,"Dwyane Wade, MIA",6.7,24,11.9,.534,32.6,321.8
26,17.8,19.8,12.5,76,30.5,,,,,,,,,,,,,,,6.7,21.43,"Al Horford, ATL",13.4,25,7.3,.563,20.9,374.8
27,14.9,11.2,13.5,65,38.7,,,,,,,,,,,,,,,5.1,21.32,"Jimmy Butler, CHI",8.2,26,6.5,.583,20.6,405.8
28,11.0,25.1,10.4,69,31.0,,,,,,,,,,,,,,,11.2,21.26,"Greg Monroe, DET",17.9,27,11.5,.549,22.7,311.4
29,6.7,32.4,14.7,82,34.4,,,,,,,,,,,,,,,16.2,21.05,"DeAndre Jordan, LAC",24.5,28,12.0,.638,12.3,440.0
30,12.5,9.4,12.6,77,31.9,,,,,,,,,,,,,,,1.2,20.86,"Klay Thompson, GS",5.4,29,8.4,.591,25.5,379.5
