,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
163,121,Dewayne Dedmon,C,30,SAC,34,541,8.6,.477,.415,.164,9.3,25.9,17.4,3.9,1.4,4.6,20.4,18.6,,-0.8,0.7,-0.1,-0.005,,-6.3,-0.1,-6.4,-0.6
164,121,Dewayne Dedmon,C,30,ATL,9,206,11.6,.472,.434,.105,5.2,31.2,18.0,4.2,2.0,6.1,10.2,17.9,,-0.2,0.3,0.1,.034,,-4.7,0.3,-4.4,-0.1
165,122,Matthew Dellavedova,PG,29,CLE,56,787,7.8,.449,.517,.215,2.5,7.8,5.1,28.8,1.2,0.1,23.2,13.3,,0.0,0.1,0.0,.003,,-3.8,-1.6,-5.5,-0.7
166,123,DeMar DeRozan,SF,30,SAS,60,2056,21.4,.598,.032,.421,1.9,15.8,8.9,25.6,1.4,0.6,11.4,26.7,,5.1,1.0,6.1,.143,,2.2,-0.5,1.7,1.9
167,124,Cheick Diallo,C,23,PHO,43,454,15.9,.685,.015,.280,6.3,24.0,15.0,7.3,1.0,2.1,16.8,16.7,,0.7,0.5,1.2,.125,,-1.3,-0.3,-1.6,0.0
168,125,Hamidou Diallo,SF,21,OKC,38,699,8.4,.488,.160,.205,4.8,14.3,9.7,4.5,2.0,1.0,13.4,17.4,,-0.6,0.8,0.2,.014,,-5.0,0.3,-4.7,-0.5
169,126,Gorgui Dieng,C,30,TOT,57,997,17.3,.562,.415,.244,8.9,26.3,17.4,10.0,2.2,4.5,12.7,17.8,,1.1,1.5,2.6,.125,,-0.1,1.6,1.5,0.9
170,126,Gorgui Dieng,C,30,MIN,46,778,17.8,.563,.433,.213,9.5,25.7,17.3,11.1,2.2,4.5,12.7,18.3,,1.0,1.1,2.1,.128,,0.4,1.5,1.9,0.7
171,126,Gorgui Dieng,C,30,MEM,11,219,15.4,.557,.333,.381,6.8,28.2,17.7,6.1,2.1,4.7,13.0,16.1,,0.1,0.4,0.5,.113,,-1.9,2.2,0.2,0.1
172,127,Spencer Dinwiddie,SG,26,BRK,63,1963,17.9,.541,.394,.436,1.7,9.4,5.7,35.5,0.9,0.9,12.4,29.1,,3.3,1.7,5.0,.122,,2.7,-0.8,1.8,1.9
173,128,Donte DiVincenzo,SG,23,MIL,59,1362,15.0,.570,.489,.173,4.6,15.7,10.5,13.3,2.7,1.2,12.9,16.9,,1.4,3.1,4.5,.158,,-0.6,2.7,2.1,1.4
174,129,Luka Dončić,PG,20,DAL,52,1723,27.7,.583,.442,.445,4.1,25.1,14.8,45.6,1.5,0.5,14.8,37.0,,5.5,2.2,7.7,.215,,7.5,0.9,8.4,4.5
175,130,Luguentz Dort,SG,20,OKC,29,637,7.3,.521,.465,.229,2.7,6.6,4.7,4.5,1.8,0.3,8.0,13.0,,0.2,0.5,0.7,.051,,-4.4,0.5,-3.9,-0.3
176,131,Damyean Dotson,SG,25,NYK,48,836,11.0,.527,.562,.114,1.2,10.7,5.8,10.0,1.3,0.5,6.5,16.5,,0.6,0.3,1.0,.055,,-1.0,-0.6,-1.5,0.1
177,132,Sekou Doumbouya,SF,19,DET,37,731,6.4,.478,.418,.198,3.1,15.2,9.1,3.4,1.3,0.9,12.2,17.1,,-0.8,0.5,-0.3,-0.018,,-5.1,-1.4,-6.6,-0.8
178,133,PJ Dozier,PG,23,DEN,21,234,9.3,.449,.308,.121,2.4,11.9,7.1,17.5,1.5,2.0,10.3,19.8,,-0.1,0.2,0.1,.020,,-4.3,-0.8,-5.1,-0.2
179,134,Goran Dragić,PG,33,MIA,53,1505,16.3,.576,.472,.336,2.0,9.7,6.0,28.6,1.0,0.5,14.6,25.7,,2.2,1.1,3.3,.104,,1.8,-1.9,-0.1,0.7
180,135,Andre Drummond,C,26,TOT,56,1844,22.2,.552,.045,.370,15.1,37.8,26.3,13.7,2.9,4.2,18.0,25.8,,0.7,3.6,4.3,.113,,0.0,1.1,1.1,1.4
181,135,Andre Drummond,C,26,DET,49,1654,22.2,.550,.031,.376,15.3,38.1,26.6,14.0,2.9,4.1,18.0,25.4,,0.8,3.3,4.1,.118,,0.0,1.2,1.1,1.3
182,135,Andre Drummond,C,26,CLE,7,190,22.5,.571,.154,.330,12.7,35.4,23.9,11.1,2.6,4.5,18.1,28.6,,0.0,0.3,0.3,.071,,-0.2,0.7,0.4,0.1
183,136,Jared Dudley,SF,34,LAL,40,311,7.4,.570,.680,.040,1.8,13.0,7.5,7.4,1.8,0.8,10.5,7.7,,0.2,0.4,0.7,.103,,-2.6,1.9,-0.8,0.1
