,matchup,home,result,winner high,loser high,DATE
3,Portland POR,Atlanta ATL,"ATL 101, POR 92",Shareef Abdur-Rahim 30 Pts,Bonzi Wells 26 Pts,20020108
4,Denver DEN,Dallas DAL,"DAL 95, DEN 94",Dirk Nowitzki 27 Pts,Nick Van Exel 31 Pts,20020108
5,Milwaukee MIL,Golden State GS,"MIL 113, GS 97",Sam Cassell 23 Pts,Antawn Jamison 23 Pts,20020108
6,New York NY,Houston HOU,"HOU 88, NY 86",Kenny Thomas 24 Pts,Allan Houston 28 Pts,20020108
7,Miami MIA,New Jersey NJ,"NJ 104, MIA 95",Keith Van Horn 19 Pts,Alonzo Mourning 26 Pts,20020108
8,Los Angeles LAL,Detroit DET,"LAL 121, DET 92",Shaquille O'Neal 28 Pts,Jerry Stackhouse 27 Pts,20020108
0,San Antonio SA,Boston BOS,"SA 93, BOS 90",Tim Duncan 25 Pts,Paul Pierce 31 Pts,20020109
1,Atlanta ATL,Charlotte CHA,"CHA 111, ATL 87",Elden Campbell 22 Pts,Shareef Abdur-Rahim 20 Pts,20020109
2,Los Angeles LAL,Indiana IND,"LAL 109, IND 90",Kobe Bryant 31 Pts,Jermaine O'Neal 18 Pts,20020109
3,Seattle SEA,Minnesota MIN,"MIN 111, SEA 106",Kevin Garnett 29 Pts,Rashard Lewis 30 Pts,20020109
4,Toronto TOR,Chicago CHI,"TOR 85, CHI 73",Vince Carter 19 Pts,Metta World Peace 21 Pts,20020109
5,Orlando ORL,Philadelphia PHI,"ORL 102, PHI 91",Tracy McGrady 26 Pts,Allen Iverson 27 Pts,20020109
0,Cleveland CLE,Denver DEN,"DEN 96, CLE 91",Raef LaFrentz 29 Pts,Lamond Murray 17 Pts,20020110
1,Memphis MEM,Phoenix PHX,"MEM 102, PHX 96",Pau Gasol 31 Pts,Shawn Marion 24 Pts,20020110
2,Houston HOU,Utah UTAH,"UTAH 83, HOU 79",Karl Malone 30 Pts,Steve Francis 27 Pts,20020110
3,Portland POR,Miami MIA,"POR 92, MIA 85",Bonzi Wells 23 Pts,Eddie Jones 25 Pts,20020110
4,LA LAC,New Jersey NJ,"NJ 108, LAC 89",Kerry Kittles 18 Pts,Lamar Odom 14 Pts,20020110
5,New York NY,Dallas DAL,"DAL 111, NY 89",Dirk Nowitzki 29 Pts,Kurt Thomas 21 Pts,20020110
0,Chicago CHI,Indiana IND,"IND 97, CHI 90",Jalen Rose 38 Pts,Ron Mercer 22 Pts,20020111
1,Los Angeles LAL,Minnesota MIN,"MIN 120, LAL 102",Wally Szczerbiak 34 Pts,Shaquille O'Neal 29 Pts,20020111
2,San Antonio SA,Philadelphia PHI,"PHI 101, SA 84",Allen Iverson 37 Pts,Tim Duncan 22 Pts,20020111
3,Cleveland CLE,Seattle SEA,"SEA 102, CLE 100",Vin Baker 32 Pts,Wesley Person 24 Pts,20020111
4,Atlanta ATL,Toronto TOR,"TOR 94, ATL 91",Alvin Williams 28 Pts,Shareef Abdur-Rahim 26 Pts,20020111
5,Detroit DET,Boston BOS,"BOS 104, DET 90",Paul Pierce 16 Pts,Jerry Stackhouse 21 Pts,20020111
6,LA LAC,Charlotte CHA,"CHA 92, LAC 91",Baron Davis 19 Pts,Elton Brand 22 Pts,20020111
7,Washington WSH,Milwaukee MIL,"MIL 105, WSH 86",Ray Allen 27 Pts,Michael Jordan 22 Pts,20020111
8,Portland POR,Orlando ORL,"POR 92, ORL 84",Damon Stoudamire 25 Pts,Tracy McGrady 17 Pts,20020111
0,Boston BOS,Atlanta ATL,"BOS 115, ATL 91",Paul Pierce 31 Pts,Dion Glover 19 Pts,20020112
1,Miami MIA,Phoenix PHX,"PHX 108, MIA 74",Shawn Marion 21 Pts,Eddie House 15 Pts,20020112
2,Memphis MEM,Utah UTAH,"MEM 97, UTAH 95",Jason Williams 22 Pts,Karl Malone 23 Pts,20020112
3,Minnesota MIN,Washington WSH,"MIN 109, WSH 100",Kevin Garnett 31 Pts,Michael Jordan 35 Pts,20020112
4,Los Angeles LAL,Chicago CHI,"CHI 106, LAL 104",Ron Mercer 28 Pts,Derek Fisher 28 Pts,20020112
5,Indiana IND,Dallas DAL,"DAL 111, IND 102",Dirk Nowitzki 31 Pts,Jalen Rose 18 Pts,20020112
6,Charlotte CHA,Detroit DET,"DET 104, CHA 76",Jerry Stackhouse 27 Pts,David Wesley 14 Pts,20020112
7,Denver DEN,Houston HOU,"HOU 98, DEN 86",Eddie Griffin 25 Pts,Voshon Lenard 20 Pts,20020112
8,Milwaukee MIL,New York NY,"MIL 102, NY 97",Ray Allen 37 Pts,Allan Houston 44 Pts,20020112
9,New Jersey NJ,Orlando ORL,"NJ 91, ORL 85",Lucious Harris 20 Pts,Tracy McGrady 17 Pts,20020112
0,LA LAC,Toronto TOR,"LAC 79, TOR 72",Michael Olowokandi 16 Pts,Vince Carter 31 Pts,20020113
1,Phoenix PHX,Sacramento SAC,"SAC 103, PHX 100",Chris Webber 28 Pts,Stephon Marbury 33 Pts,20020113
2,Cleveland CLE,Portland POR,"POR 96, CLE 64",Bonzi Wells 18 Pts,Lamond Murray 16 Pts,20020113
0,Denver DEN,Utah UTAH,"UTAH 106, DEN 97",Karl Malone 26 Pts,Nick Van Exel 26 Pts,20020114
1,Miami MIA,Golden State GS,"MIA 85, GS 79",Eddie Jones 28 Pts,Larry Hughes 19 Pts,20020114
2,Memphis MEM,Los Angeles LAL,"LAL 120, MEM 81",Kobe Bryant 56 Pts,Pau Gasol 25 Pts,20020114
3,San Antonio SA,New Jersey NJ,"NJ 99, SA 97",Kerry Kittles 22 Pts,Tim Duncan 27 Pts,20020114
4,Dallas DAL,Orlando ORL,"ORL 113, DAL 87",Tracy McGrady 26 Pts,Juwan Howard 26 Pts,20020114
0,Milwaukee MIL,Indiana IND,"MIL 106, IND 102",Tim Thomas 25 Pts,Jalen Rose 26 Pts,20020115
1,LA LAC,Minnesota MIN,"MIN 97, LAC 83",Wally Szczerbiak 21 Pts,Darius Miles 18 Pts,20020115
2,Houston HOU,Philadelphia PHI,"PHI 112, HOU 106 (OT)",Allen Iverson 58 Pts,Cuttino Mobley 25 Pts,20020115
3,Cleveland CLE,Sacramento SAC,"SAC 109, CLE 102",Peja Stojakovic 36 Pts,Lamond Murray 22 Pts,20020115
4,Dallas DAL,Atlanta ATL,"DAL 116, ATL 107",Dirk Nowitzki 40 Pts,Jason Terry 46 Pts,20020115
5,Charlotte CHA,Chicago CHI,"CHA 94, CHI 86",David Wesley 26 Pts,Metta World Peace 22 Pts,20020115
6,Toronto TOR,Detroit DET,"TOR 92, DET 90",Vince Carter 24 Pts,Jerry Stackhouse 38 Pts,20020115
7,San Antonio SA,Washington WSH,"SA 96, WSH 91",Tim Duncan 22 Pts,Hubert Davis 22 Pts,20020115
0,Sacramento SAC,Denver DEN,"SAC 112, DEN 107",Peja Stojakovic 29 Pts,Raef LaFrentz 30 Pts,20020116
1,New York NY,Boston BOS,"BOS 101, NY 100",Paul Pierce 30 Pts,Allan Houston 28 Pts,20020116
2,Indiana IND,Milwaukee MIL,"MIL 105, IND 100",Ray Allen 36 Pts,Reggie Miller 27 Pts,20020116
3,Portland POR,Phoenix PHX,"POR 108, PHX 99",Rasheed Wallace 19 Pts,Stephon Marbury 29 Pts,20020116
4,Seattle SEA,Utah UTAH,"UTAH 95, SEA 80",Jarron Collins 22 Pts,Gary Payton 21 Pts,20020116
5,Houston HOU,Toronto TOR,"TOR 109, HOU 103",Vince Carter 29 Pts,Moochie Norris 28 Pts,20020116
6,Cleveland CLE,Golden State GS,"GS 117, CLE 88",Larry Hughes 20 Pts,Chris Mihm 20 Pts,20020116
7,Miami MIA,Los Angeles LAL,"MIA 102, LAL 96",Alonzo Mourning 28 Pts,Kobe Bryant 29 Pts,20020116
8,Washington WSH,New Jersey NJ,"NJ 111, WSH 67",Keith Van Horn 27 Pts,Bobby Simmons 12 Pts,20020116
0,Philadelphia PHI,Charlotte CHA,"PHI 93, CHA 88",Allen Iverson 33 Pts,Lee Nailon 27 Pts,20020117
1,Miami MIA,Portland POR,"MIA 92, POR 90",Eddie Jones 25 Pts,Derek Anderson 19 Pts,20020117
2,Dallas DAL,Memphis MEM,"DAL 108, MEM 97",Dirk Nowitzki 32 Pts,Pau Gasol 26 Pts,20020117
3,Chicago CHI,Atlanta ATL,"CHI 94, ATL 91",Ron Mercer 19 Pts,Jason Terry 25 Pts,20020117
4,Utah UTAH,San Antonio SA,"SA 102, UTAH 98",Tim Duncan 35 Pts,Karl Malone 30 Pts,20020117
0,Seattle SEA,Denver DEN,"DEN 96, SEA 90",Voshon Lenard 27 Pts,Gary Payton 25 Pts,20020118
1,Detroit DET,Indiana IND,"DET 96, IND 93",Jerry Stackhouse 32 Pts,Jalen Rose 31 Pts,20020118
2,Minnesota MIN,Phoenix PHX,"PHX 103, MIN 100",Shawn Marion 26 Pts,Kevin Garnett 32 Pts,20020118
3,Golden State GS,Sacramento SAC,"SAC 121, GS 97",Chris Webber 26 Pts,Antawn Jamison 24 Pts,20020118
4,New Jersey NJ,Toronto TOR,"TOR 89, NJ 77",Vince Carter 23 Pts,Jason Kidd 19 Pts,20020118
5,Houston HOU,Boston BOS,"HOU 104, BOS 101",Steve Francis 26 Pts,Paul Pierce 38 Pts,20020118
6,Cleveland CLE,LA LAC,"LAC 109, CLE 103",Elton Brand 24 Pts,Lamond Murray 24 Pts,20020118
7,Orlando ORL,Milwaukee MIL,"MIL 115, ORL 110",Ray Allen 28 Pts,Mike Miller 25 Pts,20020118
0,Washington WSH,Chicago CHI,"WSH 77, CHI 69",Chris Whitney 20 Pts,Ron Mercer 14 Pts,20020119
1,Los Angeles LAL,San Antonio SA,"LAL 98, SA 81",Kobe Bryant 28 Pts,Charles Smith 21 Pts,20020119
2,Milwaukee MIL,Atlanta ATL,"MIL 116, ATL 107",Ray Allen 31 Pts,Jason Terry 24 Pts,20020119
3,New York NY,Philadelphia PHI,"PHI 97, NY 89",Allen Iverson 34 Pts,Latrell Sprewell 32 Pts,20020119
4,LA LAC,Portland POR,"POR 113, LAC 93",Damon Stoudamire 29 Pts,Darius Miles 20 Pts,20020119
5,Denver DEN,Seattle SEA,"SEA 104, DEN 77",Gary Payton 25 Pts,Nick Van Exel 28 Pts,20020119
6,Toronto TOR,Charlotte CHA,"TOR 91, CHA 89",Vince Carter 34 Pts,Elden Campbell 22 Pts,20020119
7,Boston BOS,Detroit DET,"DET 94, BOS 91",Jerry Stackhouse 28 Pts,Antoine Walker 28 Pts,20020119
8,Minnesota MIN,Golden State GS,"MIN 105, GS 102",Kevin Garnett 21 Pts,Bob Sura 23 Pts,20020119
9,Utah UTAH,Dallas DAL,"DAL 106, UTAH 103",Dirk Nowitzki 34 Pts,Karl Malone 28 Pts,20020119
