,matchup,home,result,winner high,loser high,DATE
1,"PLAYOFFS, DET Lead series 2-0","PLAYOFFS, DET Lead series 2-0","PLAYOFFS, DET Lead series 2-0","PLAYOFFS, DET Lead series 2-0","PLAYOFFS, DET Lead series 2-0",20040507
0,Miami MIA,Indiana IND,"IND 91, MIA 80",Metta World Peace 20 Pts,Lamar Odom 19 Pts,20040508
1,"PLAYOFFS, IND Lead series 2-0","PLAYOFFS, IND Lead series 2-0","PLAYOFFS, IND Lead series 2-0","PLAYOFFS, IND Lead series 2-0","PLAYOFFS, IND Lead series 2-0",20040508
2,Sacramento SAC,Minnesota MIN,"MIN 94, SAC 89",Kevin Garnett 28 Pts,Peja Stojakovic 26 Pts,20040508
3,"PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1",20040508
0,San Antonio SA,Los Angeles LAL,"LAL 105, SA 81",Shaquille O'Neal 28 Pts,Manu Ginobili 17 Pts,20040509
1,"PLAYOFFS, SA Lead series 2-1","PLAYOFFS, SA Lead series 2-1","PLAYOFFS, SA Lead series 2-1","PLAYOFFS, SA Lead series 2-1","PLAYOFFS, SA Lead series 2-1",20040509
2,Detroit DET,New Jersey NJ,"NJ 82, DET 64",Richard Jefferson 30 Pts,Ben Wallace 15 Pts,20040509
3,"PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1",20040509
0,Minnesota MIN,Sacramento SAC,"MIN 114, SAC 113 (OT)",Kevin Garnett 30 Pts,Peja Stojakovic 29 Pts,20040510
1,"PLAYOFFS, MIN Lead series 2-1","PLAYOFFS, MIN Lead series 2-1","PLAYOFFS, MIN Lead series 2-1","PLAYOFFS, MIN Lead series 2-1","PLAYOFFS, MIN Lead series 2-1",20040510
2,Indiana IND,Miami MIA,"MIA 94, IND 87",Dwyane Wade 25 Pts,Jermaine O'Neal 29 Pts,20040510
3,"PLAYOFFS, IND Lead series 2-1","PLAYOFFS, IND Lead series 2-1","PLAYOFFS, IND Lead series 2-1","PLAYOFFS, IND Lead series 2-1","PLAYOFFS, IND Lead series 2-1",20040510
0,San Antonio SA,Los Angeles LAL,"LAL 98, SA 90",Kobe Bryant 42 Pts,Manu Ginobili 21 Pts,20040511
1,"PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2",20040511
2,Detroit DET,New Jersey NJ,"NJ 94, DET 79",Jason Kidd 22 Pts,Richard Hamilton 30 Pts,20040511
3,"PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2",20040511
0,Minnesota MIN,Sacramento SAC,"SAC 87, MIN 81",Chris Webber 28 Pts,Kevin Garnett 19 Pts,20040512
1,"PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2",20040512
2,Indiana IND,Miami MIA,"MIA 100, IND 88",Lamar Odom 22 Pts,Jermaine O'Neal 37 Pts,20040512
3,"PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2",20040512
0,Los Angeles LAL,San Antonio SA,"LAL 74, SA 73",Kobe Bryant 22 Pts,Tim Duncan 21 Pts,20040513
1,"PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2",20040513
0,New Jersey NJ,Detroit DET,"NJ 127, DET 120 (3OT)",Richard Jefferson 31 Pts,Chauncey Billups 31 Pts,20040514
1,"PLAYOFFS, NJ Lead series 3-2","PLAYOFFS, NJ Lead series 3-2","PLAYOFFS, NJ Lead series 3-2","PLAYOFFS, NJ Lead series 3-2","PLAYOFFS, NJ Lead series 3-2",20040514
2,Sacramento SAC,Minnesota MIN,"MIN 86, SAC 74",Latrell Sprewell 34 Pts,Mike Bibby 14 Pts,20040514
3,"PLAYOFFS, MIN Lead series 3-2","PLAYOFFS, MIN Lead series 3-2","PLAYOFFS, MIN Lead series 3-2","PLAYOFFS, MIN Lead series 3-2","PLAYOFFS, MIN Lead series 3-2",20040514
0,Miami MIA,Indiana IND,"IND 94, MIA 83",Jermaine O'Neal 22 Pts,Dwyane Wade 16 Pts,20040515
1,"PLAYOFFS, IND Lead series 3-2","PLAYOFFS, IND Lead series 3-2","PLAYOFFS, IND Lead series 3-2","PLAYOFFS, IND Lead series 3-2","PLAYOFFS, IND Lead series 3-2",20040515
2,San Antonio SA,Los Angeles LAL,"LAL 88, SA 76",Kobe Bryant 26 Pts,Tim Duncan 20 Pts,20040515
3,"PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2",20040515
0,Minnesota MIN,Sacramento SAC,"SAC 104, MIN 87",Peja Stojakovic 22 Pts,Latrell Sprewell 27 Pts,20040516
1,"PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3",20040516
2,Detroit DET,New Jersey NJ,"DET 81, NJ 75",Richard Hamilton 24 Pts,Richard Jefferson 23 Pts,20040516
3,"PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3","PLAYOFFS, Series tied 3-3",20040516
0,Indiana IND,Miami MIA,"IND 73, MIA 70",Metta World Peace 27 Pts,Dwyane Wade 24 Pts,20040518
1,"PLAYOFFS, IND Wins series 4-2","PLAYOFFS, IND Wins series 4-2","PLAYOFFS, IND Wins series 4-2","PLAYOFFS, IND Wins series 4-2","PLAYOFFS, IND Wins series 4-2",20040518
0,Sacramento SAC,Minnesota MIN,"MIN 83, SAC 80",Kevin Garnett 32 Pts,Doug Christie 21 Pts,20040519
1,"PLAYOFFS, MIN Wins series 4-3","PLAYOFFS, MIN Wins series 4-3","PLAYOFFS, MIN Wins series 4-3","PLAYOFFS, MIN Wins series 4-3","PLAYOFFS, MIN Wins series 4-3",20040519
0,New Jersey NJ,Detroit DET,"DET 90, NJ 69",Chauncey Billups 22 Pts,Kerry Kittles 18 Pts,20040520
1,"PLAYOFFS, DET Wins series 4-3","PLAYOFFS, DET Wins series 4-3","PLAYOFFS, DET Wins series 4-3","PLAYOFFS, DET Wins series 4-3","PLAYOFFS, DET Wins series 4-3",20040520
0,Los Angeles LAL,Minnesota MIN,"LAL 97, MIN 88",Shaquille O'Neal 27 Pts,Latrell Sprewell 23 Pts,20040521
1,"PLAYOFFS, LAL Lead series 1-0","PLAYOFFS, LAL Lead series 1-0","PLAYOFFS, LAL Lead series 1-0","PLAYOFFS, LAL Lead series 1-0","PLAYOFFS, LAL Lead series 1-0",20040521
0,Detroit DET,Indiana IND,"IND 78, DET 74",Jermaine O'Neal 21 Pts,Richard Hamilton 23 Pts,20040522
1,"PLAYOFFS, IND Lead series 1-0","PLAYOFFS, IND Lead series 1-0","PLAYOFFS, IND Lead series 1-0","PLAYOFFS, IND Lead series 1-0","PLAYOFFS, IND Lead series 1-0",20040522
0,Los Angeles LAL,Minnesota MIN,"MIN 89, LAL 71",Kevin Garnett 24 Pts,Kobe Bryant 27 Pts,20040523
1,"PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1",20040523
0,Detroit DET,Indiana IND,"DET 72, IND 67",Richard Hamilton 23 Pts,Reggie Miller 21 Pts,20040524
1,"PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1","PLAYOFFS, Series tied 1-1",20040524
0,Minnesota MIN,Los Angeles LAL,"LAL 100, MIN 89",Shaquille O'Neal 22 Pts,Kevin Garnett 22 Pts,20040525
1,"PLAYOFFS, LAL Lead series 2-1","PLAYOFFS, LAL Lead series 2-1","PLAYOFFS, LAL Lead series 2-1","PLAYOFFS, LAL Lead series 2-1","PLAYOFFS, LAL Lead series 2-1",20040525
0,Indiana IND,Detroit DET,"DET 85, IND 78",Richard Hamilton 20 Pts,Jermaine O'Neal 24 Pts,20040526
1,"PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1","PLAYOFFS, DET Lead series 2-1",20040526
0,Minnesota MIN,Los Angeles LAL,"LAL 92, MIN 85",Kobe Bryant 31 Pts,Kevin Garnett 28 Pts,20040527
1,"PLAYOFFS, LAL Lead series 3-1","PLAYOFFS, LAL Lead series 3-1","PLAYOFFS, LAL Lead series 3-1","PLAYOFFS, LAL Lead series 3-1","PLAYOFFS, LAL Lead series 3-1",20040527
0,Indiana IND,Detroit DET,"IND 83, DET 68",Metta World Peace 20 Pts,Richard Hamilton 22 Pts,20040528
1,"PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2","PLAYOFFS, Series tied 2-2",20040528
0,Los Angeles LAL,Minnesota MIN,"MIN 98, LAL 96",Kevin Garnett 30 Pts,Kobe Bryant 23 Pts,20040529
1,"PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2","PLAYOFFS, LAL Lead series 3-2",20040529
0,Detroit DET,Indiana IND,"DET 83, IND 65",Richard Hamilton 33 Pts,Metta World Peace 13 Pts,20040530
1,"PLAYOFFS, DET Lead series 3-2","PLAYOFFS, DET Lead series 3-2","PLAYOFFS, DET Lead series 3-2","PLAYOFFS, DET Lead series 3-2","PLAYOFFS, DET Lead series 3-2",20040530
0,Minnesota MIN,Los Angeles LAL,"LAL 96, MIN 90",Shaquille O'Neal 25 Pts,Latrell Sprewell 27 Pts,20040531
1,"PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2","PLAYOFFS, LAL Wins series 4-2",20040531
0,Indiana IND,Detroit DET,"DET 69, IND 65",Richard Hamilton 21 Pts,Jermaine O'Neal 20 Pts,20040601
1,"PLAYOFFS, DET Wins series 4-2","PLAYOFFS, DET Wins series 4-2","PLAYOFFS, DET Wins series 4-2","PLAYOFFS, DET Wins series 4-2","PLAYOFFS, DET Wins series 4-2",20040601
0,Detroit DET,Los Angeles LAL,"DET 87, LAL 75",Chauncey Billups 22 Pts,Shaquille O'Neal 34 Pts,20040606
1,"FINALS, DET Lead series 1-0","FINALS, DET Lead series 1-0","FINALS, DET Lead series 1-0","FINALS, DET Lead series 1-0","FINALS, DET Lead series 1-0",20040606
0,Detroit DET,Los Angeles LAL,"LAL 99, DET 91 (OT)",Kobe Bryant 33 Pts,Chauncey Billups 27 Pts,20040608
1,"FINALS, Series tied 1-1","FINALS, Series tied 1-1","FINALS, Series tied 1-1","FINALS, Series tied 1-1","FINALS, Series tied 1-1",20040608
0,Los Angeles LAL,Detroit DET,"DET 88, LAL 68",Richard Hamilton 31 Pts,Shaquille O'Neal 14 Pts,20040610
1,"FINALS, DET Lead series 2-1","FINALS, DET Lead series 2-1","FINALS, DET Lead series 2-1","FINALS, DET Lead series 2-1","FINALS, DET Lead series 2-1",20040610
0,Los Angeles LAL,Detroit DET,"DET 88, LAL 80",Rasheed Wallace 26 Pts,Shaquille O'Neal 36 Pts,20040613
1,"FINALS, DET Lead series 3-1","FINALS, DET Lead series 3-1","FINALS, DET Lead series 3-1","FINALS, DET Lead series 3-1","FINALS, DET Lead series 3-1",20040613
0,Los Angeles LAL,Detroit DET,"DET 100, LAL 87",Richard Hamilton 21 Pts,Kobe Bryant 24 Pts,20040615
1,"FINALS, DET Wins series 4-1","FINALS, DET Wins series 4-1","FINALS, DET Wins series 4-1","FINALS, DET Wins series 4-1","FINALS, DET Wins series 4-1",20040615
0,Golden State GS,Sacramento SAC,"GS 97, SAC 79",,,20041010
1,Miami MIA,Houston HOU,"HOU 85, MIA 75",,,20041010
0,Washington WSH,Indiana IND,"IND 85, WSH 84",,,20041011
0,Chicago CHI,Boston BOS,"BOS 104, CHI 74",,,20041012
1,Memphis MEM,Orlando ORL,"MEM 99, ORL 95",,,20041012
2,Seattle SEA,Los Angeles LAL,"SEA 87, LAL 80",,,20041012
3,Washington WSH,Philadelphia PHI,"PHI 114, WSH 107",,,20041012
0,Dallas DAL,New Orleans NO,"NO 94, DAL 87",,,20041013
1,LA LAC,Phoenix PHX,"PHX 105, LAC 83",,,20041013
2,Seattle SEA,Portland POR,"POR 92, SEA 73",,,20041013
3,Orlando ORL,Atlanta ATL,"ATL 96, ORL 88",,,20041013
4,Boston BOS,Detroit DET,"DET 105, BOS 103",,,20041013
5,Minnesota MIN,Milwaukee MIL,"MIL 89, MIN 84",,,20041013
0,Milwaukee MIL,Denver DEN,"DEN 97, MIL 91",,,20041014
1,New Jersey NJ,New York NY,"NY 92, NJ 84",,,20041014
2,Cleveland CLE,Memphis MEM,"MEM 102, CLE 94",,,20041014
3,Washington WSH,Charlotte CHA,"WSH 126, CHA 125 (2OT)",,,20041014
4,Minnesota MIN,Atlanta ATL,"MIN 99, ATL 96",,,20041014
5,Portland POR,Golden State GS,"GS 90, POR 71",,,20041014
6,Sacramento SAC,Houston HOU,"HOU 88, SAC 86",,,20041014
0,Philadelphia PHI,Toronto TOR,"PHI 99, TOR 97",,,20041015
1,New Orleans NO,Chicago CHI,"CHI 103, NO 100 (OT)",,,20041015
2,Orlando ORL,Miami MIA,"MIA 95, ORL 89",,,20041015
0,San Antonio SA,New York NY,"NY 98, SA 84",,,20041016
1,LA LAC,New Orleans NO,"NO 105, LAC 95",,,20041016
2,Charlotte CHA,Portland POR,"POR 111, CHA 85",,,20041016
3,Phoenix PHX,Seattle SEA,"PHX 99, SEA 93",,,20041016
4,Indiana IND,Memphis MEM,"IND 108, MEM 91",,,20041016
5,Chicago CHI,Cleveland CLE,"CLE 104, CHI 88",,,20041016
6,Detroit DET,Miami MIA,"MIA 83, DET 74",,,20041016
7,Denver DEN,Milwaukee MIL,"MIL 93, DEN 91",,,20041016
8,Boston BOS,New Jersey NJ,"NJ 95, BOS 86",,,20041016
0,Houston HOU,Sacramento SAC,"SAC 91, HOU 89",,,20041017
1,Toronto TOR,Philadelphia PHI,"PHI 108, TOR 103",,,20041017
2,Minnesota MIN,Detroit DET,"MIN 76, DET 70",,,20041017
3,Dallas DAL,Orlando ORL,"ORL 114, DAL 93",,,20041017
4,Golden State GS,Los Angeles LAL,"LAL 94, GS 80",,,20041017
5,Utah UTAH,Seattle SEA,"UTAH 100, SEA 84",,,20041017
0,New Jersey NJ,Cleveland CLE,"CLE 88, NJ 69",,,20041018
1,Atlanta ATL,Miami MIA,"MIA 92, ATL 82",,,20041018
0,Philadelphia PHI,New Orleans NO,"NO 92, PHI 89",,,20041019
1,Minnesota MIN,Indiana IND,"IND 93, MIN 92",,,20041019
2,New York NY,Utah UTAH,"UTAH 113, NY 89",,,20041019
3,Boston BOS,Chicago CHI,"CHI 95, BOS 92",,,20041019
4,Milwaukee MIL,Dallas DAL,"MIL 107, DAL 105",,,20041019
5,Golden State GS,LA LAC,"LAC 96, GS 81",,,20041019
6,Sacramento SAC,Los Angeles LAL,"LAL 105, SAC 80",,,20041019
7,Charlotte CHA,New Jersey NJ,"NJ 96, CHA 89",,,20041019
8,Phoenix PHX,San Antonio SA,"PHX 104, SA 96",,,20041019
0,Memphis MEM,Atlanta ATL,"MEM 95, ATL 86",,,20041020
1,Washington WSH,Detroit DET,"WSH 92, DET 83",,,20041020
2,Utah UTAH,Phoenix PHX,"PHX 108, UTAH 67",,,20041020
3,Charlotte CHA,Cleveland CLE,"CLE 103, CHA 77",,,20041020
0,Denver DEN,LA LAC,"DEN 100, LAC 88",,,20041021
1,Orlando ORL,New Orleans NO,"ORL 92, NO 91",,,20041021
2,Portland POR,Toronto TOR,"POR 88, TOR 85",,,20041021
3,Milwaukee MIL,Memphis MEM,"MEM 97, MIL 75",,,20041021
4,New York NY,Dallas DAL,"DAL 112, NY 74",,,20041021
5,Chicago CHI,Houston HOU,"HOU 98, CHI 78",,,20041021
6,Golden State GS,Los Angeles LAL,"GS 90, LAL 88 (OT)",,,20041021
7,Philadelphia PHI,San Antonio SA,"PHI 97, SA 95 (OT)",,,20041021
0,Denver DEN,Golden State GS,"DEN 105, GS 86",,,20041022
1,New York NY,Minnesota MIN,"MIN 102, NY 82",,,20041022
2,Sacramento SAC,Utah UTAH,"UTAH 101, SAC 88",,,20041022
3,Portland POR,Charlotte CHA,"CHA 69, POR 63",,,20041022
4,New Jersey NJ,Boston BOS,"NJ 96, BOS 83",,,20041022
5,LA LAC,Los Angeles LAL,"LAL 113, LAC 102",,,20041022
6,Miami MIA,Atlanta ATL,"MIA 113, ATL 82",,,20041022
7,Washington WSH,Detroit DET,"DET 100, WSH 82",,,20041022
0,Indiana IND,Minnesota MIN,"IND 106, MIN 104",,,20041023
1,Houston HOU,Orlando ORL,"ORL 95, HOU 72",,,20041023
2,New Orleans NO,Sacramento SAC,"SAC 92, NO 87",,,20041023
3,Atlanta ATL,Memphis MEM,"MEM 104, ATL 72",,,20041023
4,Cleveland CLE,Boston BOS,"CLE 96, BOS 91",,,20041023
5,Toronto TOR,Chicago CHI,"TOR 91, CHI 89",,,20041023
6,Dallas DAL,Milwaukee MIL,"DAL 91, MIL 89",,,20041023
7,New Jersey NJ,Philadelphia PHI,"PHI 86, NJ 81",,,20041023
8,Seattle SEA,San Antonio SA,"SA 91, SEA 82",,,20041023
0,Utah UTAH,Detroit DET,"DET 82, UTAH 75",,,20041024
1,New Orleans NO,LA LAC,"LAC 97, NO 93",,,20041024
2,Indiana IND,Denver DEN,"DEN 98, IND 80",,,20041024
3,Dallas DAL,New York NY,"NY 102, DAL 86",,,20041024
4,Charlotte CHA,Washington WSH,"WSH 97, CHA 85",,,20041024
5,Phoenix PHX,Los Angeles LAL,"LAL 111, PHX 103",,,20041024
0,Golden State GS,Portland POR,"GS 87, POR 84",,,20041025
1,Washington WSH,Chicago CHI,"CHI 100, WSH 95",,,20041025
2,Boston BOS,Cleveland CLE,"CLE 95, BOS 88",,,20041025
3,Seattle SEA,Los Angeles LAL,"LAL 117, SEA 91",,,20041025
0,Miami MIA,Charlotte CHA,"CHA 82, MIA 74",,,20041026
1,Toronto TOR,Denver DEN,"DEN 102, TOR 98",,,20041026
2,Memphis MEM,Indiana IND,"IND 102, MEM 96",,,20041026
3,Utah UTAH,Philadelphia PHI,"PHI 97, UTAH 86",,,20041026
4,Seattle SEA,Phoenix PHX,"PHX 103, SEA 93",,,20041026
5,San Antonio SA,Dallas DAL,"SA 98, DAL 94",,,20041026
6,New York NY,New Jersey NJ,"NY 86, NJ 79",,,20041026
0,Detroit DET,Boston BOS,"BOS 96, DET 84",,,20041027
1,Chicago CHI,Indiana IND,"IND 91, CHI 71",,,20041027
2,Milwaukee MIL,Minnesota MIN,"MIL 76, MIN 75",,,20041027
3,Miami MIA,Orlando ORL,"ORL 109, MIA 103",,,20041027
4,Toronto TOR,Portland POR,"POR 97, TOR 95",,,20041027
5,Atlanta ATL,Charlotte CHA,"CHA 93, ATL 89",,,20041027
6,LA LAC,Golden State GS,"GS 82, LAC 78",,,20041027
7,San Antonio SA,Houston HOU,"SA 79, HOU 69",,,20041027
0,Memphis MEM,Milwaukee MIL,"MEM 99, MIL 92",,,20041028
1,Atlanta ATL,Cleveland CLE,"CLE 99, ATL 94",,,20041028
2,Sacramento SAC,Dallas DAL,"DAL 112, SAC 93",,,20041028
3,Denver DEN,Houston HOU,"DEN 93, HOU 88",,,20041028
4,Phoenix PHX,LA LAC,"PHX 109, LAC 88",,,20041028
5,Washington WSH,Los Angeles LAL,"LAL 97, WSH 87",,,20041028
6,Philadelphia PHI,New Jersey NJ,"NJ 96, PHI 94",,,20041028
7,Utah UTAH,New York NY,"NY 89, UTAH 83",,,20041028
0,Denver DEN,Indiana IND,"DEN 98, IND 79",,,20041029
1,Detroit DET,Minnesota MIN,"MIN 102, DET 95",,,20041029
2,Cleveland CLE,Toronto TOR,"TOR 100, CLE 92",,,20041029
3,Phoenix PHX,Sacramento SAC,"PHX 124, SAC 96",,,20041029
4,New Orleans NO,San Antonio SA,"SA 102, NO 86",,,20041029
5,Portland POR,Seattle SEA,"SEA 91, POR 87",,,20041029
0,Sacramento SAC,Dallas DAL,"DAL 107, SAC 98",Dirk Nowitzki 33 Pts,Brad Miller 24 Pts,20041102
1,Denver DEN,Los Angeles LAL,"LAL 89, DEN 78",Kobe Bryant 25 Pts,Carmelo Anthony 20 Pts,20041102
2,Houston HOU,Detroit DET,"DET 87, HOU 79",Rasheed Wallace 24 Pts,Tracy McGrady 18 Pts,20041102
0,Dallas DAL,New Orleans NO,"DAL 106, NO 91",Dirk Nowitzki 19 Pts,Baron Davis 25 Pts,20041103
1,Indiana IND,Cleveland CLE,"IND 109, CLE 104 (2OT)",Metta World Peace 31 Pts,Zydrunas Ilgauskas 35 Pts,20041103
2,New York NY,Minnesota MIN,"MIN 99, NY 93",Kevin Garnett 28 Pts,Stephon Marbury 27 Pts,20041103
3,Milwaukee MIL,Orlando ORL,"ORL 93, MIL 92",Steve Francis 26 Pts,Michael Redd 19 Pts,20041103
4,Atlanta ATL,Phoenix PHX,"PHX 112, ATL 82",Amar'e Stoudemire 23 Pts,Antoine Walker 21 Pts,20041103
5,Houston HOU,Toronto TOR,"TOR 95, HOU 88",Chris Bosh 20 Pts,Tracy McGrady 21 Pts,20041103
6,Washington WSH,Memphis MEM,"WSH 103, MEM 91",Antawn Jamison 34 Pts,Bonzi Wells 19 Pts,20041103
7,Philadelphia PHI,Boston BOS,"PHI 98, BOS 95",Allen Iverson 30 Pts,Paul Pierce 35 Pts,20041103
8,Portland POR,Golden State GS,"POR 78, GS 75",Nick Van Exel 20 Pts,Mike Dunleavy 17 Pts,20041103
9,Seattle SEA,LA LAC,"LAC 114, SEA 84",Bobby Simmons 30 Pts,Rashard Lewis 24 Pts,20041103
10,Sacramento SAC,San Antonio SA,"SA 101, SAC 85",Tim Duncan 30 Pts,Mike Bibby 23 Pts,20041103
11,Miami MIA,New Jersey NJ,"MIA 100, NJ 77",Dwyane Wade 21 Pts,Richard Jefferson 19 Pts,20041103
12,Los Angeles LAL,Utah UTAH,"UTAH 104, LAL 78",Carlos Boozer 27 Pts,Kobe Bryant 38 Pts,20041103
0,Washington WSH,Charlotte CHA,"WSH 103, CHA 96",Antawn Jamison 24 Pts,Emeka Okafor 19 Pts,20041104
1,Cleveland CLE,Miami MIA,"MIA 92, CLE 86",Dwyane Wade 28 Pts,Drew Gooden 24 Pts,20041104
2,Minnesota MIN,Denver DEN,"DEN 94, MIN 92 (OT)",Carmelo Anthony 19 Pts,Kevin Garnett 25 Pts,20041104
0,Orlando ORL,New Orleans NO,"ORL 90, NO 89",Hedo Turkoglu 21 Pts,Baron Davis 36 Pts,20041105
1,Phoenix PHX,Philadelphia PHI,"PHX 108, PHI 98",Amar'e Stoudemire 29 Pts,Allen Iverson 25 Pts,20041105
2,LA LAC,Portland POR,"POR 94, LAC 81",Shareef Abdur-Rahim 22 Pts,Chris Wilcox 27 Pts,20041105
3,Detroit DET,Toronto TOR,"TOR 101, DET 89",Chris Bosh 18 Pts,Richard Hamilton 24 Pts,20041105
4,Houston HOU,Memphis MEM,"HOU 89, MEM 81",Tracy McGrady 30 Pts,Pau Gasol 21 Pts,20041105
5,Indiana IND,Boston BOS,"IND 100, BOS 94",Metta World Peace 28 Pts,Ricky Davis 22 Pts,20041105
6,New Jersey NJ,Chicago CHI,"NJ 111, CHI 106 (2OT)",Richard Jefferson 26 Pts,Kirk Hinrich 34 Pts,20041105
7,Utah UTAH,Golden State GS,"UTAH 102, GS 80",Carlos Boozer 16 Pts,Derek Fisher 17 Pts,20041105
8,San Antonio SA,Los Angeles LAL,"SA 105, LAL 96",Tim Duncan 26 Pts,Kobe Bryant 28 Pts,20041105
9,Atlanta ATL,Seattle SEA,"SEA 106, ATL 85",Ray Allen 25 Pts,Antoine Walker 24 Pts,20041105
0,Utah UTAH,Denver DEN,"UTAH 106, DEN 82",Carlos Boozer 30 Pts,Earl Boykins 17 Pts,20041106
1,New Orleans NO,Minnesota MIN,"MIN 99, NO 92",Kevin Garnett 29 Pts,Baron Davis 21 Pts,20041106
2,Miami MIA,Washington WSH,"MIA 118, WSH 106",Dwyane Wade 37 Pts,Gilbert Arenas 27 Pts,20041106
3,Orlando ORL,Charlotte CHA,"CHA 111, ORL 100",Primoz Brezec 20 Pts,Cuttino Mobley 23 Pts,20041106
4,Memphis MEM,Dallas DAL,"DAL 112, MEM 88",Michael Finley 23 Pts,Pau Gasol 18 Pts,20041106
5,Philadelphia PHI,Detroit DET,"DET 99, PHI 91",Chauncey Billups 20 Pts,Allen Iverson 31 Pts,20041106
6,LA LAC,Golden State GS,"LAC 94, GS 86",Corey Maggette 26 Pts,Speedy Claxton 18 Pts,20041106
7,Sacramento SAC,Houston HOU,"HOU 104, SAC 101 (OT)",Yao Ming 33 Pts,Mike Bibby 31 Pts,20041106
8,Cleveland CLE,Milwaukee MIL,"MIL 102, CLE 88",Michael Redd 28 Pts,LeBron James 31 Pts,20041106
9,Boston BOS,New York NY,"BOS 107, NY 73",Paul Pierce 28 Pts,Michael Sweetney 18 Pts,20041106
10,Chicago CHI,Indiana IND,"IND 100, CHI 90",Stephen Jackson 24 Pts,Luol Deng 25 Pts,20041106
11,Phoenix PHX,New Jersey NJ,"PHX 112, NJ 80",Amar'e Stoudemire 22 Pts,Richard Jefferson 24 Pts,20041106
0,Portland POR,Toronto TOR,"TOR 101, POR 97",Vince Carter 25 Pts,Zach Randolph 33 Pts,20041107
1,San Antonio SA,Seattle SEA,"SEA 113, SA 94",Rashard Lewis 27 Pts,Manu Ginobili 21 Pts,20041107
2,Atlanta ATL,Los Angeles LAL,"LAL 106, ATL 90",Kobe Bryant 24 Pts,Al Harrington 22 Pts,20041107
0,Denver DEN,Utah UTAH,"UTAH 102, DEN 91",Andrei Kirilenko 24 Pts,Carmelo Anthony 17 Pts,20041108
1,Golden State GS,Dallas DAL,"DAL 101, GS 98 (OT)",Dirk Nowitzki 25 Pts,Jason Richardson 25 Pts,20041108
2,Detroit DET,LA LAC,"DET 99, LAC 96 (2OT)",Chauncey Billups 20 Pts,Corey Maggette 25 Pts,20041108
0,Los Angeles LAL,New Orleans NO,"LAL 106, NO 98",Kobe Bryant 31 Pts,Baron Davis 23 Pts,20041109
1,Seattle SEA,Denver DEN,"SEA 108, DEN 88",Ray Allen 30 Pts,Carmelo Anthony 20 Pts,20041109
2,Indiana IND,Minnesota MIN,"IND 102, MIN 101",Jermaine O'Neal 22 Pts,Kevin Garnett 22 Pts,20041109
3,Dallas DAL,Orlando ORL,"ORL 94, DAL 84",Hedo Turkoglu 19 Pts,Dirk Nowitzki 20 Pts,20041109
