Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PHI,13.558333333333332,14.199999999999998,0.7833333333333333,60.583333333333336,23.566666666666666,5.75,12.190833333333332,10.041666666666668,12.208333333333334,0.4949166666666667,16.925,23.933333333333337,27.5,1445.1666666666667,5.7749999999999995,14.199999999999998,10.041666666666668,11.391666666666666,1.5916666666666668,1.4583333333333333,14.233333333333334,18.4,0.9749999999999998,1.6583333333333332,2.6250000000000004,0.07133333333333335,-1.5583333333333333,-0.008333333333333309,-1.5833333333333333,0.37500000000000006
PHO,16.339999999999996,15.34,1.6466666666666667,64.8,24.77333333333333,6.2,13.609333333333332,10.753333333333336,12.560000000000002,0.5046666666666667,17.113333333333333,49.44666666666667,26.8,1261.3333333333333,5.393333333333333,14.98,10.180000000000001,13.566666666666666,2.46,1.6799999999999997,16.833333333333336,18.39333333333333,1.2866666666666666,0.8866666666666667,2.1733333333333333,0.06413333333333333,-1.3599999999999999,0.45999999999999996,-0.8733333333333334,0.49333333333333346
POR,16.23076923076923,13.461538461538463,2.5384615384615383,72.46153846153847,28.384615384615383,5.538461538461538,15.00076923076923,9.584615384615383,11.284615384615384,0.5072307692307692,19.576923076923073,76.13846153846154,27.76923076923077,1454.2307692307693,6.299999999999999,13.64615384615385,10.015384615384615,14.099999999999998,1.7384615384615385,1.9692307692307693,13.36153846153846,19.676923076923075,1.8999999999999997,1.0692307692307694,2.9846153846153842,0.08915384615384614,-0.13076923076923086,-0.15384615384615388,-0.25384615384615383,0.7384615384615383
SAC,18.1125,14.525000000000002,2.4125000000000005,64.5,26.462500000000002,6.0,15.64125,10.350000000000001,10.925,0.53825,18.300000000000004,71.99999999999999,30.0,1694.125,5.9875,14.525000000000002,10.350000000000001,15.674999999999999,1.9000000000000004,1.1125,13.425,19.862499999999997,3.0374999999999996,1.3375000000000001,4.362500000000001,0.110125,0.2500000000000001,-0.24999999999999994,0.0,1.2624999999999997
SAS,17.48888888888889,13.88888888888889,1.6666666666666663,66.11111111111111,21.3,5.0,14.42888888888889,9.533333333333333,11.68888888888889,0.5074444444444445,18.488888888888894,50.144444444444446,28.0,1389.111111111111,4.966666666666667,13.911111111111111,9.488888888888887,14.355555555555554,1.677777777777778,1.4333333333333331,13.988888888888887,19.500000000000004,1.4888888888888887,2.8333333333333335,4.333333333333333,0.13100000000000003,-1.1222222222222222,1.655555555555556,0.5111111111111111,1.3
SEA,16.46,13.85,1.48,69.4,21.049999999999997,6.3,14.345999999999998,10.17,12.7,0.5326,16.630000000000003,44.980000000000004,26.3,1485.9,6.45,13.85,10.17,13.979999999999999,1.72,1.95,15.330000000000002,17.959999999999997,2.15,0.5800000000000001,2.7399999999999998,0.0824,-0.5000000000000002,-0.8,-1.28,0.4900000000000001
TOR,16.473333333333333,14.533333333333335,1.1466666666666667,66.53333333333333,25.71333333333333,5.333333333333333,12.574,9.92,11.66,0.4833333333333333,17.200000000000003,34.33333333333334,29.266666666666666,1257.6666666666667,5.153333333333333,15.006666666666666,10.046666666666669,14.453333333333331,1.7466666666666668,1.2399999999999998,15.120000000000001,18.439999999999998,0.5333333333333333,1.6533333333333335,2.2066666666666666,0.06093333333333333,-2.506666666666667,0.35333333333333333,-2.18,0.40666666666666684
TOT,16.41777777777778,14.597777777777777,1.3511111111111112,67.26666666666667,22.913333333333338,6.022222222222222,13.650222222222222,10.355555555555556,11.768888888888892,0.49993333333333334,17.393333333333334,40.59333333333333,28.977777777777778,1593.4888888888888,5.971111111111111,14.613333333333328,10.302222222222223,14.513333333333334,1.7622222222222221,1.4622222222222219,14.197777777777775,18.513333333333332,1.4333333333333336,1.4533333333333338,2.8933333333333335,0.08002222222222222,-1.02,-0.21555555555555558,-1.2377777777777776,0.5199999999999999
UTA,15.930000000000001,15.089999999999998,1.4399999999999997,65.4,25.25,8.0,13.151999999999997,11.45,12.51,0.4816999999999999,17.240000000000002,43.35999999999999,25.9,1547.3,7.83,15.179999999999998,11.45,14.16,1.55,1.83,14.85,18.62,1.9300000000000002,1.53,3.47,0.0886,-0.4200000000000001,-0.12000000000000006,-0.53,0.9800000000000001
WAS,14.839999999999998,14.94,1.0000000000000002,62.6,23.04666666666667,6.333333333333333,13.4,10.499999999999998,13.613333333333332,0.5023333333333334,17.666666666666668,30.046666666666674,25.666666666666668,1308.1333333333334,5.4799999999999995,12.833333333333334,9.053333333333335,13.766666666666667,1.8466666666666671,2.5533333333333332,18.08,19.12,0.7533333333333334,1.0199999999999998,1.7800000000000002,0.02360000000000001,-2.56,-0.3333333333333333,-2.9133333333333336,0.15999999999999998
