Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%_x,USG,VA,MP,TS%_y,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,17.98,12.77,3.4299999999999997,54.7,25.21,4.09,14.559999999999999,8.47,11.1,0.5326,18.889999999999997,102.61000000000001,1356.3,0.5267,0.2485,0.22669999999999998,4.67,15.1,9.940000000000001,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.6799999999999997,0.1129,-0.63,0.51,-0.12000000000000002,0.9400000000000001
BOS,15.47272727272727,14.7,2.3181818181818183,48.0,22.681818181818183,5.2272727272727275,12.797272727272729,10.163636363636364,13.545454545454545,0.528,16.30909090909091,69.37272727272726,1114.090909090909,0.529,0.09936363636363636,0.31127272727272726,5.190909090909091,14.818181818181818,10.218181818181819,13.963636363636363,1.5272727272727271,2.381818181818182,16.2,18.01818181818182,0.8454545454545456,2.063636363636363,2.890909090909091,0.10490909090909092,-2.1,1.2818181818181817,-0.809090909090909,0.7909090909090909
CHA,14.838461538461539,13.615384615384615,0.9153846153846156,52.84615384615385,22.515384615384615,4.361538461538461,11.592307692307694,8.815384615384614,11.346153846153847,0.4799999999999999,18.146153846153844,27.430769230769236,1166.923076923077,0.47715384615384615,0.16807692307692304,0.2853076923076923,4.3307692307692305,13.615384615384615,8.792307692307691,14.715384615384615,1.2538461538461543,1.5846153846153848,13.438461538461537,20.161538461538463,-0.03846153846153843,0.30769230769230765,0.2846153846153846,-0.000307692307692308,-2.3923076923076922,-1.7076923076923076,-4.107692307692307,-0.4307692307692308
CHI,18.09,13.0,4.079999999999999,54.3,26.580000000000002,5.49,16.239,9.309999999999999,9.86,0.5216,20.51,122.16,1436.7,0.5216,0.22849999999999998,0.23110000000000003,5.4799999999999995,13.0,9.309999999999999,18.08,1.48,1.3699999999999997,12.120000000000001,21.240000000000002,2.3000000000000003,2.5300000000000002,4.819999999999999,0.1549,1.01,0.93,1.92,1.5099999999999998
CLE,15.491666666666665,12.558333333333332,1.741666666666667,50.5,23.45,4.816666666666666,12.604166666666666,8.549999999999999,12.616666666666665,0.507,18.766666666666662,52.44999999999999,1146.1666666666667,0.5054166666666667,0.22383333333333333,0.36600000000000005,5.05,13.283333333333331,9.0,15.1,1.3916666666666668,1.2666666666666668,14.850000000000001,19.208333333333332,0.8583333333333331,0.5083333333333333,1.3666666666666665,0.04725000000000001,-1.2916666666666667,-1.1333333333333335,-2.4250000000000003,0.09999999999999994
DAL,13.279999999999998,15.069999999999999,3.3699999999999997,56.0,24.33,5.49,15.437999999999997,10.330000000000002,10.610000000000001,0.5306000000000001,18.110000000000003,101.06000000000003,1385.4,0.5306000000000001,0.1962,0.2854,5.49,15.069999999999999,10.340000000000002,12.4,1.7600000000000002,2.0900000000000003,12.32,19.860000000000003,1.44,1.78,3.229999999999999,0.11259999999999999,-0.2700000000000001,0.7,0.4400000000000002,0.9199999999999999
DEN,13.090909090909092,16.92727272727273,4.072727272727272,53.27272727272727,24.681818181818183,7.681818181818182,16.92909090909091,12.427272727272726,11.40909090909091,0.563,17.672727272727272,122.22727272727275,1257.3636363636363,0.5662727272727271,0.16236363636363638,0.37363636363636366,7.536363636363635,16.790909090909093,12.3,11.563636363636363,1.6727272727272728,2.7,13.109090909090911,19.19090909090909,2.2545454545454544,1.0,3.2818181818181813,0.13172727272727275,0.7363636363636363,-0.03636363636363637,0.690909090909091,0.8636363636363636
DET,14.972727272727274,14.536363636363639,2.0727272727272728,57.27272727272727,23.58181818181818,5.263636363636364,12.618181818181817,9.736363636363636,12.609090909090908,0.4890909090909091,18.08181818181818,62.31818181818183,1390.2727272727273,0.4890909090909091,0.16072727272727272,0.3054545454545455,5.263636363636364,14.527272727272731,9.736363636363636,12.954545454545455,1.6454545454545453,1.5181818181818185,14.990909090909089,19.3,0.9727272727272728,1.0727272727272728,2.0545454545454542,0.05536363636363637,-1.4,-0.4636363636363636,-1.8636363636363635,0.2545454545454546
GSW,18.075,12.983333333333333,3.1500000000000004,55.416666666666664,25.05,4.291666666666667,15.020833333333334,8.675,10.633333333333333,0.5313333333333333,18.816666666666666,94.55,1198.3333333333333,0.5310833333333334,0.24708333333333335,0.21966666666666665,4.25,12.916666666666666,8.608333333333334,16.7,1.7833333333333332,1.6499999999999997,13.291666666666666,20.35,1.4583333333333333,0.5166666666666666,1.958333333333333,0.07133333333333335,-0.09166666666666663,-0.8083333333333335,-0.8833333333333332,0.47500000000000003
HOU,16.008333333333336,16.874999999999996,2.6166666666666667,51.5,24.275000000000006,6.141666666666667,14.735833333333334,11.441666666666668,11.183333333333332,0.5129999999999999,17.716666666666665,78.725,1156.0,0.5079166666666667,0.21833333333333335,0.23550000000000001,5.8,16.474999999999998,11.083333333333334,12.591666666666667,1.458333333333333,1.7416666666666665,12.275,19.041666666666668,1.375,1.1,2.4666666666666663,0.09249999999999999,-0.38333333333333347,-0.16666666666666666,-0.5166666666666667,0.6166666666666667
