Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,17.654545454545456,15.309090909090907,4.427272727272728,62.63636363636363,23.727272727272727,4.972727272727273,15.511818181818178,10.254545454545454,10.318181818181818,0.555,17.854545454545455,133.1272727272727,1483.6363636363637,4.881818181818182,15.245454545454544,10.209090909090909,14.509090909090908,2.0454545454545454,1.5272727272727273,19.027272727272727,2.463636363636364,2.009090909090909,4.472727272727273,0.12009090909090908,-0.17272727272727267,0.27272727272727276,0.10000000000000013,1.481818181818182
BOS,18.041176470588233,11.794117647058826,3.217647058823529,69.17647058823529,23.30588235294118,4.047058823529411,14.92235294117647,7.870588235294116,9.51764705882353,0.5267058823529414,19.388235294117646,96.64117647058822,1119.764705882353,4.8999999999999995,14.670588235294119,9.705882352941176,18.44705882352941,1.7235294117647058,1.1764705882352944,19.900000000000002,1.076470588235294,1.288235294117647,2.3647058823529408,0.10288235294117648,0.11176470588235293,0.24705882352941172,0.33529411764705885,0.5588235294117647
BRK,15.636363636363637,15.681818181818182,3.772727272727273,64.45454545454545,24.03636363636364,5.245454545454546,14.538181818181814,10.47272727272727,10.072727272727272,0.5172727272727272,18.063636363636366,112.93636363636365,1480.2727272727273,5.3999999999999995,15.872727272727273,10.645454545454545,12.936363636363637,1.7454545454545454,1.445454545454545,19.345454545454547,1.4727272727272727,1.2454545454545454,2.7272727272727275,0.08363636363636363,-0.6000000000000001,-0.10909090909090911,-0.7000000000000001,0.5909090909090909
CHI,17.84,12.9,4.219999999999999,66.2,26.619999999999994,4.970000000000001,14.495999999999999,9.03,10.07,0.5281999999999999,18.369999999999997,126.27000000000001,1771.4,4.970000000000001,12.9,9.03,15.430000000000003,1.3699999999999999,1.51,19.03,2.4599999999999995,2.0,4.4799999999999995,0.1089,-0.02999999999999998,0.17999999999999997,0.16999999999999985,1.23
CHO,15.015384615384617,15.507692307692306,2.3923076923076922,63.61538461538461,24.407692307692308,4.6230769230769235,13.356153846153848,9.900000000000002,9.453846153846156,0.4983076923076923,18.184615384615384,71.71538461538462,1462.1538461538462,4.6461538461538465,15.423076923076918,9.876923076923077,14.523076923076925,1.2538461538461538,1.8769230769230765,19.861538461538462,0.6538461538461539,1.8615384615384616,2.523076923076923,0.07715384615384616,-1.3846153846153846,0.2538461538461538,-1.169230769230769,0.43076923076923074
CLE,16.08461538461539,15.323076923076924,3.9307692307692315,67.53846153846153,23.892307692307693,5.776923076923078,13.484615384615385,10.584615384615384,11.63846153846154,0.5215384615384615,17.03076923076923,117.65384615384613,1300.0,5.415384615384616,15.13846153846154,10.338461538461539,12.753846153846153,1.4153846153846155,1.2999999999999998,17.753846153846155,2.4153846153846152,1.2,3.6307692307692303,0.08915384615384617,-0.8923076923076925,-0.30769230769230776,-1.192307692307692,1.0692307692307692
DAL,16.307142857142857,13.364285714285714,4.571428571428571,72.14285714285714,23.228571428571428,4.135714285714286,16.145,8.72857142857143,9.607142857142858,0.5522857142857143,19.08571428571429,137.3,1345.7857142857142,4.992857142857142,13.885714285714284,9.421428571428573,13.271428571428572,1.7071428571428573,1.6714285714285713,19.614285714285717,2.085714285714286,1.2285714285714284,3.3214285714285716,0.12085714285714287,1.0142857142857145,-0.0642857142857143,0.9499999999999996,1.0142857142857142
DEN,15.376923076923076,11.753846153846153,2.515384615384615,63.53846153846154,22.61538461538462,4.115384615384615,13.173846153846151,7.815384615384615,10.323076923076922,0.5110769230769231,19.015384615384615,75.7923076923077,1265.3846153846155,4.338461538461538,12.600000000000001,8.315384615384614,14.44615384615385,1.7615384615384615,1.1846153846153846,19.692307692307693,1.3923076923076925,0.7846153846153847,2.176923076923077,0.07053846153846154,-0.4153846153846153,-0.3461538461538462,-0.7538461538461539,0.5461538461538462
DET,15.450000000000001,13.335714285714287,3.4142857142857146,71.85714285714286,24.742857142857144,4.5928571428571425,14.320714285714283,8.85,9.335714285714285,0.5245714285714286,19.599999999999998,102.58571428571427,1315.7857142857142,4.971428571428572,14.099999999999998,9.364285714285714,16.350000000000005,1.5857142857142856,1.2999999999999996,19.892857142857142,1.5000000000000002,1.192857142857143,2.685714285714286,0.08735714285714287,-0.10714285714285714,-0.2785714285714285,-0.38571428571428573,0.6214285714285716
GSW,18.533333333333335,15.099999999999996,5.458333333333332,69.66666666666667,22.08333333333334,5.658333333333332,16.748333333333335,10.516666666666667,10.575,0.5593333333333333,18.675,163.72500000000002,1604.1666666666667,5.658333333333332,15.099999999999996,10.516666666666667,15.125,1.7916666666666667,2.1166666666666667,19.725,3.0250000000000004,2.4916666666666667,5.5249999999999995,0.15491666666666667,0.45833333333333304,0.9166666666666666,1.375,1.8083333333333336
HOU,17.54285714285714,13.921428571428573,3.65,61.714285714285715,24.371428571428567,5.6000000000000005,14.765714285714285,9.75,12.071428571428571,0.5382142857142858,17.749999999999996,109.74285714285713,1219.5714285714287,6.135714285714285,13.964285714285712,10.064285714285713,13.407142857142858,1.842857142857143,1.5142857142857145,18.478571428571428,1.7142857142857142,1.592857142857143,3.3214285714285716,0.10778571428571429,-0.5285714285714286,0.09999999999999999,-0.42857142857142855,1.0285714285714287
IND,16.841666666666665,16.349999999999998,2.6750000000000007,64.41666666666667,23.658333333333342,5.175,14.294166666666667,10.799999999999999,10.816666666666665,0.5186666666666666,18.941666666666666,80.49166666666667,1534.6666666666667,5.175,16.349999999999998,10.799999999999999,15.425000000000002,1.2999999999999998,1.55,19.875,1.2916666666666667,2.0583333333333336,3.35,0.10325000000000001,-0.4166666666666667,0.4333333333333334,0.008333333333333304,0.8000000000000003
LAC,18.32,13.920000000000002,5.41,67.2,23.999999999999996,4.320000000000001,14.957999999999998,9.209999999999999,9.49,0.529,19.089999999999996,162.19,1563.1,4.300000000000002,14.069999999999999,9.290000000000001,16.92,1.85,1.6300000000000001,20.05,3.1699999999999995,1.8099999999999998,4.98,0.10900000000000001,0.11999999999999984,0.19999999999999996,0.31000000000000005,1.6099999999999999
LAL,15.878571428571428,14.578571428571427,2.4214285714285717,58.214285714285715,25.042857142857144,4.999999999999999,13.968571428571428,9.592857142857143,9.585714285714285,0.5135,18.8,72.8,1402.5,4.871428571428571,14.657142857142857,9.564285714285717,14.042857142857144,1.4928571428571427,1.4214285714285715,19.800000000000004,1.1785714285714286,0.5928571428571427,1.7785714285714282,0.05871428571428573,-0.6357142857142858,-0.9785714285714288,-1.6285714285714286,0.22142857142857145
MEM,16.453846153846158,13.653846153846152,3.7461538461538457,70.76923076923077,24.099999999999998,4.3307692307692305,14.319999999999997,9.007692307692308,9.93846153846154,0.5217692307692308,18.24615384615385,112.5769230769231,1487.8461538461538,4.7384615384615385,14.415384615384614,9.592307692307692,13.66923076923077,1.7615384615384615,1.2769230769230773,18.884615384615387,1.6076923076923075,2.115384615384615,3.6999999999999997,0.10384615384615384,-0.6307692307692309,0.6461538461538462,0.015384615384615382,1.0769230769230769
MIA,14.466666666666667,15.7,2.3733333333333335,51.2,23.62666666666667,4.9,13.772000000000002,10.413333333333332,11.34,0.5323333333333333,17.966666666666665,71.40666666666667,1153.8,4.973333333333333,15.566666666666666,10.386666666666667,11.966666666666667,1.686666666666667,1.8600000000000003,18.59333333333333,0.9800000000000001,1.0666666666666667,2.06,0.07713333333333335,-1.0133333333333334,-0.3133333333333333,-1.3,0.3800000000000001
MIL,16.076923076923073,14.253846153846155,2.8846153846153846,61.76923076923077,24.930769230769233,5.707692307692307,14.32846153846154,9.984615384615385,12.407692307692306,0.5313846153846153,18.23846153846154,86.92307692307693,1315.0,5.869230769230769,14.523076923076921,10.223076923076924,14.507692307692306,2.0923076923076924,2.284615384615385,19.207692307692305,1.0923076923076922,1.9307692307692308,3.023076923076923,0.10800000000000001,-0.6461538461538462,0.8,0.16923076923076924,0.7692307692307693
