Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,15.112499999999997,15.84375,1.65,49.5625,22.300000000000004,5.06875,12.839375,10.35625,11.093750000000004,0.54125,18.387500000000003,49.550000000000004,25.4375,968.125,5.03125,16.0125,10.449999999999998,12.9125,1.5312500000000002,2.05625,18.481250000000003,0.7062500000000002,0.48125,1.1875000000000004,0.05181250000000001,-1.3625,-0.8312499999999999,-2.2125,0.11250000000000006
BOS,17.154545454545453,15.672727272727274,3.4,53.36363636363637,24.227272727272727,5.2272727272727275,15.473636363636365,10.5,9.799999999999999,0.5674545454545453,18.772727272727266,102.1,25.727272727272727,1281.0,5.2272727272727275,15.672727272727274,10.5,13.254545454545452,1.6545454545454545,2.0636363636363635,18.618181818181817,1.9000000000000001,1.8363636363636362,3.754545454545455,0.13763636363636367,0.33636363636363614,0.7363636363636363,1.0636363636363633,1.1454545454545455
BRK,17.244444444444447,16.333333333333336,3.1333333333333333,47.666666666666664,25.922222222222224,4.877777777777776,15.431111111111111,10.777777777777779,11.044444444444444,0.5743333333333333,20.599999999999998,94.68888888888888,27.11111111111111,1247.111111111111,4.877777777777776,16.333333333333336,10.777777777777779,17.455555555555556,1.2444444444444445,1.6222222222222222,20.288888888888888,1.6333333333333337,1.4888888888888887,3.1444444444444444,0.11666666666666667,0.24444444444444458,0.4444444444444444,0.7000000000000001,0.8777777777777778
CHI,15.654545454545454,14.881818181818181,1.6181818181818182,48.0,20.772727272727273,3.7545454545454544,13.87,9.036363636363633,9.881818181818181,0.5473636363636364,19.518181818181816,48.51818181818181,24.181818181818183,1049.8181818181818,3.7545454545454544,14.881818181818181,9.036363636363633,12.80909090909091,2.1181818181818177,2.2636363636363637,19.49090909090909,0.5090909090909091,1.1636363636363636,1.6636363636363638,0.08218181818181818,-1.1636363636363638,0.4,-0.7545454545454546,0.36363636363636354
CHO,19.0,15.030000000000001,1.85,51.3,24.25,5.01,12.762000000000004,9.84,10.42,0.5252,18.489999999999995,55.36,25.7,1267.4,5.0,14.970000000000002,9.8,15.439999999999998,1.4099999999999997,1.5700000000000003,18.560000000000002,0.8300000000000001,0.8,1.6300000000000001,0.05750000000000001,-1.4500000000000002,-0.6599999999999999,-2.09,0.11999999999999997
CLE,17.758333333333336,15.833333333333334,2.508333333333333,51.0,23.975000000000005,5.3500000000000005,13.68416666666667,10.549999999999999,12.333333333333334,0.5419999999999999,20.225,75.46666666666668,26.166666666666668,1045.25,5.191666666666667,15.591666666666669,10.341666666666665,14.641666666666671,1.425,1.6500000000000001,19.833333333333332,0.6999999999999998,0.37499999999999994,1.0749999999999997,0.04666666666666667,-1.05,-1.0416666666666665,-2.108333333333333,-0.008333333333333304
DAL,18.2125,13.875,2.425,56.875,22.7625,5.1625000000000005,14.585000000000003,9.575000000000001,8.225,0.590875,15.762500000000001,72.58749999999999,26.375,1178.875,5.2625,14.600000000000001,10.0375,12.2625,1.2374999999999998,2.1,15.425,2.1125,1.0499999999999998,3.1750000000000003,0.138625,0.4125,0.14999999999999997,0.5875000000000001,0.7374999999999999
DEN,15.858333333333334,12.149999999999999,2.108333333333333,50.666666666666664,22.900000000000002,4.025,14.145833333333336,8.075000000000001,8.083333333333334,0.5551666666666667,19.258333333333336,63.625,26.666666666666668,1001.5833333333334,3.783333333333333,12.225,8.008333333333335,11.458333333333334,1.5250000000000004,2.0416666666666665,19.116666666666664,1.2166666666666666,1.0416666666666667,2.2750000000000004,0.030916666666666648,-3.4583333333333335,-1.633333333333333,-5.083333333333333,0.48333333333333334
DET,17.225,14.087499999999999,2.01875,44.875,23.63125,4.11875,14.0825,9.056249999999999,10.61875,0.5538125,20.187499999999996,60.61250000000001,26.25,946.25,4.050000000000002,14.8375,9.39375,15.5,1.325,1.5125,21.0375,0.8937499999999999,0.725,1.6187500000000001,0.0673125,-0.5687500000000001,-0.91875,-1.49375,0.3
GSW,18.3,15.383333333333333,2.141666666666667,49.5,24.75,4.158333333333333,13.6425,9.591666666666667,10.725000000000001,0.5295833333333334,20.683333333333334,63.91666666666668,24.0,1058.75,4.291666666666667,15.116666666666665,9.508333333333333,17.416666666666664,1.7083333333333337,2.141666666666666,20.48333333333333,0.4666666666666668,0.7166666666666667,1.1833333333333331,0.04933333333333332,-1.2999999999999998,-0.625,-1.9333333333333336,0.07500000000000002
