Tm,AST,DRR,EWA,GP,MPG,ORR,PER,REBR,TO,TS%,USG,VA,Age,MP,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
ATL,17.736363636363635,13.763636363636364,4.154545454545454,68.0909090909091,25.87272727272727,5.636363636363637,14.009999999999998,9.718181818181817,11.563636363636364,0.5290909090909092,18.009090909090908,124.6181818181818,25.09090909090909,1709.3636363636363,1.9272727272727275,1.4727272727272727,3.4181818181818175,-0.7545454545454546,-0.4454545454545454,-1.2090909090909092,0.781818181818182
BOS,17.28181818181818,15.02727272727273,4.154545454545455,69.18181818181819,22.44545454545454,5.909090909090909,14.862727272727273,10.718181818181819,12.799999999999999,0.5546363636363636,18.018181818181816,124.95454545454548,27.636363636363637,1514.0,2.145454545454545,3.236363636363636,5.3909090909090915,-0.6000000000000001,1.5181818181818179,0.9090909090909091,1.6727272727272728
CHA,17.33,13.190000000000001,3.8699999999999997,69.0,26.27,5.8,13.629000000000001,9.48,11.47,0.5262,17.279999999999998,115.71,26.6,1855.6,1.61,1.49,3.1100000000000003,-1.09,-0.61,-1.7,0.55
CHI,16.55,15.591666666666667,2.9916666666666667,70.0,25.24166666666667,6.583333333333333,14.163333333333334,10.991666666666667,11.333333333333334,0.5034166666666667,18.59166666666667,89.76666666666667,25.583333333333332,1445.25,1.0416666666666667,1.55,2.5749999999999997,-1.0333333333333332,0.1666666666666666,-0.8583333333333333,0.5333333333333333
CLE,15.358333333333333,14.425000000000002,4.366666666666668,68.5,26.63333333333333,5.583333333333333,14.370833333333332,9.883333333333335,10.441666666666666,0.5159166666666666,18.45,131.225,28.583333333333332,1338.0,1.7333333333333334,1.5833333333333333,3.308333333333333,-0.6166666666666668,0.16666666666666666,-0.4166666666666667,0.9750000000000001
DAL,16.000000000000004,13.635714285714288,3.535714285714287,66.35714285714286,22.807142857142857,5.285714285714286,13.245714285714286,9.614285714285714,10.557142857142859,0.5297142857142858,16.142857142857142,106.03571428571429,28.5,1271.0,2.1785714285714284,1.5285714285714285,3.707142857142857,-0.664285714285714,0.29999999999999993,-0.35000000000000003,1.0714285714285714
DEN,17.614285714285714,15.257142857142858,4.085714285714285,68.14285714285714,24.985714285714288,5.428571428571429,12.69,10.457142857142857,10.528571428571428,0.543,16.414285714285715,122.35714285714285,27.142857142857142,1762.2857142857142,2.157142857142857,2.314285714285714,4.457142857142857,-0.9571428571428571,0.21428571428571425,-0.7285714285714285,1.1428571428571428
DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.3076923076923075,15.359230769230766,10.476923076923075,10.246153846153845,0.5294615384615384,19.130769230769232,132.6076923076923,27.153846153846153,1458.4615384615386,2.353846153846154,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
GSW,16.183333333333334,13.133333333333333,7.016666666666666,78.5,30.633333333333336,4.5,15.958333333333334,8.75,9.25,0.5383333333333332,19.8,210.09999999999994,26.166666666666668,2409.6666666666665,3.8666666666666667,1.6833333333333333,5.566666666666666,1.0999999999999999,-0.43333333333333335,0.7000000000000001,1.8166666666666667
HOU,16.858333333333334,13.533333333333333,1.5583333333333333,63.583333333333336,20.758333333333333,5.416666666666667,12.555000000000001,9.55,11.016666666666666,0.5329166666666667,17.166666666666668,46.74999999999998,27.333333333333332,1164.9166666666667,1.0666666666666667,2.0,3.0499999999999994,-1.7666666666666666,1.2083333333333333,-0.5500000000000002,0.7749999999999999
IND,17.241666666666664,13.875,2.8333333333333335,64.0,24.799999999999997,4.75,13.396666666666668,9.283333333333333,11.633333333333333,0.5240833333333333,18.849999999999998,85.07499999999997,26.666666666666668,1576.6666666666667,1.3999999999999997,1.6333333333333335,3.0499999999999994,-1.1833333333333333,-0.09166666666666667,-1.275,0.6333333333333332
LAC,19.916666666666668,13.608333333333333,1.8250000000000002,63.5,25.3,3.9166666666666665,12.300833333333335,8.666666666666666,11.15,0.5004166666666666,18.48333333333333,54.79166666666668,28.0,1520.8333333333333,0.5750000000000001,1.2333333333333332,1.8083333333333336,-1.9583333333333333,-0.6083333333333333,-2.5749999999999997,0.1416666666666666
LAL,16.257142857142856,14.942857142857141,4.321428571428571,62.42857142857143,23.47857142857143,6.142857142857143,14.944999999999999,10.685714285714285,11.192857142857141,0.5506428571428571,17.314285714285713,129.64285714285714,26.142857142857142,1176.642857142857,2.1928571428571426,1.5285714285714287,3.728571428571429,-0.07857142857142829,0.5142857142857145,0.43571428571428594,1.2357142857142855
MEM,15.450000000000001,13.871428571428572,2.0999999999999988,63.357142857142854,22.20714285714286,4.714285714285714,11.575000000000001,9.328571428571426,12.835714285714287,0.5252142857142857,16.935714285714287,63.08571428571428,25.285714285714285,1236.0714285714287,1.1428571428571428,0.6142857142857142,1.7499999999999998,-1.2857142857142858,-0.7857142857142857,-2.085714285714286,0.3071428571428571
MIA,15.914285714285715,13.964285714285712,1.728571428571429,53.142857142857146,25.028571428571432,4.0,11.733571428571427,8.928571428571429,11.157142857142858,0.5214285714285715,18.257142857142856,51.67142857142858,26.142857142857142,1190.0,0.3642857142857144,0.807142857142857,1.1500000000000001,-1.7214285714285715,-0.7142857142857143,-2.4071428571428575,0.007142857142857113
MIL,15.336363636363636,14.718181818181819,2.972727272727273,66.0909090909091,25.072727272727274,7.0,13.288181818181819,10.7,11.60909090909091,0.5085454545454545,17.80909090909091,88.64545454545456,26.363636363636363,1705.6363636363637,1.4545454545454544,0.6636363636363637,2.0727272727272728,-1.1545454545454545,-1.1181818181818182,-2.272727272727273,0.18181818181818177
MIN,15.390909090909092,14.663636363636364,2.8090909090909086,59.90909090909091,24.327272727272728,5.545454545454546,12.926363636363636,9.963636363636363,11.890909090909092,0.5125454545454546,18.400000000000002,84.19090909090909,24.636363636363637,1505.7272727272727,1.0363636363636362,0.8545454545454547,1.8909090909090909,-1.2636363636363637,-0.9545454545454547,-2.190909090909091,0.18181818181818185
NJN,16.01538461538462,13.60769230769231,2.2076923076923083,66.84615384615384,21.23076923076923,6.3076923076923075,11.976923076923079,9.946153846153845,13.3,0.5224615384615384,15.14615384615385,66.11538461538461,26.923076923076923,1150.7692307692307,1.0846153846153848,0.8538461538461538,1.9615384615384612,-2.184615384615385,-0.43076923076923074,-2.6076923076923078,0.25384615384615394
NOH,14.476923076923079,14.584615384615384,4.053846153846154,66.76923076923077,20.846153846153847,5.384615384615385,13.616153846153846,9.946153846153845,10.746153846153845,0.5182307692307693,17.284615384615385,121.47692307692309,27.76923076923077,1307.076923076923,2.0538461538461537,1.6846153846153848,3.7615384615384615,-1.1307692307692307,0.45384615384615373,-0.676923076923077,1.0999999999999999
