Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,16.481818181818184,15.454545454545457,1.6909090909090911,59.54545454545455,19.881818181818183,4.736363636363636,12.960909090909093,10.10909090909091,10.981818181818182,0.5605454545454545,17.081818181818182,50.61818181818182,1140.6363636363637,4.736363636363636,15.609090909090913,10.172727272727274,13.08181818181818,1.3545454545454547,1.5545454545454545,17.60909090909091,0.9727272727272728,0.9272727272727272,1.8909090909090909,0.07681818181818183,-0.9727272727272727,-0.4454545454545455,-1.4272727272727275,0.24545454545454548
BOS,17.116666666666667,13.691666666666663,3.0749999999999997,65.5,22.950000000000003,3.9916666666666667,13.929166666666665,8.908333333333335,11.233333333333334,0.5376666666666666,18.566666666666666,92.30833333333332,1487.0,4.983333333333333,15.725,10.416666666666668,14.958333333333334,1.6083333333333327,1.7333333333333334,19.075,1.5166666666666666,2.3583333333333334,3.9,0.11675000000000002,-0.875,1.0999999999999999,0.21666666666666692,1.0999999999999999
BRK,15.328571428571427,12.97857142857143,2.221428571428571,66.78571428571429,22.37857142857143,3.7714285714285714,12.727857142857143,8.35,10.342857142857143,0.554,18.385714285714283,66.77142857142859,1334.4285714285713,4.514285714285714,16.342857142857145,10.385714285714286,14.728571428571428,1.1214285714285714,1.4357142857142857,20.028571428571432,1.257142857142857,1.0142857142857142,2.2857142857142856,0.06564285714285714,-0.6857142857142858,-0.6214285714285713,-1.3000000000000003,0.4714285714285714
CHI,17.161538461538463,15.253846153846155,1.592307692307692,58.38461538461539,23.63076923076923,3.838461538461538,12.390769230769232,9.353846153846153,9.899999999999999,0.516,20.346153846153847,47.56153846153847,1326.5384615384614,3.9846153846153842,16.146153846153847,9.846153846153845,15.969230769230771,1.6153846153846148,1.330769230769231,20.838461538461537,0.5923076923076923,1.0153846153846153,1.6076923076923073,0.05507692307692307,-0.8307692307692308,-0.6153846153846153,-1.4461538461538461,0.18461538461538457
CHO,16.116666666666667,15.200000000000003,3.4666666666666663,66.66666666666667,22.741666666666664,4.283333333333333,13.794166666666667,9.641666666666667,9.416666666666668,0.5353333333333333,18.349999999999998,104.13333333333334,1576.4166666666667,4.283333333333333,15.191666666666668,9.641666666666667,13.250000000000002,1.4000000000000001,1.4833333333333332,18.825,1.8416666666666668,1.5000000000000002,3.349999999999999,0.08758333333333335,-0.6749999999999999,-0.08333333333333333,-0.7416666666666667,0.8166666666666668
CLE,15.22307692307692,14.907692307692308,4.546153846153847,65.07692307692308,23.638461538461538,3.8615384615384625,15.35153846153846,9.446153846153848,9.8,0.5707692307692308,19.299999999999997,136.43076923076922,1155.5384615384614,3.9153846153846157,14.700000000000001,9.392307692307693,13.807692307692305,1.3923076923076922,1.284615384615385,20.153846153846153,2.1692307692307695,0.7615384615384616,2.930769230769231,0.0943076923076923,0.40769230769230774,-0.9846153846153847,-0.5923076923076924,0.8923076923076921
DAL,16.360000000000003,15.84,3.1899999999999995,73.2,23.440000000000005,3.8899999999999997,14.708000000000002,9.68,8.97,0.5758,17.800000000000004,95.72999999999999,1556.0,3.79,16.06,9.709999999999999,13.719999999999999,1.3800000000000001,1.8799999999999997,18.500000000000004,1.8199999999999998,1.38,3.2,0.10529999999999999,-0.27,0.19,-0.11000000000000001,0.8
DEN,16.87272727272727,14.000000000000002,3.1999999999999997,65.81818181818181,23.94545454545454,4.354545454545455,14.132727272727273,9.181818181818182,10.436363636363636,0.5530909090909092,19.045454545454543,95.6909090909091,1488.0,4.318181818181819,13.890909090909092,9.127272727272727,13.663636363636368,1.4454545454545455,1.6636363636363638,19.027272727272727,2.0090909090909093,1.0,3.0090909090909093,0.08809090909090908,-0.26363636363636367,-0.7727272727272727,-1.0363636363636362,0.6090909090909092
DET,19.184615384615388,14.792307692307695,3.46923076923077,65.15384615384616,25.276923076923076,3.907692307692308,14.16923076923077,9.26923076923077,9.884615384615385,0.5416923076923077,19.03076923076923,103.84615384615384,1397.0,3.9000000000000004,14.31538461538462,8.992307692307692,16.584615384615383,1.5692307692307692,1.3923076923076922,19.83076923076923,1.4076923076923078,1.6384615384615384,3.0615384615384618,0.08461538461538463,-0.6461538461538461,0.19230769230769235,-0.4538461538461541,0.7923076923076924
GSW,20.733333333333334,15.499999999999996,4.040000000000001,63.333333333333336,20.699999999999996,5.14,16.577333333333332,10.686666666666666,10.866666666666667,0.5922666666666667,17.986666666666665,121.14666666666669,1309.2666666666667,5.14,15.499999999999996,10.686666666666666,15.719999999999999,1.6533333333333333,2.6866666666666665,18.58,2.273333333333334,1.5,3.786666666666667,0.1376,0.3600000000000002,0.37999999999999995,0.7400000000000002,1.1133333333333333
