Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,17.242857142857144,12.792857142857144,2.892857142857143,67.0,23.921428571428574,4.535714285714286,12.892857142857144,8.67857142857143,11.442857142857141,0.5352142857142858,17.335714285714282,86.6214285714286,27.642857142857142,1396.5,4.821428571428571,13.835714285714285,9.364285714285714,13.750000000000002,1.3214285714285714,1.0785714285714287,18.614285714285717,1.3571428571428574,1.4357142857142857,2.8000000000000003,0.07064285714285715,-1.3785714285714286,-0.2428571428571429,-1.6214285714285714,0.6285714285714283
BOS,16.908333333333335,15.174999999999999,2.741666666666666,60.083333333333336,23.549999999999997,4.608333333333333,12.905833333333334,10.166666666666666,11.716666666666663,0.5323333333333333,16.7,82.54166666666664,27.083333333333332,1181.6666666666667,4.858333333333333,15.450000000000001,10.466666666666667,13.458333333333334,1.6583333333333334,1.45,18.23333333333333,1.0833333333333335,2.2666666666666666,3.358333333333334,0.10808333333333335,-1.7416666666666665,1.2083333333333333,-0.525,1.008333333333333
CHA,13.406666666666666,16.673333333333332,2.4266666666666667,62.733333333333334,22.28666666666667,6.44,13.561333333333334,11.500000000000002,11.966666666666667,0.5322,16.6,72.91333333333334,26.666666666666668,1270.6,6.713333333333334,16.753333333333334,11.7,10.926666666666666,1.2933333333333334,2.0533333333333337,19.053333333333335,0.9533333333333335,1.18,2.1466666666666665,0.07259999999999998,-1.6266666666666665,-0.36000000000000004,-1.9666666666666666,0.36000000000000004
CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.51666666666667,118.55,27.333333333333332,1561.9166666666667,5.216666666666667,14.549999999999999,10.008333333333335,13.966666666666667,1.6833333333333333,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.0166666666666675,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
CLE,15.353333333333333,12.293333333333333,1.4333333333333336,56.06666666666667,22.006666666666668,4.006666666666667,12.126000000000003,8.086666666666666,11.466666666666665,0.5214666666666666,17.686666666666664,42.48666666666667,26.266666666666666,1061.6666666666667,4.42,12.833333333333334,8.520000000000001,15.146666666666668,1.4866666666666661,1.5133333333333332,19.013333333333332,0.58,0.42,1.0000000000000002,0.0352,-1.5999999999999999,-0.9733333333333334,-2.573333333333333,0.026666666666666596
DAL,13.930000000000001,14.070000000000002,4.23,68.8,23.96,5.000000000000001,14.642000000000001,9.709999999999999,10.9,0.5698000000000001,18.11,127.05999999999999,29.8,1517.1,5.58,14.020000000000001,9.969999999999999,12.189999999999998,1.53,1.3600000000000003,19.759999999999998,2.37,1.92,4.2700000000000005,0.1284,0.09000000000000001,0.64,0.71,1.14
DEN,15.515384615384619,14.907692307692312,4.5769230769230775,64.61538461538461,25.838461538461537,5.5,15.36076923076923,10.27692307692308,10.815384615384612,0.5617692307692308,17.95384615384615,137.01538461538462,26.923076923076923,1137.3076923076924,5.276923076923077,15.784615384615385,10.676923076923078,12.792307692307693,1.4076923076923078,1.6384615384615384,19.523076923076925,1.7461538461538462,1.0615384615384615,2.8230769230769233,0.11246153846153847,0.23846153846153822,0.05384615384615389,0.2846153846153847,0.8076923076923078
DET,15.263636363636367,14.909090909090907,3.5090909090909084,67.45454545454545,23.827272727272728,6.036363636363637,14.911818181818182,10.272727272727272,10.427272727272728,0.5301818181818182,18.290909090909086,105.2090909090909,27.272727272727273,1636.0,6.036363636363637,14.909090909090907,10.263636363636364,12.97272727272727,1.6454545454545453,1.3909090909090909,19.418181818181818,1.981818181818182,0.7545454545454546,2.7545454545454544,0.07890909090909091,-0.1909090909090909,-1.0545454545454545,-1.2454545454545454,0.3909090909090909
GSW,15.57777777777778,12.944444444444446,4.877777777777778,68.33333333333333,26.133333333333336,5.222222222222221,14.324444444444445,9.011111111111113,10.600000000000001,0.5290000000000001,18.244444444444444,145.93333333333334,25.22222222222222,1754.4444444444443,5.088888888888889,13.355555555555558,9.144444444444446,13.177777777777779,1.6111111111111114,1.588888888888889,19.48888888888889,2.433333333333333,0.9666666666666666,3.377777777777778,0.07711111111111113,-0.688888888888889,-0.8222222222222223,-1.5222222222222221,0.8444444444444444
HOU,18.241666666666664,14.116666666666667,4.116666666666666,69.08333333333333,23.775000000000002,6.449999999999999,14.945,10.283333333333333,10.025,0.5335833333333333,17.991666666666667,123.61666666666667,26.666666666666668,1574.4166666666667,6.758333333333333,14.333333333333334,10.558333333333334,14.35,1.4833333333333334,1.4416666666666664,19.008333333333333,2.5833333333333335,1.2499999999999998,3.8416666666666663,0.10475000000000001,0.21666666666666656,-0.3666666666666667,-0.13333333333333322,1.0583333333333333
