Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,16.75714285714286,14.078571428571427,0.9642857142857144,63.785714285714285,23.5,5.714285714285714,12.611428571428574,9.685714285714287,12.464285714285717,0.5042857142857142,18.8,29.20714285714286,1345.0714285714287,5.57142857142857,13.535714285714286,9.342857142857143,14.057142857142859,1.7500000000000002,1.135714285714286,19.150000000000002,0.642857142857143,0.5571428571428572,1.1999999999999997,0.03721428571428571,-1.735714285714286,-1.1357142857142857,-2.892857142857143,-0.07857142857142858
BOS,14.233333333333333,15.891666666666664,1.7166666666666661,70.83333333333333,21.791666666666668,6.583333333333333,13.973333333333334,11.241666666666667,12.916666666666666,0.5329166666666667,17.858333333333334,51.66666666666668,1341.0833333333333,6.875,15.508333333333331,11.275,11.458333333333334,1.7333333333333336,2.083333333333333,18.675,1.6583333333333332,1.383333333333333,3.008333333333333,0.08808333333333333,-0.8333333333333334,0.06666666666666667,-0.8166666666666668,0.7333333333333333
CHA,16.191666666666666,12.549999999999997,1.1083333333333334,62.666666666666664,21.916666666666668,4.416666666666667,13.118333333333332,8.366666666666665,9.975,0.4885833333333333,18.691666666666666,33.35833333333333,1341.9166666666667,4.633333333333333,12.391666666666666,8.308333333333334,14.933333333333332,1.8750000000000002,1.425,19.974999999999998,0.5083333333333334,1.1416666666666664,1.6416666666666668,0.05658333333333334,-1.0833333333333333,-0.43333333333333335,-1.5166666666666666,0.19999999999999996
CHI,16.977777777777778,14.222222222222225,1.1111111111111114,73.44444444444444,23.099999999999998,5.888888888888889,13.292222222222223,10.166666666666666,12.211111111111112,0.5133333333333333,17.566666666666666,33.344444444444434,1717.0,6.077777777777778,14.222222222222225,10.166666666666666,14.888888888888886,1.7444444444444445,1.1555555555555554,18.666666666666664,1.1555555555555557,2.9777777777777774,4.133333333333334,0.11411111111111111,-0.8222222222222223,1.4222222222222223,0.5777777777777778,1.1666666666666667
CLE,17.7625,13.7125,2.8375000000000004,77.25,27.825000000000003,6.25,14.528749999999999,9.962499999999999,10.149999999999999,0.50125,17.9625,85.32499999999999,2163.5,6.3625,13.7125,9.962499999999999,14.9375,1.6875000000000002,1.5625,18.7625,2.975,2.2624999999999997,5.237499999999999,0.10125000000000002,-0.32499999999999996,-0.11249999999999999,-0.4500000000000001,1.4374999999999993
DAL,15.99230769230769,13.100000000000001,2.4153846153846157,69.46153846153847,25.253846153846155,6.076923076923077,15.416923076923077,9.600000000000001,11.2,0.5298461538461539,18.584615384615383,72.55384615384615,1492.3076923076924,5.76923076923077,13.00769230769231,9.46923076923077,12.838461538461539,1.7538461538461538,1.6230769230769229,19.57692307692308,2.484615384615385,1.9,4.384615384615385,0.09776923076923077,-0.4769230769230769,-0.01538461538461533,-0.49230769230769234,1.3615384615384616
DEN,17.154545454545456,14.0,1.9454545454545453,68.36363636363636,23.16363636363636,5.0,14.799999999999999,9.5,10.172727272727274,0.5402727272727272,17.681818181818183,58.454545454545475,1601.8181818181818,4.9363636363636365,14.0,9.5,14.47272727272727,2.0,1.7363636363636366,18.945454545454545,1.8818181818181818,2.027272727272727,3.9272727272727277,0.11545454545454546,-1.2111523905001707e-16,0.618181818181818,0.6,1.081818181818182
DET,20.266666666666666,13.91111111111111,2.788888888888889,71.88888888888889,28.54444444444444,5.666666666666667,15.382222222222218,9.766666666666666,10.033333333333335,0.5188888888888888,18.533333333333335,83.24444444444445,1987.888888888889,5.666666666666668,14.033333333333331,9.877777777777776,15.433333333333334,1.5666666666666669,1.5222222222222226,19.377777777777776,2.622222222222222,3.2333333333333334,5.844444444444444,0.12411111111111112,-0.6222222222222222,0.7999999999999999,0.188888888888889,1.7555555555555555
GSW,16.890909090909094,13.454545454545455,1.8272727272727272,66.0,26.79090909090909,5.2727272727272725,14.282727272727273,9.218181818181819,9.881818181818183,0.49954545454545457,18.436363636363637,54.71818181818182,1531.2727272727273,5.063636363636363,13.172727272727274,8.927272727272728,15.781818181818183,1.618181818181818,1.6636363636363638,19.227272727272727,1.4181818181818178,1.4181818181818182,2.8363636363636364,0.07072727272727272,-1.0545454545454545,-0.10909090909090911,-1.1636363636363638,0.6818181818181818
HOU,19.018181818181816,12.681818181818182,0.7545454545454544,65.0909090909091,23.327272727272724,4.2727272727272725,12.088181818181821,8.509090909090908,10.163636363636364,0.5186363636363637,16.063636363636363,22.563636363636366,1068.4545454545455,4.081818181818182,13.072727272727274,8.672727272727272,14.072727272727269,1.5272727272727276,0.43636363636363634,16.281818181818185,0.8454545454545456,1.481818181818182,2.3272727272727276,0.09954545454545455,-1.4090909090909092,0.8727272727272727,-0.5181818181818181,0.49090909090909096
IND,14.449999999999998,15.266666666666667,1.2583333333333335,59.166666666666664,24.95833333333333,6.333333333333333,14.3125,10.783333333333331,12.291666666666666,0.5285833333333334,17.550000000000004,37.983333333333334,1398.25,6.558333333333334,15.508333333333335,11.091666666666663,13.375,1.8083333333333333,1.8166666666666667,19.016666666666666,1.3083333333333333,1.7999999999999998,3.1250000000000004,0.10733333333333334,-0.4749999999999999,0.4916666666666667,0.033333333333333326,0.7666666666666667
LAC,18.56,14.929999999999998,1.8799999999999994,64.4,26.160000000000004,6.3,13.922,10.79,12.610000000000003,0.5163,19.09,56.6,1649.5,6.369999999999999,14.929999999999998,10.79,17.04,1.3900000000000001,1.4200000000000002,20.130000000000003,1.9099999999999997,1.6099999999999999,3.5100000000000007,0.0658,-1.34,-0.5000000000000001,-1.8400000000000003,0.8400000000000002
LAL,15.281818181818181,13.845454545454546,2.0454545454545454,69.63636363636364,25.045454545454547,6.0,13.993636363636362,9.899999999999999,10.954545454545455,0.5234545454545455,18.127272727272725,60.80000000000002,1682.3636363636363,6.1000000000000005,13.854545454545455,10.0,13.145454545454545,1.3272727272727272,1.3272727272727274,18.290909090909096,2.4,0.6181818181818182,3.027272727272728,0.061363636363636356,-0.38181818181818183,-1.0000000000000002,-1.3909090909090909,0.7272727272727274
MEM,15.7,13.881818181818181,1.7454545454545454,66.54545454545455,25.44545454545454,5.0,14.876363636363637,9.445454545454545,11.30909090909091,0.5318181818181819,18.77272727272727,52.11818181818182,1714.8181818181818,4.990909090909089,13.881818181818181,9.445454545454545,14.8,1.9545454545454546,1.9454545454545455,20.236363636363635,1.8,2.4,4.190909090909091,0.11136363636363637,-0.2727272727272729,0.7181818181818181,0.44545454545454566,1.2363636363636363
MIA,16.425,13.116666666666667,1.591666666666667,65.0,22.21666666666667,4.083333333333333,13.782499999999999,8.625,9.358333333333333,0.54475,16.358333333333334,47.84166666666669,1423.6666666666667,4.383333333333334,13.333333333333334,9.016666666666667,12.625,1.4000000000000001,1.1500000000000001,16.900000000000002,2.1333333333333333,1.8416666666666668,3.9916666666666667,0.11041666666666668,-0.75,0.4583333333333333,-0.31666666666666665,1.0333333333333332
MIL,16.349999999999998,14.666666666666663,1.9666666666666668,68.08333333333333,23.808333333333334,5.25,14.8275,9.941666666666668,10.200000000000001,0.5285000000000001,18.35833333333333,58.88333333333335,1488.75,5.275,14.291666666666663,9.750000000000002,15.433333333333335,1.55,0.9333333333333335,19.416666666666668,1.816666666666667,0.8166666666666665,2.608333333333333,0.08358333333333333,0.125,-0.6166666666666667,-0.5083333333333333,0.47500000000000003
MIN,17.908333333333335,13.250000000000002,2.0916666666666663,68.5,22.375,5.916666666666667,14.015833333333333,9.758333333333335,10.908333333333337,0.5255,17.183333333333334,62.65833333333334,1607.5833333333333,5.95,13.250000000000002,9.758333333333335,15.28333333333333,1.2750000000000001,1.7166666666666666,18.083333333333332,2.216666666666666,1.5166666666666668,3.741666666666667,0.09733333333333334,-0.5416666666666665,0.041666666666666644,-0.5000000000000003,1.05
NJN,16.009999999999998,12.91,0.78,62.6,25.300000000000004,4.1,11.889999999999997,8.53,10.83,0.4955,17.68,22.93999999999999,1345.4,4.43,13.51,8.91,13.690000000000001,1.69,1.06,19.07,0.68,1.75,2.44,0.0786,-1.69,0.42000000000000004,-1.2599999999999998,0.4699999999999999
NOH,18.57333333333333,14.206666666666667,1.0066666666666668,57.06666666666667,25.233333333333334,6.066666666666666,12.776666666666667,9.986666666666668,12.28,0.4892666666666666,19.0,30.246666666666666,1062.6666666666667,5.846666666666668,14.413333333333332,9.946666666666667,18.906666666666663,1.7133333333333332,1.3,20.093333333333337,0.5066666666666664,0.9,1.3866666666666665,0.043533333333333334,-1.48,-0.08666666666666668,-1.5799999999999998,0.23333333333333328
NYK,14.008333333333333,13.925000000000002,1.4833333333333332,66.91666666666667,25.633333333333336,6.75,13.246666666666664,10.325000000000001,11.700000000000001,0.51875,17.883333333333333,44.24166666666665,1447.1666666666667,5.591666666666668,12.625000000000002,9.075000000000001,10.758333333333333,1.5250000000000001,0.8833333333333334,18.483333333333334,1.7749999999999995,0.9750000000000001,2.7583333333333333,0.052166666666666674,-1.4416666666666667,-1.0666666666666667,-2.5,0.6666666666666665
ORL,14.530000000000001,13.23,1.27,68.1,25.010000000000005,5.5,12.765,9.340000000000002,12.319999999999999,0.5167,16.52,38.1,1464.1,5.26,13.13,9.270000000000001,11.38,1.7100000000000002,1.4999999999999998,17.8,1.1999999999999997,1.3400000000000003,2.55,0.06930000000000001,-1.27,-0.19,-1.47,0.4000000000000001
PHI,16.625,15.858333333333334,1.1083333333333332,68.25,24.649999999999995,6.083333333333333,12.995833333333332,10.916666666666666,11.991666666666667,0.518,16.1,33.125,1343.6666666666667,6.1000000000000005,15.808333333333335,10.908333333333333,10.75,1.7,1.4666666666666666,17.641666666666666,0.8083333333333331,1.7166666666666668,2.5083333333333333,0.07083333333333332,-2.1999999999999997,0.275,-1.941666666666667,0.31666666666666665
PHO,12.920000000000002,13.77,2.65,72.7,26.170000000000005,5.7,14.384,9.809999999999999,11.35,0.5512,17.1,79.86999999999999,1642.2,5.6,13.420000000000002,9.71,9.529999999999998,1.3699999999999999,1.7200000000000002,18.22,3.25,1.5499999999999998,4.79,0.10129999999999999,-0.25,0.18,-0.07999999999999989,1.4500000000000002
POR,15.80909090909091,13.345454545454546,1.6636363636363634,61.81818181818182,27.300000000000008,5.818181818181818,14.594545454545454,9.736363636363636,12.47272727272727,0.5242727272727273,18.79090909090909,50.25454545454546,1678.0,5.800000000000001,13.345454545454546,9.736363636363636,14.890909090909092,1.5818181818181818,2.0636363636363635,20.045454545454543,1.3272727272727272,1.3636363636363635,2.709090909090909,0.07345454545454547,-0.6272727272727272,-0.3181818181818182,-0.9636363636363636,0.5363636363636364
SAC,17.55,14.135714285714284,1.9,60.92857142857143,24.821428571428573,6.142857142857143,14.813571428571427,10.149999999999997,10.599999999999998,0.5155714285714287,17.378571428571426,56.98571428571429,1196.142857142857,6.878571428571428,14.935714285714285,10.914285714285715,15.278571428571428,1.6785714285714286,1.407142857142857,18.749999999999996,1.885714285714286,0.9714285714285712,2.857142857142857,0.10571428571428569,0.0642857142857145,-0.12857142857142856,-0.07142857142857159,0.8214285714285715
SAS,14.51,15.080000000000002,1.98,74.5,22.86,7.4,14.982,11.2,10.980000000000002,0.5279999999999999,18.34,59.169999999999995,1506.5,7.340000000000001,15.070000000000002,11.2,13.13,1.55,2.08,19.669999999999998,1.9200000000000004,2.79,4.709999999999999,0.1398,-0.5700000000000001,1.13,0.5599999999999999,1.42
SEA,12.62222222222222,15.133333333333333,1.5888888888888888,67.66666666666667,22.95555555555556,8.222222222222221,14.52555555555555,11.688888888888888,12.699999999999998,0.5402222222222223,17.099999999999998,47.77777777777777,1594.5555555555557,8.222222222222221,15.133333333333333,11.688888888888888,10.67777777777778,1.5333333333333334,1.7222222222222223,18.233333333333334,2.8,1.0333333333333334,3.8333333333333335,0.10644444444444444,-0.24444444444444446,-0.5888888888888889,-0.8333333333333333,0.7999999999999999
