Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,16.184615384615384,13.076923076923078,2.476923076923077,61.92307692307692,24.692307692307686,5.461538461538462,12.850769230769233,9.192307692307692,12.507692307692308,0.5120769230769231,17.553846153846155,74.44615384615383,25.0,1484.923076923077,5.438461538461538,13.092307692307696,9.215384615384615,14.315384615384614,1.6538461538461537,1.5923076923076924,18.53846153846154,1.1076923076923078,1.2000000000000002,2.3000000000000003,0.06446153846153847,-1.4692307692307693,-0.6153846153846153,-2.0846153846153848,0.31538461538461543
BOS,15.153846153846153,14.13076923076923,2.423076923076924,61.23076923076923,24.584615384615383,5.384615384615385,13.53,9.646153846153844,13.153846153846153,0.5293076923076921,18.499999999999996,72.8846153846154,23.76923076923077,1498.4615384615386,5.407692307692309,14.146153846153844,9.653846153846153,13.415384615384614,1.5538461538461534,1.3692307692307693,19.838461538461537,1.0538461538461539,1.4384615384615382,2.5,0.0776923076923077,-0.8076923076923077,-0.35384615384615387,-1.176923076923077,0.41538461538461535
CHA,19.080000000000002,14.36,3.4199999999999995,60.8,27.250000000000007,5.1,14.211000000000002,9.589999999999998,10.999999999999998,0.5203,18.440000000000005,102.27,26.4,1705.1,5.15,14.339999999999998,9.59,17.470000000000002,1.7100000000000002,1.33,19.380000000000003,1.3299999999999996,1.56,2.87,0.0801,-0.6399999999999999,-0.16999999999999998,-0.7999999999999998,0.6900000000000002
CHI,16.97,14.580000000000004,3.7600000000000007,72.8,23.259999999999998,6.4,13.496,10.489999999999998,12.569999999999999,0.5065000000000001,17.669999999999998,112.50999999999996,26.5,1773.0,6.35,14.59,10.499999999999998,13.709999999999999,1.7899999999999998,1.9599999999999997,18.74,1.7700000000000002,3.3,5.06,0.11739999999999999,-1.44,1.5799999999999998,0.14999999999999986,1.5000000000000002
CLE,17.400000000000002,14.1125,4.637500000000001,73.625,26.2125,5.5,14.3525,9.725,10.7625,0.51775,18.45,138.825,27.75,1950.5,5.550000000000001,14.137500000000001,9.7375,14.5875,1.4625,1.3125,19.3625,2.0749999999999997,3.1375,5.2124999999999995,0.12062499999999998,-0.12499999999999994,0.7750000000000001,0.6624999999999999,1.6250000000000002
DAL,16.027272727272727,14.963636363636367,5.209090909090909,72.45454545454545,24.61818181818182,5.7272727272727275,14.857272727272727,10.427272727272728,12.063636363636364,0.5374545454545454,17.318181818181817,156.8181818181818,28.727272727272727,1741.4545454545455,5.836363636363637,14.972727272727274,10.5,13.036363636363633,1.5272727272727273,1.5272727272727271,18.345454545454547,3.2090909090909094,2.5090909090909097,5.736363636363636,0.136,0.19090909090909083,0.7727272727272727,0.9545454545454546,1.8181818181818186
DEN,18.15555555555555,15.211111111111112,3.9777777777777774,70.77777777777777,27.155555555555555,6.333333333333333,14.18888888888889,10.788888888888888,12.133333333333333,0.5223333333333333,17.811111111111114,119.0,27.0,1348.4444444444443,6.2555555555555555,15.200000000000001,10.81111111111111,16.022222222222222,1.6,1.5444444444444445,18.788888888888888,1.5222222222222221,1.5222222222222221,3.033333333333333,0.09700000000000002,-0.5666666666666667,0.0333333333333333,-0.5333333333333334,0.8111111111111112
DET,15.681818181818182,14.372727272727273,5.009090909090909,69.63636363636364,24.96363636363636,6.090909090909091,15.733636363636368,10.263636363636364,10.227272727272727,0.5253636363636364,18.55454545454546,150.0090909090909,29.09090909090909,1730.1818181818182,6.172727272727273,14.354545454545452,10.263636363636364,13.936363636363637,1.7272727272727275,1.9454545454545453,19.636363636363633,2.5454545454545454,2.2363636363636363,4.781818181818181,0.12390909090909091,-0.018181818181818035,0.48181818181818187,0.48181818181818187,1.3727272727272728
GSW,16.227272727272727,13.100000000000001,3.9909090909090907,65.27272727272727,26.836363636363636,4.545454545454546,14.834545454545456,8.754545454545456,11.47272727272727,0.5407272727272727,19.41818181818182,119.66363636363634,25.363636363636363,1271.1818181818182,4.590909090909091,13.109090909090911,8.754545454545456,15.690909090909088,1.8090909090909093,1.3272727272727272,20.818181818181813,1.4999999999999998,1.0636363636363637,2.5727272727272723,0.09872727272727272,0.34545454545454535,-0.19999999999999998,0.14545454545454553,0.7999999999999999
HOU,15.799999999999999,14.52857142857143,1.8857142857142857,67.0,26.442857142857143,5.142857142857143,12.370000000000001,9.814285714285715,11.799999999999999,0.5362857142857143,16.04285714285714,56.114285714285714,27.285714285714285,1889.857142857143,5.028571428571429,14.557142857142859,9.828571428571427,11.885714285714288,1.6428571428571428,0.9142857142857144,17.37142857142857,1.7285714285714284,3.1142857142857143,4.8428571428571425,0.10971428571428572,-1.6,1.2714285714285716,-0.3428571428571429,1.0999999999999999
IND,15.676923076923078,14.046153846153848,3.261538461538462,67.6923076923077,24.78461538461539,5.846153846153846,13.930769230769231,9.846153846153848,12.123076923076923,0.5291538461538462,18.36923076923077,97.99230769230768,26.846153846153847,1372.5384615384614,5.684615384615385,13.93846153846154,9.715384615384615,13.984615384615383,1.461538461538462,1.4153846153846152,19.50769230769231,0.9692307692307693,1.5769230769230766,2.5615384615384618,0.08084615384615386,-0.9615384615384615,-0.19230769230769232,-1.1538461538461537,0.5692307692307692
LAC,19.27,13.929999999999998,4.130000000000001,67.4,27.169999999999998,4.5,14.388,9.219999999999999,11.360000000000001,0.5264,18.35,123.61999999999998,27.2,1861.5,4.42,13.929999999999998,9.219999999999999,17.43,1.7399999999999998,1.47,19.4,1.9199999999999995,2.0699999999999994,4.0,0.09239999999999998,-0.6,0.25,-0.35,1.0
LAL,17.250000000000004,15.1,4.639999999999999,68.3,26.130000000000003,5.7,15.129,10.510000000000002,12.17,0.5523999999999999,17.8,139.10999999999999,24.7,1763.3,5.869999999999999,15.1,10.510000000000002,14.38,1.45,2.04,19.01,2.4699999999999998,1.3399999999999999,3.8299999999999996,0.096,0.019999999999999997,-0.21000000000000002,-0.17999999999999997,1.0599999999999998
MEM,14.976923076923075,14.23076923076923,3.146153846153846,62.46153846153846,24.238461538461536,5.153846153846154,14.149999999999997,9.753846153846155,12.446153846153845,0.5446153846153845,17.553846153846152,94.71538461538461,26.46153846153846,1475.8461538461538,5.338461538461538,14.053846153846154,9.700000000000001,12.984615384615383,1.5615384615384615,1.5538461538461539,19.023076923076925,1.7000000000000002,0.4461538461538461,2.1384615384615384,0.059615384615384626,-0.8230769230769233,-1.023076923076923,-1.8615384615384611,0.3153846153846154
MIA,16.11111111111111,15.011111111111111,3.4333333333333336,65.88888888888889,25.95555555555556,4.333333333333333,14.467777777777776,9.799999999999999,10.733333333333333,0.5387777777777777,17.5,102.74444444444444,28.0,1645.111111111111,4.333333333333333,15.011111111111111,9.799999999999999,14.688888888888888,1.7555555555555555,1.1222222222222222,18.922222222222224,1.7555555555555553,1.9555555555555557,3.7111111111111117,0.10677777777777778,-0.14444444444444443,0.2333333333333334,0.12222222222222213,0.9444444444444444
MIL,17.80909090909091,13.799999999999999,3.772727272727272,66.0,27.972727272727273,5.7272727272727275,14.354545454545455,9.718181818181817,12.01818181818182,0.5298181818181817,18.154545454545456,112.57272727272726,26.272727272727273,1636.1818181818182,5.754545454545454,13.854545454545452,9.736363636363636,13.863636363636363,1.4363636363636365,0.990909090909091,18.85454545454546,1.981818181818182,0.6181818181818183,2.5999999999999996,0.06581818181818183,-0.2818181818181818,-1.1727272727272728,-1.4727272727272727,0.5272727272727274
MIN,17.41111111111111,13.333333333333334,4.055555555555555,70.22222222222223,26.12222222222222,4.666666666666667,13.740000000000002,9.144444444444442,11.922222222222224,0.5273333333333334,19.06666666666667,122.01111111111112,27.11111111111111,1930.6666666666667,4.711111111111111,13.344444444444447,9.133333333333333,15.788888888888888,1.4333333333333333,1.1,20.466666666666672,1.7777777777777777,1.6333333333333337,3.4000000000000004,0.06622222222222224,-0.7333333333333333,-0.4444444444444444,-1.1888888888888889,0.7777777777777777
NJN,14.122222222222224,13.455555555555556,2.011111111111111,67.22222222222223,22.755555555555553,5.0,12.109999999999998,9.255555555555553,12.199999999999998,0.5211111111111112,17.1,60.15555555555554,27.555555555555557,1558.888888888889,4.999999999999999,13.455555555555556,9.233333333333333,12.633333333333333,1.1444444444444444,1.1666666666666667,18.633333333333333,1.3333333333333333,1.4666666666666668,2.8,0.07366666666666667,-1.511111111111111,-0.5444444444444445,-2.0444444444444443,0.25555555555555554
NOK,12.458333333333334,14.983333333333334,3.1583333333333337,62.5,24.858333333333334,6.166666666666667,14.072500000000003,10.541666666666666,11.641666666666667,0.5198333333333334,18.05833333333333,95.10833333333333,26.333333333333332,1599.25,6.258333333333333,14.983333333333334,10.541666666666666,11.774999999999997,1.4249999999999998,1.55,19.175,1.4750000000000003,1.6083333333333334,3.1,0.08725,-0.85,0.0916666666666666,-0.7500000000000001,0.6916666666666665
NYK,16.70909090909091,15.1,2.309090909090909,60.0,25.427272727272733,6.2727272727272725,13.376363636363635,10.71818181818182,12.872727272727273,0.5213636363636364,17.381818181818183,68.85454545454546,25.363636363636363,1522.2727272727273,6.254545454545454,15.109090909090908,10.718181818181819,13.927272727272726,1.7090909090909092,1.0272727272727276,18.254545454545458,1.6272727272727268,1.1636363636363638,2.772727272727273,0.08136363636363637,-0.5181818181818181,-0.04545454545454544,-0.5545454545454546,0.6454545454545454
ORL,15.042857142857143,13.757142857142856,3.4857142857142853,68.42857142857143,24.300000000000004,5.571428571428571,13.73142857142857,9.714285714285714,13.057142857142855,0.5372857142857141,18.12857142857143,104.15714285714284,25.0,1705.142857142857,5.5,13.757142857142856,9.714285714285714,13.814285714285713,1.6285714285714286,1.1714285714285713,19.300000000000004,1.457142857142857,2.2714285714285714,3.7285714285714286,0.09857142857142856,-0.6,0.3428571428571429,-0.2857142857142857,0.9285714285714286
PHI,16.236363636363635,13.627272727272727,3.4727272727272718,69.36363636363636,26.000000000000004,5.181818181818182,13.80090909090909,9.390909090909089,11.7,0.5246363636363637,17.83636363636364,104.66363636363636,26.636363636363637,1650.090909090909,5.172727272727273,14.263636363636362,9.727272727272727,14.52727272727273,1.481818181818182,1.3909090909090909,19.327272727272724,1.1636363636363636,1.581818181818182,2.7545454545454553,0.06881818181818182,-0.9727272727272727,-0.3,-1.2909090909090908,0.4818181818181818
