Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,17.709999999999997,14.940000000000001,4.050000000000002,67.1,26.18,4.020000000000001,15.454000000000002,9.53,10.419999999999998,0.5641,18.84,121.41,27.7,1738.4,4.020000000000001,14.959999999999999,9.540000000000001,16.330000000000005,1.6900000000000002,1.44,20.029999999999998,2.05,1.7999999999999996,3.8600000000000003,0.1035,0.18,-0.020000000000000007,0.18000000000000008,1.03
BOS,17.83076923076923,13.946153846153846,2.4923076923076923,67.07692307692308,24.930769230769233,4.8769230769230765,13.54846153846154,9.299999999999999,11.092307692307692,0.5148461538461538,18.884615384615383,74.23076923076924,25.384615384615383,1447.3846153846155,4.876923076923076,13.953846153846154,9.292307692307691,16.615384615384617,1.7000000000000002,1.1153846153846156,19.346153846153847,1.0307692307692307,1.2692307692307692,2.292307692307692,0.07584615384615384,-0.6615384615384615,-0.21538461538461537,-0.8769230769230768,0.3538461538461538
BRK,15.530769230769234,15.423076923076923,3.1384615384615384,60.92307692307692,23.838461538461537,5.523076923076923,14.961538461538462,10.492307692307692,11.96923076923077,0.5505384615384616,18.215384615384615,94.06923076923076,30.384615384615383,1343.076923076923,5.6,15.553846153846154,10.600000000000001,12.915384615384617,1.8846153846153844,1.5307692307692307,19.623076923076926,1.5923076923076924,1.2153846153846155,2.8076923076923084,0.09684615384615383,-0.12307692307692307,-0.3153846153846154,-0.4538461538461539,0.6692307692307692
CHA,15.278571428571428,14.992857142857144,2.9357142857142864,65.0,24.185714285714287,4.778571428571428,13.520714285714282,9.842857142857142,9.907142857142858,0.5292142857142857,17.78571428571429,87.59999999999998,25.714285714285715,1383.357142857143,4.942857142857143,14.992857142857144,9.942857142857141,12.792857142857143,1.2285714285714289,1.8285714285714287,18.057142857142857,1.0999999999999999,1.864285714285714,2.9642857142857144,0.09750000000000002,-1.3857142857142857,0.41428571428571426,-0.9571428571428572,0.6285714285714287
CHI,16.124999999999996,14.458333333333334,3.2500000000000004,71.58333333333333,25.174999999999997,5.1000000000000005,13.682500000000005,9.825000000000001,11.325000000000001,0.5224166666666666,19.2,97.22499999999998,28.583333333333332,1601.4166666666667,5.2250000000000005,14.516666666666666,9.941666666666668,14.283333333333333,1.3916666666666666,1.4000000000000001,19.525000000000002,1.2333333333333334,2.85,4.091666666666666,0.11399999999999999,-1.008333333333333,0.6583333333333334,-0.3500000000000001,1.0250000000000001
CLE,14.135714285714288,15.214285714285717,2.7500000000000004,63.0,23.15,5.807142857142857,13.569285714285712,10.392857142857142,10.885714285714286,0.514,19.02142857142857,82.5642857142857,24.428571428571427,1278.857142857143,5.899999999999999,15.357142857142861,10.514285714285714,11.992857142857142,1.4000000000000004,1.7142857142857142,19.621428571428574,1.0000000000000002,1.05,2.0642857142857145,0.06807142857142857,-1.35,-0.38571428571428573,-1.75,0.29285714285714287
DAL,15.177777777777777,16.11111111111111,5.855555555555555,72.55555555555556,24.099999999999998,6.422222222222222,17.18,11.28888888888889,10.533333333333335,0.5706666666666667,18.555555555555557,175.62222222222223,30.0,1778.888888888889,6.422222222222222,16.11111111111111,11.28888888888889,13.088888888888889,1.8666666666666667,1.8666666666666667,19.65555555555555,3.0888888888888886,1.5444444444444445,4.633333333333332,0.12866666666666665,0.9000000000000001,-0.07777777777777778,0.8111111111111113,1.3555555555555556
DEN,16.446153846153848,13.869230769230768,2.538461538461538,64.61538461538461,22.0,4.415384615384616,13.607692307692307,9.13076923076923,11.461538461538462,0.5266923076923077,18.8,75.91538461538461,26.307692307692307,1346.8461538461538,4.384615384615385,13.923076923076922,9.13076923076923,14.953846153846154,1.5923076923076922,1.646153846153846,19.52307692307692,1.4384615384615387,1.0538461538461537,2.5076923076923086,0.07815384615384616,-0.4923076923076922,-0.04615384615384615,-0.5307692307692308,0.5769230769230766
DET,14.166666666666666,14.18888888888889,4.722222222222223,75.0,26.677777777777777,5.877777777777778,14.866666666666667,9.8,10.355555555555556,0.5256666666666666,19.444444444444446,141.80000000000004,24.88888888888889,2048.0,5.877777777777778,14.18888888888889,9.8,13.844444444444445,1.7666666666666668,1.3555555555555556,19.77777777777778,2.188888888888889,1.3333333333333335,3.511111111111111,0.07922222222222222,-0.30000000000000004,-0.788888888888889,-1.0777777777777777,0.6333333333333332
GSW,18.45384615384615,15.215384615384618,3.8769230769230765,68.84615384615384,24.892307692307693,4.938461538461539,14.423846153846153,10.13846153846154,11.707692307692309,0.5387692307692308,18.346153846153847,116.15384615384616,27.0,1498.3076923076924,4.884615384615385,14.930769230769233,9.984615384615385,13.507692307692308,1.5076923076923079,1.6230769230769229,19.56153846153846,1.876923076923077,2.2615384615384615,4.153846153846154,0.10438461538461538,-1.0076923076923077,0.8846153846153846,-0.12307692307692306,1.2692307692307692
