Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,16.2,16.311111111111114,2.5222222222222226,66.33333333333333,22.833333333333332,5.233333333333333,13.36,10.844444444444443,10.977777777777778,0.5517777777777778,16.87777777777778,75.45555555555556,30.555555555555557,1404.888888888889,5.255555555555556,16.3,10.855555555555556,12.58888888888889,1.6222222222222222,1.944444444444444,17.433333333333334,1.0,2.1444444444444444,3.111111111111112,0.10255555555555557,-1.2666666666666666,0.8111111111111112,-0.4555555555555555,0.7000000000000001
BOS,18.016666666666666,15.658333333333333,3.641666666666667,69.41666666666667,22.89166666666667,4.641666666666667,14.3225,10.2,9.549999999999999,0.5524999999999999,18.416666666666668,109.6583333333333,26.166666666666668,1614.6666666666667,4.641666666666667,15.658333333333333,10.2,15.05833333333333,1.4333333333333333,1.5083333333333335,19.15,2.2416666666666667,1.7083333333333333,3.958333333333334,0.10508333333333335,-0.15833333333333333,-0.08333333333333336,-0.2416666666666666,1.0666666666666667
BRK,17.7,14.792307692307691,1.807692307692308,60.61538461538461,22.53076923076923,3.361538461538461,13.076153846153847,9.123076923076924,11.600000000000001,0.5459230769230768,18.523076923076925,54.02307692307693,25.615384615384617,1296.0,3.43076923076923,14.530769230769229,9.046153846153846,14.999999999999998,1.4461538461538461,1.4846153846153847,19.184615384615384,0.6230769230769232,1.0538461538461539,1.6846153846153848,0.05684615384615385,-1.3538461538461537,-0.47692307692307695,-1.8615384615384618,0.20000000000000004
CHI,15.450000000000001,14.042857142857141,2.685714285714286,61.5,21.47857142857143,4.385714285714285,12.922142857142857,9.164285714285715,9.507142857142856,0.5137142857142857,18.885714285714283,80.49285714285713,26.571428571428573,1207.7142857142858,4.414285714285715,14.078571428571424,9.207142857142856,13.771428571428572,1.5642857142857143,1.1500000000000001,19.07857142857143,1.1214285714285717,1.4714285714285718,2.5785714285714287,0.0877142857142857,-1.1857142857142857,0.14999999999999997,-1.0285714285714287,0.6428571428571427
CHO,16.40909090909091,16.363636363636363,4.118181818181818,67.0909090909091,24.49090909090909,4.20909090909091,15.202727272727275,10.236363636363636,8.727272727272728,0.5518181818181819,19.081818181818182,123.67272727272726,26.90909090909091,1700.7272727272727,4.2272727272727275,16.236363636363635,10.190909090909091,14.827272727272726,1.3545454545454543,2.090909090909091,19.61818181818182,1.9545454545454546,1.7727272727272727,3.7363636363636363,0.10318181818181818,-0.3636363636363637,0.1636363636363636,-0.20909090909090908,0.9545454545454547
CLE,17.107692307692307,16.3,4.223076923076923,64.3076923076923,24.4,4.3307692307692305,14.123846153846152,10.407692307692308,11.392307692307693,0.5623076923076923,16.123076923076926,126.76153846153849,30.153846153846153,1336.923076923077,3.269230769230769,13.576923076923078,8.592307692307694,12.184615384615386,1.123076923076923,1.0538461538461539,16.73076923076923,2.5153846153846158,1.1307692307692307,3.646153846153846,0.09892307692307692,-3.592307692307692,-0.05384615384615396,-3.661538461538461,1.0307692307692309
DAL,16.91875,16.81875,2.2687499999999994,60.625,21.962500000000002,4.34375,13.900625000000003,10.356249999999998,11.0625,0.5458125,16.925,68.11250000000001,27.9375,1159.625,5.112500000000001,17.51875,11.018749999999999,13.606250000000001,1.7312500000000002,1.60625,18.943749999999998,0.96875,1.18125,2.1625,0.0873125,-1.3125,0.21875000000000003,-1.1062500000000002,0.46875000000000006
DEN,17.10909090909091,14.663636363636364,3.527272727272727,63.09090909090909,25.127272727272725,5.281818181818181,14.902727272727274,10.009090909090908,10.418181818181818,0.5648181818181818,18.918181818181818,106.11818181818184,26.272727272727273,1419.1818181818182,5.409090909090909,14.02727272727273,9.754545454545454,14.272727272727273,1.272727272727273,2.536363636363636,19.099999999999998,2.018181818181819,0.6545454545454545,2.6818181818181817,0.09381818181818181,-0.10000000000000003,-0.48181818181818187,-0.5727272727272728,0.49999999999999994
DET,17.955555555555556,15.822222222222223,3.7000000000000006,70.88888888888889,24.37777777777778,4.677777777777777,14.576666666666666,10.033333333333333,9.555555555555555,0.5205555555555557,19.444444444444443,111.12222222222223,26.11111111111111,1769.111111111111,4.666666666666667,15.822222222222223,10.033333333333333,16.355555555555554,1.4666666666666668,1.3222222222222222,19.555555555555557,1.3777777777777778,2.2,3.577777777777778,0.09422222222222222,-0.7444444444444446,0.32222222222222224,-0.4222222222222223,0.8333333333333335
GSW,21.775000000000002,15.408333333333331,5.466666666666669,73.66666666666667,22.625000000000004,5.141666666666667,16.756666666666664,10.558333333333334,10.758333333333333,0.58425,18.366666666666667,163.90833333333333,29.25,1554.4166666666667,5.116666666666666,15.35,10.541666666666666,16.399999999999995,1.8166666666666664,2.375,18.825,2.9916666666666667,2.4583333333333335,5.433333333333334,0.15816666666666665,0.7000000000000001,1.0999999999999999,1.791666666666667,1.866666666666667
