,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x,REBR_x,TO_x,TS%_x,USG_x,VA_x,Age_x,MP_x,OWS_x,DWS_x,WS_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_y,REBR_y,TO_y,TS%_y,USG_y,VA_y,Age_y,MP_y,OWS_y,DWS_y,WS_y,OBPM_y,DBPM_y,BPM_y,VORP_y
0,20061010,2007,CLE,BOS,-16,CLE,15.41111111111111,14.666666666666664,5.477777777777778,71.55555555555556,28.1,6.111111111111112,15.184444444444447,10.3,11.311111111111114,0.5277777777777778,17.74444444444445,164.3888888888889,28.222222222222218,1908.2222222222226,2.9222222222222225,2.1333333333333337,5.0777777777777775,0.1333333333333333,0.04444444444444443,0.1888888888888888,1.5444444444444445,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
1,20061111,2007,CLE,BOS,1,CLE,15.41111111111111,14.666666666666664,5.477777777777778,71.55555555555556,28.1,6.111111111111112,15.184444444444447,10.3,11.311111111111114,0.5277777777777778,17.74444444444445,164.3888888888889,28.222222222222218,1908.2222222222226,2.9222222222222225,2.1333333333333337,5.0777777777777775,0.1333333333333333,0.04444444444444443,0.1888888888888888,1.5444444444444445,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
2,20070223,2007,LAL,BOS,26,LAL,15.933333333333335,15.166666666666664,5.377777777777778,70.44444444444444,26.83333333333333,6.0,14.15,10.533333333333333,11.622222222222224,0.5184444444444445,17.700000000000006,161.16666666666663,26.555555555555557,1921.333333333333,3.088888888888889,2.1111111111111107,5.199999999999998,-0.3444444444444445,-0.2111111111111111,-0.5444444444444444,1.5888888888888892,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
3,20061122,2007,CHA,BOS,9,CHA,13.699999999999998,14.458333333333336,2.583333333333333,59.41666666666666,25.10833333333333,5.166666666666667,13.540833333333332,9.558333333333335,10.758333333333335,0.5045833333333333,17.891666666666666,77.35000000000002,25.08333333333333,1406.833333333333,0.7999999999999998,1.4166666666666667,2.216666666666667,-1.1749999999999998,-0.05833333333333333,-1.2,0.5,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
4,20061216,2007,CHA,BOS,-6,CHA,13.699999999999998,14.458333333333336,2.583333333333333,59.41666666666666,25.10833333333333,5.166666666666667,13.540833333333332,9.558333333333335,10.758333333333335,0.5045833333333333,17.891666666666666,77.35000000000002,25.08333333333333,1406.833333333333,0.7999999999999998,1.4166666666666667,2.216666666666667,-1.1749999999999998,-0.05833333333333333,-1.2,0.5,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
5,20070226,2007,HOU,BOS,-5,HOU,16.1,13.766666666666666,0.5999999999999999,64.77777777777777,25.211111111111112,5.333333333333333,11.586666666666664,9.611111111111109,10.844444444444445,0.498888888888889,15.5,18.177777777777774,28.11111111111111,1536.333333333333,0.43333333333333335,1.9111111111111116,2.3888888888888893,-1.9777777777777776,0.588888888888889,-1.3888888888888888,0.2111111111111111,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
6,20070416,2007,MIA,BOS,-2,MIA,17.2625,13.7625,4.025,63.25,25.9,3.5,13.3525,8.9125,10.4,0.53725,16.775,120.7625,28.0,1642.25,2.625,1.925,4.5375000000000005,-0.16249999999999987,0.08750000000000002,-0.09999999999999988,1.4125,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
7,20070130,2007,IND,BOS,7,IND,15.072727272727274,15.42727272727273,3.0818181818181825,61.45454545454545,26.71818181818181,6.727272727272728,14.20181818181818,11.181818181818182,12.390909090909092,0.5255454545454546,17.809090909090916,92.10909090909092,27.09090909090909,1504.909090909091,1.0636363636363635,2.327272727272727,3.372727272727273,-0.8909090909090908,1.0727272727272728,0.18181818181818185,0.8363636363636363,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
8,20070407,2007,IND,BOS,7,IND,15.072727272727274,15.42727272727273,3.0818181818181825,61.45454545454545,26.71818181818181,6.727272727272728,14.20181818181818,11.181818181818182,12.390909090909092,0.5255454545454546,17.809090909090916,92.10909090909092,27.09090909090909,1504.909090909091,1.0636363636363635,2.327272727272727,3.372727272727273,-0.8909090909090908,1.0727272727272728,0.18181818181818185,0.8363636363636363,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
9,20070211,2007,MIN,BOS,2,MIN,15.369230769230773,13.246153846153845,3.1538461538461537,65.69230769230771,24.592307692307692,4.6923076923076925,12.686923076923074,9.046153846153846,12.530769230769234,0.5031538461538462,17.46923076923077,94.85384615384615,26.923076923076927,1316.5384615384614,0.9923076923076922,1.5923076923076922,2.5846153846153848,-1.5846153846153848,0.10000000000000002,-1.507692307692308,0.5846153846153845,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
