,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x,REBR_x,TO_x,TS%_x,USG_x,VA_x,MP_x,OWS_x,DWS_x,WS_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_y,REBR_y,TO_y,TS%_y,USG_y,VA_y,MP_y,OWS_y,DWS_y,WS_y,OBPM_y,DBPM_y,BPM_y,VORP_y
0,20081005,2009,MIA,DET,-4,MIA,15.914285714285715,13.964285714285712,1.7285714285714289,53.14285714285714,25.02857142857143,4.0,11.733571428571427,8.928571428571429,11.157142857142858,0.5214285714285715,18.257142857142856,51.67142857142858,1190.0,0.3642857142857144,0.807142857142857,1.15,-1.7214285714285715,-0.7142857142857143,-2.407142857142857,0.007142857142857112,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
1,20090224,2009,MIA,DET,12,MIA,15.914285714285715,13.964285714285712,1.7285714285714289,53.14285714285714,25.02857142857143,4.0,11.733571428571427,8.928571428571429,11.157142857142858,0.5214285714285715,18.257142857142856,51.67142857142858,1190.0,0.3642857142857144,0.807142857142857,1.15,-1.7214285714285715,-0.7142857142857143,-2.407142857142857,0.007142857142857112,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
2,20090415,2009,MIA,DET,6,MIA,15.914285714285715,13.964285714285712,1.7285714285714289,53.14285714285714,25.02857142857143,4.0,11.733571428571427,8.928571428571429,11.157142857142858,0.5214285714285715,18.257142857142856,51.67142857142858,1190.0,0.3642857142857144,0.807142857142857,1.15,-1.7214285714285715,-0.7142857142857143,-2.407142857142857,0.007142857142857112,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
3,20090227,2009,ORL,DET,-8,ORL,16.17,14.029999999999998,3.7,69.1,23.01,4.9,13.999,9.67,10.5,0.5544,16.35,110.89,1599.8,2.5500000000000003,2.06,4.63,-0.2699999999999999,0.59,0.33,1.2600000000000002,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
4,20081011,2009,MIL,DET,-12,MIL,15.336363636363634,14.71818181818182,2.972727272727273,66.0909090909091,25.072727272727274,7.0,13.28818181818182,10.7,11.60909090909091,0.5085454545454545,17.80909090909091,88.64545454545456,1705.6363636363635,1.4545454545454544,0.6636363636363637,2.0727272727272728,-1.1545454545454543,-1.1181818181818182,-2.272727272727273,0.18181818181818174,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
5,20081227,2009,MIL,DET,-11,MIL,15.336363636363634,14.71818181818182,2.972727272727273,66.0909090909091,25.072727272727274,7.0,13.28818181818182,10.7,11.60909090909091,0.5085454545454545,17.80909090909091,88.64545454545456,1705.6363636363635,1.4545454545454544,0.6636363636363637,2.0727272727272728,-1.1545454545454543,-1.1181818181818182,-2.272727272727273,0.18181818181818174,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
6,20090207,2009,MIL,DET,-5,MIL,15.336363636363634,14.71818181818182,2.972727272727273,66.0909090909091,25.072727272727274,7.0,13.28818181818182,10.7,11.60909090909091,0.5085454545454545,17.80909090909091,88.64545454545456,1705.6363636363635,1.4545454545454544,0.6636363636363637,2.0727272727272728,-1.1545454545454543,-1.1181818181818182,-2.272727272727273,0.18181818181818174,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
7,20090222,2009,CLE,DET,21,CLE,15.358333333333333,14.425000000000002,4.366666666666668,68.5,26.63333333333333,5.583333333333332,14.370833333333332,9.883333333333336,10.441666666666666,0.5159166666666666,18.45,131.225,1338.0,1.7333333333333334,1.5833333333333333,3.308333333333333,-0.6166666666666668,0.16666666666666666,-0.4166666666666667,0.975,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
8,20090331,2009,CLE,DET,6,CLE,15.358333333333333,14.425000000000002,4.366666666666668,68.5,26.63333333333333,5.583333333333332,14.370833333333332,9.883333333333336,10.441666666666666,0.5159166666666666,18.45,131.225,1338.0,1.7333333333333334,1.5833333333333333,3.308333333333333,-0.6166666666666668,0.16666666666666666,-0.4166666666666667,0.975,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
9,20090418,2009,CLE,DET,18,CLE,15.358333333333333,14.425000000000002,4.366666666666668,68.5,26.63333333333333,5.583333333333332,14.370833333333332,9.883333333333336,10.441666666666666,0.5159166666666666,18.45,131.225,1338.0,1.7333333333333334,1.5833333333333333,3.308333333333333,-0.6166666666666668,0.16666666666666666,-0.4166666666666667,0.975,DET,16.23076923076923,14.746153846153849,4.423076923076922,70.92307692307692,22.592307692307696,6.307692307692308,15.359230769230766,10.476923076923075,10.246153846153844,0.5294615384615384,19.130769230769232,132.6076923076923,1458.4615384615383,2.3538461538461544,2.2846153846153845,4.63076923076923,-0.1461538461538462,0.6307692307692307,0.4692307692307693,1.3846153846153848
