,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x_x,REBR_x,TO_x,TS%_x,USG_x,VA_x,MP_x,ORB%_x,DRB%_x,TRB%_x,AST%_x,STL%_x,BLK%_x,TOV%_x,USG%_x,OWS_x,DWS_x,WS_x,WS/48_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_x_y,REBR_y,TO_y,TS%_y,USG_y,VA_y,MP_y,ORB%_y,DRB%_y,TRB%_y,AST%_y,STL%_y,BLK%_y,TOV%_y,USG%_y,OWS_y,DWS_y,WS_y,WS/48_y,OBPM_y,DBPM_y,BPM_y,VORP_y
0,20041017,2005,SAC,HOU,2,SAC,18.1125,14.525000000000002,2.4125000000000005,64.5,26.4625,6.0,15.64125,10.35,10.925,0.53825,18.300000000000004,71.99999999999999,1694.125,5.9875,14.525000000000002,10.35,15.675,1.9000000000000004,1.1125,13.425,19.8625,3.0375,1.3375,4.362500000000002,0.110125,0.2500000000000001,-0.24999999999999994,0.0,1.2624999999999995,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
1,20041123,2005,SAC,HOU,6,SAC,18.1125,14.525000000000002,2.4125000000000005,64.5,26.4625,6.0,15.64125,10.35,10.925,0.53825,18.300000000000004,71.99999999999999,1694.125,5.9875,14.525000000000002,10.35,15.675,1.9000000000000004,1.1125,13.425,19.8625,3.0375,1.3375,4.362500000000002,0.110125,0.2500000000000001,-0.24999999999999994,0.0,1.2624999999999995,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
2,20050313,2005,SAC,HOU,-15,SAC,18.1125,14.525000000000002,2.4125000000000005,64.5,26.4625,6.0,15.64125,10.35,10.925,0.53825,18.300000000000004,71.99999999999999,1694.125,5.9875,14.525000000000002,10.35,15.675,1.9000000000000004,1.1125,13.425,19.8625,3.0375,1.3375,4.362500000000002,0.110125,0.2500000000000001,-0.24999999999999994,0.0,1.2624999999999995,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
3,20050211,2005,IND,HOU,-8,IND,18.34,14.75,1.88,70.0,24.0,6.2,14.473,10.44,11.67,0.5109,17.330000000000002,55.93000000000001,1702.2,6.21,14.75,10.44,16.02,2.08,1.52,14.55,18.38,1.88,3.06,4.95,0.1336,-0.5,1.0799999999999998,0.5800000000000001,1.3300000000000003,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
4,20050131,2005,BOS,HOU,-3,BOS,15.85,14.133333333333333,1.5666666666666669,72.75,24.875,5.583333333333332,13.8725,9.875,12.233333333333334,0.5241666666666668,17.816666666666666,47.13333333333333,1358.5,5.366666666666666,13.808333333333335,9.65,13.983333333333334,1.9083333333333332,1.3333333333333333,14.566666666666665,19.041666666666664,1.5249999999999997,1.3,2.783333333333333,0.09633333333333333,-0.4666666666666667,-0.3333333333333333,-0.7833333333333333,0.5750000000000001,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
5,20041023,2005,ORL,HOU,23,ORL,14.230769230769232,13.676923076923076,0.6923076923076923,66.46153846153847,20.130769230769232,6.769230769230768,12.133846153846152,10.13076923076923,11.80769230769231,0.4887692307692308,15.884615384615385,20.58461538461539,1143.4615384615386,6.823076923076923,13.615384615384615,10.146153846153844,11.292307692307695,1.369230769230769,1.3769230769230771,12.815384615384614,16.646153846153847,0.976923076923077,0.10000000000000002,1.0769230769230769,0.04407692307692308,-1.6230769230769229,-1.6923076923076923,-3.2923076923076926,-0.2538461538461539,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
6,20050120,2005,ORL,HOU,-9,ORL,14.230769230769232,13.676923076923076,0.6923076923076923,66.46153846153847,20.130769230769232,6.769230769230768,12.133846153846152,10.13076923076923,11.80769230769231,0.4887692307692308,15.884615384615385,20.58461538461539,1143.4615384615386,6.823076923076923,13.615384615384615,10.146153846153844,11.292307692307695,1.369230769230769,1.3769230769230771,12.815384615384614,16.646153846153847,0.976923076923077,0.10000000000000002,1.0769230769230769,0.04407692307692308,-1.6230769230769229,-1.6923076923076923,-3.2923076923076926,-0.2538461538461539,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
7,20050107,2005,LAL,HOU,7,LAL,20.4875,11.875,1.175,67.25,20.737500000000004,4.5,12.50875,8.049999999999999,10.275,0.4928750000000001,15.8,35.12499999999999,1379.75,4.375,11.875,8.049999999999999,14.7875,1.9625,0.875,13.2375,16.750000000000004,1.5125000000000002,1.5625,3.075,0.094875,-0.7125,0.5249999999999999,-0.16250000000000006,0.8625,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
8,20050407,2005,LAL,HOU,-14,LAL,20.4875,11.875,1.175,67.25,20.737500000000004,4.5,12.50875,8.049999999999999,10.275,0.4928750000000001,15.8,35.12499999999999,1379.75,4.375,11.875,8.049999999999999,14.7875,1.9625,0.875,13.2375,16.750000000000004,1.5125000000000002,1.5625,3.075,0.094875,-0.7125,0.5249999999999999,-0.16250000000000006,0.8625,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
9,20050202,2005,PHI,HOU,-23,PHI,13.558333333333332,14.199999999999998,0.7833333333333333,60.58333333333334,23.566666666666666,5.75,12.190833333333332,10.041666666666668,12.208333333333336,0.4949166666666667,16.925,23.933333333333334,1445.166666666667,5.775,14.199999999999998,10.041666666666668,11.391666666666666,1.5916666666666668,1.4583333333333333,14.233333333333334,18.4,0.9749999999999998,1.6583333333333332,2.6250000000000004,0.07133333333333335,-1.5583333333333331,-0.008333333333333309,-1.5833333333333333,0.3750000000000001,HOU,17.770000000000003,13.69,1.14,65.0,23.97,5.4,12.820999999999998,9.73,13.18,0.5091,16.34,33.84,1624.6,5.34,13.69,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
