,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x_x,REBR_x,TO_x,TS%_x,USG_x,VA_x,Age_x,MP_x,ORB%_x,DRB%_x,TRB%_x,AST%_x,STL%_x,BLK%_x,USG%_x,OWS_x,DWS_x,WS_x,WS/48_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_x_y,REBR_y,TO_y,TS%_y,USG_y,VA_y,Age_y,MP_y,ORB%_y,DRB%_y,TRB%_y,AST%_y,STL%_y,BLK%_y,USG%_y,OWS_y,DWS_y,WS_y,WS/48_y,OBPM_y,DBPM_y,BPM_y,VORP_y
0,20111216,2012,IND,CHI,-9,IND,15.371428571428574,14.62142857142857,2.5,60.714285714285715,21.892857142857146,5.3928571428571415,13.223571428571429,10.028571428571428,11.357142857142858,0.5217142857142857,17.528571428571432,74.28571428571429,26.57142857142857,1404.642857142857,5.3928571428571415,14.62142857142857,10.028571428571428,12.921428571428569,1.5357142857142858,1.5642857142857145,18.771428571428565,1.1285714285714286,1.65,2.8000000000000003,0.0872857142857143,-1.1428571428571428,0.2357142857142857,-0.8785714285714284,0.6071428571428571,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
1,20120425,2012,IND,CHI,-5,IND,15.371428571428574,14.62142857142857,2.5,60.714285714285715,21.892857142857146,5.3928571428571415,13.223571428571429,10.028571428571428,11.357142857142858,0.5217142857142857,17.528571428571432,74.28571428571429,26.57142857142857,1404.642857142857,5.3928571428571415,14.62142857142857,10.028571428571428,12.921428571428569,1.5357142857142858,1.5642857142857145,18.771428571428565,1.1285714285714286,1.65,2.8000000000000003,0.0872857142857143,-1.1428571428571428,0.2357142857142857,-0.8785714285714284,0.6071428571428571,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
2,20120104,2012,DET,CHI,-16,DET,15.263636363636367,14.909090909090908,3.5090909090909084,67.45454545454545,23.82727272727273,6.036363636363637,14.911818181818182,10.272727272727273,10.427272727272726,0.5301818181818182,18.290909090909086,105.2090909090909,27.272727272727273,1636.0,6.036363636363637,14.909090909090908,10.263636363636364,12.97272727272727,1.6454545454545453,1.3909090909090909,19.418181818181818,1.981818181818182,0.7545454545454546,2.7545454545454544,0.07890909090909091,-0.1909090909090909,-1.0545454545454545,-1.2454545454545454,0.3909090909090909,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
3,20120415,2012,DET,CHI,-6,DET,15.263636363636367,14.909090909090908,3.5090909090909084,67.45454545454545,23.82727272727273,6.036363636363637,14.911818181818182,10.272727272727273,10.427272727272726,0.5301818181818182,18.290909090909086,105.2090909090909,27.272727272727273,1636.0,6.036363636363637,14.909090909090908,10.263636363636364,12.97272727272727,1.6454545454545453,1.3909090909090909,19.418181818181818,1.981818181818182,0.7545454545454546,2.7545454545454544,0.07890909090909091,-0.1909090909090909,-1.0545454545454545,-1.2454545454545454,0.3909090909090909,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
4,20120116,2012,MEM,CHI,16,MEM,15.345454545454546,13.063636363636364,4.718181818181818,69.36363636363636,26.19090909090909,4.9454545454545435,14.73,8.98181818181818,10.090909090909092,0.5309999999999999,17.936363636363637,141.70000000000005,25.272727272727273,1641.909090909091,5.3545454545454545,13.190909090909093,9.236363636363636,11.71818181818182,2.0727272727272728,1.6,18.91818181818182,2.0,2.1181818181818186,4.118181818181818,0.08727272727272728,-0.9181818181818184,0.4454545454545455,-0.4818181818181818,1.2818181818181815,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
5,20120110,2012,MIN,CHI,-11,MIN,16.481818181818184,13.52727272727273,2.445454545454545,60.72727272727273,23.9,4.818181818181818,13.140909090909092,9.036363636363637,12.045454545454545,0.5215454545454544,19.145454545454548,73.52727272727273,23.54545454545455,1486.909090909091,4.727272727272728,13.445454545454545,8.945454545454545,14.518181818181818,1.6,1.0181818181818183,19.772727272727273,1.4090909090909092,0.7454545454545454,2.1727272727272733,0.054727272727272736,-0.7090909090909091,-0.8818181818181821,-1.5909090909090908,0.4,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
6,20120321,2012,TOR,CHI,-12,TOR,14.761538461538462,15.923076923076925,2.5,58.30769230769231,24.007692307692302,6.8769230769230765,13.843846153846151,11.3,12.423076923076925,0.527,18.4,74.75384615384615,24.615384615384613,1306.0,6.9230769230769225,16.03846153846154,11.369230769230768,11.892307692307694,1.6384615384615384,1.407692307692308,18.99230769230769,1.1923076923076918,0.43846153846153857,1.6307692307692312,0.053538461538461535,-0.6923076923076923,-1.0153846153846156,-1.7076923076923076,0.1,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
7,20120129,2012,MIA,CHI,4,MIA,16.184615384615384,13.284615384615385,4.184615384615385,67.61538461538461,23.13076923076923,4.915384615384617,13.368461538461537,9.338461538461539,11.976923076923079,0.5591538461538462,15.515384615384615,125.54615384615386,30.384615384615387,1478.2307692307693,4.907692307692308,13.953846153846154,9.692307692307693,11.7,1.2923076923076922,1.6384615384615382,16.56153846153846,2.5923076923076924,2.1846153846153844,4.746153846153846,0.12653846153846154,-0.3769230769230769,0.5769230769230769,0.20769230769230754,1.4384615384615385,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
8,20120419,2012,MIA,CHI,11,MIA,16.184615384615384,13.284615384615385,4.184615384615385,67.61538461538461,23.13076923076923,4.915384615384617,13.368461538461537,9.338461538461539,11.976923076923079,0.5591538461538462,15.515384615384615,125.54615384615386,30.384615384615387,1478.2307692307693,4.907692307692308,13.953846153846154,9.692307692307693,11.7,1.2923076923076922,1.6384615384615382,16.56153846153846,2.5923076923076924,2.1846153846153844,4.746153846153846,0.12653846153846154,-0.3769230769230769,0.5769230769230769,0.20769230769230754,1.4384615384615385,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
9,20120210,2012,CHA,CHI,-31,CHA,13.406666666666665,16.673333333333332,2.4266666666666667,62.73333333333333,22.28666666666667,6.44,13.561333333333335,11.500000000000002,11.966666666666667,0.5322,16.6,72.91333333333334,26.66666666666667,1270.6,6.713333333333334,16.753333333333334,11.7,10.926666666666666,1.2933333333333334,2.0533333333333337,19.05333333333333,0.9533333333333336,1.18,2.1466666666666665,0.07259999999999997,-1.6266666666666665,-0.36000000000000004,-1.9666666666666663,0.36000000000000004,CHI,17.250000000000004,14.916666666666664,3.966666666666667,67.83333333333333,24.741666666666664,5.283333333333334,14.075833333333335,10.208333333333334,10.583333333333334,0.52625,18.516666666666673,118.55,27.33333333333333,1561.916666666667,5.216666666666667,14.55,10.008333333333336,13.966666666666667,1.6833333333333331,1.883333333333333,19.6,2.141666666666666,2.8833333333333333,5.016666666666668,0.1320833333333333,-0.4416666666666666,1.3416666666666668,0.8833333333333332,1.5249999999999997
