,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x_x,REBR_x,TO_x,TS%_x_x,USG_x,VA_x,Age_x,MP_x,TS%_y_x,3PAr_x,FTr_x,ORB%_x,DRB%_x,TRB%_x,AST%_x,STL%_x,BLK%_x,TOV%_x,USG%_x,OWS_x,DWS_x,WS_x,WS/48_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_x_y,REBR_y,TO_y,TS%_x_y,USG_y,VA_y,Age_y,MP_y,TS%_y_y,3PAr_y,FTr_y,ORB%_y,DRB%_y,TRB%_y,AST%_y,STL%_y,BLK%_y,TOV%_y,USG%_y,OWS_y,DWS_y,WS_y,WS/48_y,OBPM_y,DBPM_y,BPM_y,VORP_y
0,20121014,2013,MEM,ATL,8,MEM,14.32,14.45,3.73,57.6,25.36,6.460000000000001,14.444,10.37,11.070000000000002,0.5074,18.48,111.46,25.6,1489.2,0.5074,0.14409999999999998,0.2711,6.460000000000001,14.45,10.37,12.58,2.01,1.4300000000000002,13.089999999999998,19.669999999999995,1.7099999999999995,2.06,3.7400000000000007,0.1027,-0.5499999999999998,0.39,-0.15999999999999998,1.0800000000000003,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
1,20121208,2013,MEM,ATL,-10,MEM,14.32,14.45,3.73,57.6,25.36,6.460000000000001,14.444,10.37,11.070000000000002,0.5074,18.48,111.46,25.6,1489.2,0.5074,0.14409999999999998,0.2711,6.460000000000001,14.45,10.37,12.58,2.01,1.4300000000000002,13.089999999999998,19.669999999999995,1.7099999999999995,2.06,3.7400000000000007,0.1027,-0.5499999999999998,0.39,-0.15999999999999998,1.0800000000000003,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
2,20121111,2013,LAC,ATL,13,LAC,13.753846153846151,13.738461538461538,3.3384615384615386,50.153846153846146,24.461538461538463,5.461538461538462,13.633846153846154,9.553846153846154,11.761538461538464,0.5066923076923077,17.107692307692307,99.86923076923077,28.23076923076923,1195.3076923076926,0.5064615384615384,0.2909230769230769,0.3106153846153846,5.5,13.661538461538461,9.53076923076923,12.384615384615385,1.9461538461538461,1.4615384615384621,13.815384615384614,18.184615384615384,2.0538461538461537,1.053846153846154,3.1076923076923064,0.09146153846153847,-0.5,-0.1846153846153847,-0.6769230769230771,0.8692307692307693,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
3,20121123,2013,CHA,ATL,-10,CHA,14.838461538461539,13.615384615384615,0.9153846153846156,52.846153846153854,22.515384615384612,4.361538461538461,11.592307692307696,8.815384615384612,11.346153846153848,0.4799999999999999,18.146153846153844,27.43076923076924,24.84615384615385,1166.923076923077,0.4771538461538462,0.16807692307692304,0.2853076923076923,4.330769230769231,13.615384615384615,8.792307692307691,14.715384615384615,1.2538461538461545,1.5846153846153848,13.438461538461535,20.161538461538466,-0.03846153846153843,0.30769230769230765,0.2846153846153846,-0.00030769230769230803,-2.392307692307692,-1.7076923076923076,-4.107692307692306,-0.4307692307692308,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
4,20130123,2013,CHA,ATL,-12,CHA,14.838461538461539,13.615384615384615,0.9153846153846156,52.846153846153854,22.515384615384612,4.361538461538461,11.592307692307696,8.815384615384612,11.346153846153848,0.4799999999999999,18.146153846153844,27.43076923076924,24.84615384615385,1166.923076923077,0.4771538461538462,0.16807692307692304,0.2853076923076923,4.330769230769231,13.615384615384615,8.792307692307691,14.715384615384615,1.2538461538461545,1.5846153846153848,13.438461538461535,20.161538461538466,-0.03846153846153843,0.30769230769230765,0.2846153846153846,-0.00030769230769230803,-2.392307692307692,-1.7076923076923076,-4.107692307692306,-0.4307692307692308,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
5,20130231,2013,LAL,ATL,1,LAL,18.9,14.95833333333333,3.4499999999999997,56.5,24.16666666666667,5.708333333333335,14.133333333333333,10.499999999999998,11.6,0.5212500000000001,17.491666666666667,103.55,28.83333333333333,1262.3333333333333,0.5229166666666666,0.2465833333333333,0.2600833333333333,6.341666666666668,14.566666666666665,10.633333333333333,14.875,1.4166666666666667,1.625,15.041666666666664,18.758333333333333,1.725,1.3416666666666668,3.066666666666667,0.10233333333333333,-0.5,0.13333333333333333,-0.3833333333333333,0.8833333333333334,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
6,20130303,2013,LAL,ATL,1,LAL,18.9,14.95833333333333,3.4499999999999997,56.5,24.16666666666667,5.708333333333335,14.133333333333333,10.499999999999998,11.6,0.5212500000000001,17.491666666666667,103.55,28.83333333333333,1262.3333333333333,0.5229166666666666,0.2465833333333333,0.2600833333333333,6.341666666666668,14.566666666666665,10.633333333333333,14.875,1.4166666666666667,1.625,15.041666666666664,18.758333333333333,1.725,1.3416666666666668,3.066666666666667,0.10233333333333333,-0.5,0.13333333333333333,-0.3833333333333333,0.8833333333333334,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
7,20130327,2013,TOR,ATL,-19,TOR,12.533333333333335,15.1,1.5833333333333333,48.16666666666666,23.23333333333333,5.116666666666667,13.027500000000002,10.158333333333333,12.391666666666666,0.5194166666666666,18.658333333333328,47.66666666666666,25.91666666666667,1086.1666666666667,0.5199166666666667,0.23725000000000004,0.2690833333333333,5.1000000000000005,15.033333333333333,10.116666666666664,11.575,1.3916666666666666,1.5166666666666666,14.216666666666667,20.816666666666666,0.6583333333333333,1.175,1.8333333333333333,0.0735,-0.9250000000000002,-0.30000000000000004,-1.2083333333333333,0.275,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
8,20121228,2013,CLE,ATL,-8,CLE,15.491666666666665,12.558333333333332,1.741666666666667,50.5,23.45,4.816666666666666,12.604166666666664,8.549999999999999,12.616666666666665,0.507,18.766666666666666,52.44999999999999,25.25,1146.1666666666667,0.5054166666666667,0.22383333333333333,0.3660000000000001,5.05,13.283333333333333,9.0,15.1,1.3916666666666668,1.2666666666666668,14.85,19.20833333333333,0.8583333333333331,0.5083333333333333,1.3666666666666665,0.047250000000000014,-1.2916666666666667,-1.1333333333333335,-2.4250000000000003,0.09999999999999994,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
9,20130109,2013,CLE,ATL,16,CLE,15.491666666666665,12.558333333333332,1.741666666666667,50.5,23.45,4.816666666666666,12.604166666666664,8.549999999999999,12.616666666666665,0.507,18.766666666666666,52.44999999999999,25.25,1146.1666666666667,0.5054166666666667,0.22383333333333333,0.3660000000000001,5.05,13.283333333333333,9.0,15.1,1.3916666666666668,1.2666666666666668,14.85,19.20833333333333,0.8583333333333331,0.5083333333333333,1.3666666666666665,0.047250000000000014,-1.2916666666666667,-1.1333333333333335,-2.4250000000000003,0.09999999999999994,ATL,17.98,12.77,3.43,54.7,25.21,4.09,14.56,8.47,11.1,0.5326,18.89,102.61,27.5,1356.3,0.5267,0.2485,0.2267,4.67,15.1,9.94,17.48,1.9,1.0799999999999998,13.839999999999998,20.26,1.72,1.9699999999999995,3.68,0.1129,-0.63,0.51,-0.12000000000000002,0.94
