,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x_x,REBR_x,TO_x,TS%_x,USG_x,VA_x,MP_x,ORB%_x,DRB%_x,TRB%_x,AST%_x,STL%_x,BLK%_x,USG%_x,OWS_x,DWS_x,WS_x,WS/48_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_x_y,REBR_y,TO_y,TS%_y,USG_y,VA_y,MP_y,ORB%_y,DRB%_y,TRB%_y,AST%_y,STL%_y,BLK%_y,USG%_y,OWS_y,DWS_y,WS_y,WS/48_y,OBPM_y,DBPM_y,BPM_y,VORP_y
0,20161003,2017,TOR,DEN,-2,TOR,13.76,14.69,4.14,67.7,25.27,4.13,14.505999999999998,9.500000000000002,9.95,0.5397000000000001,17.92,123.68999999999998,1734.9,4.13,14.69,9.500000000000002,11.89,1.7599999999999998,1.7,18.72,2.64,1.93,4.55,0.1134,0.2400000000000001,0.27,0.5000000000000002,1.35,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
1,20161031,2017,TOR,DEN,3,TOR,13.76,14.69,4.14,67.7,25.27,4.13,14.505999999999998,9.500000000000002,9.95,0.5397000000000001,17.92,123.68999999999998,1734.9,4.13,14.69,9.500000000000002,11.89,1.7599999999999998,1.7,18.72,2.64,1.93,4.55,0.1134,0.2400000000000001,0.27,0.5000000000000002,1.35,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
2,20170320,2017,HOU,DEN,1,HOU,16.318181818181817,14.254545454545456,4.1090909090909085,69.81818181818181,24.33636363636364,5.199999999999998,14.326363636363634,9.709090909090909,10.872727272727273,0.5295454545454545,18.66363636363636,123.13636363636364,1657.1818181818182,5.036363636363637,13.681818181818182,9.345454545454542,14.263636363636367,1.981818181818182,1.8636363636363635,19.20909090909091,2.272727272727273,1.3363636363636362,3.6,0.08063636363636363,-0.3272727272727273,-0.6454545454545455,-0.9545454545454546,0.936363636363636,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
3,20170405,2017,HOU,DEN,6,HOU,16.318181818181817,14.254545454545456,4.1090909090909085,69.81818181818181,24.33636363636364,5.199999999999998,14.326363636363634,9.709090909090909,10.872727272727273,0.5295454545454545,18.66363636363636,123.13636363636364,1657.1818181818182,5.036363636363637,13.681818181818182,9.345454545454542,14.263636363636367,1.981818181818182,1.8636363636363635,19.20909090909091,2.272727272727273,1.3363636363636362,3.6,0.08063636363636363,-0.3272727272727273,-0.6454545454545455,-0.9545454545454546,0.936363636363636,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
4,20170228,2017,CHI,DEN,-18,CHI,18.369230769230768,14.146153846153847,2.4692307692307693,59.384615384615394,22.961538461538463,4.830769230769231,12.82846153846154,9.576923076923077,10.569230769230767,0.5090769230769231,17.599999999999994,74.09230769230768,1372.0,4.830769230769231,14.13846153846154,9.569230769230767,14.992307692307689,1.223076923076923,1.5615384615384615,18.353846153846156,1.2230769230769227,1.3230769230769228,2.523076923076923,0.07653846153846153,-1.0923076923076922,-0.07692307692307693,-1.1769230769230767,0.5461538461538461,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
5,20161108,2017,MEM,DEN,1,MEM,16.376923076923074,14.376923076923076,2.4000000000000004,65.61538461538461,24.68461538461539,4.107692307692306,13.814615384615385,9.076923076923078,10.084615384615383,0.5206923076923078,18.423076923076923,71.94615384615385,1330.923076923077,4.176923076923076,14.215384615384616,8.984615384615385,15.73846153846154,1.8076923076923082,1.353846153846154,20.56153846153847,1.330769230769231,1.1230769230769229,2.4461538461538463,0.07653846153846154,-0.31538461538461543,-0.5384615384615384,-0.8461538461538461,0.5769230769230769,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
6,20161212,2017,DAL,DEN,20,DAL,16.23333333333333,16.24166666666667,3.1166666666666667,67.83333333333333,23.075,4.45,14.894166666666665,10.35,9.750000000000002,0.5394166666666667,19.35,93.41666666666669,1566.083333333333,4.716666666666667,16.61666666666667,10.675000000000002,14.41666666666667,1.4750000000000003,1.3583333333333334,20.083333333333336,1.7999999999999998,1.45,3.2500000000000004,0.10583333333333332,0.04999999999999998,0.125,0.16666666666666655,0.8333333333333334,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
7,20170411,2017,DAL,DEN,-18,DAL,16.23333333333333,16.24166666666667,3.1166666666666667,67.83333333333333,23.075,4.45,14.894166666666665,10.35,9.750000000000002,0.5394166666666667,19.35,93.41666666666669,1566.083333333333,4.716666666666667,16.61666666666667,10.675000000000002,14.41666666666667,1.4750000000000003,1.3583333333333334,20.083333333333336,1.7999999999999998,1.45,3.2500000000000004,0.10583333333333332,0.04999999999999998,0.125,0.16666666666666655,0.8333333333333334,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
8,20161016,2017,POR,DEN,-9,POR,16.009090909090908,15.854545454545455,4.218181818181818,74.63636363636364,23.75454545454545,5.49090909090909,14.662727272727276,10.663636363636364,11.127272727272727,0.5442727272727274,18.654545454545453,126.5090909090909,1757.909090909091,5.545454545454545,15.70909090909091,10.627272727272727,13.254545454545452,1.4181818181818182,1.481818181818182,18.427272727272726,2.5454545454545454,1.4727272727272729,4.027272727272727,0.09263636363636364,-0.4545454545454545,-0.1545454545454545,-0.6181818181818179,1.0545454545454545,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
9,20161113,2017,POR,DEN,7,POR,16.009090909090908,15.854545454545455,4.218181818181818,74.63636363636364,23.75454545454545,5.49090909090909,14.662727272727276,10.663636363636364,11.127272727272727,0.5442727272727274,18.654545454545453,126.5090909090909,1757.909090909091,5.545454545454545,15.70909090909091,10.627272727272727,13.254545454545452,1.4181818181818182,1.481818181818182,18.427272727272726,2.5454545454545454,1.4727272727272729,4.027272727272727,0.09263636363636364,-0.4545454545454545,-0.1545454545454545,-0.6181818181818179,1.0545454545454545,DEN,16.48333333333333,13.625000000000002,2.208333333333333,63.41666666666666,24.35,4.166666666666668,13.524166666666664,8.825000000000003,10.65,0.5298333333333334,18.675,66.20833333333334,1355.5,4.150000000000001,13.216666666666667,8.608333333333334,14.775,1.3583333333333334,1.3,19.066666666666666,1.2749999999999997,0.8416666666666668,2.125,0.07158333333333332,-0.5166666666666666,-0.8666666666666667,-1.3916666666666666,0.3666666666666667
